issue_key	project	issue_type	summary	description	comments	design_prob	Label
MULE-12472	MULE	Enhancement Request	"""RejectionPolicy configuration is confusing"""	"""""""The current configuration of wait/rejection policy is somewhat confusing and limited because you configure the policy on the source scheduler rather than the destination scheduler.    Invert this, and allow it to be configured on all scheduler types.  We will require potentially the following policies:  - REJECT_ALL  - WAIT_ALL (default for CPU_LITE pool)  - RUN_IO_ONLY (default for IO pool) .   """""""	"""The configuration of the rejection policy is done at the thread pools level, but the intended config is for the scheduler.    Furthermore, the intended WAIT/REJECTION choice is currently done based on the origin pool configuration, which for source pools, is configured at the source. That may suffice at first for a quick approach as a primitive backpressure implementation enabler."""	0.99064296	
MULE-14429	MULE	Task	"""Spike - Resolve dependencies between components on ApplicationModel using ExtensionModel instead of ComponentBuildingDefinitionProvider """	"""""""The way MinimalApplication is generated for Tooling is by resolving the graph of dependencies for a componentModel with the ComponentBuildingDefinitionProviders. It would be nice to use the ExtensionModels so we don't need the parsers mechanism at this point and we can use this feature in other context such DataSense.    In addition to that, there are cases already hardcoded on MinimalApplication such flow-ref, global-error-model or aggregators that should be handled by this mechanism where the attribute is a soft reference (SDK and ExtensionModel could provide this information but at the ComponentBuildingDefinitionProvider should not be declared as reference. The way flow-ref and aggregators handle this is internally the components once created look for the referenced component by the given name."""""""		0.9905848	
MULE-12926	MULE	Task	"""Use worker strategy for HTTP requester and define performance scenarios"""	"""""""Considering the standard CH worker configuration of 1 core which results in 1 selector thread, we've come to realised that using that same thread IO strategy could result in selector threads blocking if the stream is consumed too slowly (because upon the internal buffers filling the writer must wait for space). Thus it makes more sense to mimic the 3.x strategy of having a worker pool dedicated to the response handling.  We need to make those changes but most importantly define how this will be validated from a performance side. We need to make sure different payload sizes and concurrency are used as well as GET and POST methods to verify inbound and outbound payloads."""""""		0.9900501	
MULE-14725	MULE	Task	"""Non blocking operations use connector's thread to do internal mule processing"""	"""""""When an SDK non blocking operation finishes, the Runtime/SDK code which picks that result and performs internal Runtime logic is executed on the same thread which invoked CompletionCallback#success(Result).    So for example, when http:request obtains the response, all the internal runtime code which generates the message, handles streaming, processes the target attribute, etc, is executed on an Http selector thread instead of a runtime thread.     This has the following potential consequences:    * In connectors with few/only one selector threads (e.g: event loop) throughput might be hurt by this as the thread is performing runtime logic instead of being handling the next connection  * Custom policies, unexpected uses of the Interception API, etc, might collude with the item above and generate performance problems not detectable during our internal testing  * Memory leaks? I'm not sure if this is possible but we should review the consequences or possible failure points if an external thread is used to access objects in Mule's internal classloaders  * Security? Similar to the above, review possible impact  """""""	"""> """"internal runtime code""""  This is only SDK code that creates Message/Event and processes target attribute etc, no continued chain execution will not use connector thread.    > handles streaming,  If it not ideal for this to happen on selector thread, then we should consider doing this lazily in MessageProcesaorChain instead of within SDK potentially if possible.    > uses of the Interception API  If interceptors are also executed in selector thread then this is a bug agree. I'm pretty sure they are *not* currently invoked on connector thread not but we should check and add tests.    Any hand-off to Mule thread pool will always happen after connector operation invokes non blocking callback, so it's still possible that an operation implementation can do things on the selector thread.  There are more potential possible memory/security risks from a bad connector operation implementation than from the simple creation of a MuleMessage and the evaluation of an expression on selector thread in SDK.    Even is som"	0.9900205	
MULE-12300	MULE	Task	"""Work on Tooling API to avoid exposing Mule API - JSON as Serialization layer """	"""""""As decided the dispatcher will make calls using reflection to the Tooling Runtime Client API implementation that is loaded in an isolated class loader.    The transport defined to pass arguments and receive responses would be JSON and Gson will be used as the implementation framework as Metadata API already supports this as the persistence layer.    This is tasks is about to review how exceptions should work on this approach, how parameters are serialized and passed and results are deserialized.    Metadata Model API should allow Tooling to define the behaviour when a typeAnnotation is not found in class mapping (this case Tooling should ignore the TypeAnnotation as the Tooling API doesn't have a DTO and Runtime has added new TypeAnnotation)."""""""		0.9898516	
MULE-11663	MULE	Enhancement Request	"""Review how to improve dependencies management on isolated test runner"""	"""""""Isolated test runner classifies dependencies to use on the test based on the scope in which the dependency was included in the project.  For example, if a component needs to use a module that is defined on the container, the dependency must be declared as provided, so the classification process will marked it as being art of the container.  The problem with this approach is that, from a usage point of view, is not possible to determine if the dependency was required on the production or testing code.  This problem will be more relevant when applications/plugins/etc will start to be packaged on """"""""light"""""""" packages, as it will force the package regeneration process to include them all, instead of include only the needed dependencies."""""""		0.9897794	
MULE-12287	MULE	Enhancement Request	"""Add non-blocking/fluent FlowRunner implementation"""	"""""""Currently FlowRunner tests by blocking and waiting for Flow response.  This means that:  i) Tests can't take advantage of and use non-blocking calls with FlowRunner and need to use something else.  ii) Streams/resources are closed when the FlowRunner gets the result from the Flow.  If the following was supported this would not occur, and we could remove `keepStreamsOpen()`.  iii) Tests are less fluent        With this approach, assertions can be evaluated as part of response processing before stream are closed.  Right now you can achieve the same, but it's not ideal that there is a second approach, and rather this support should be added to FlowRunner.    """""""		0.9896567	
MULE-12113	MULE	Enhancement Request	"""Scheduler should not have implicit behaviuor"""	"""""""Currently the following is supported in XML and has implicit behaviour that can only be discovered via docs or running the app.    <flow>    <scheduler>  </flow>    IMO, The scheduler strategy and also ideally the scheduler frequency should both be explicit in XML config and during the configuration UX when a scheduler is used to start a flow.    If we want there to be a default in tooling, so that user sees and accepts a default strategy, rather than being forced to configure one then that make sense, but allowing no strategy to be seen/configured doesn't make sense.     In order to support a default strategy that can be accepted rather than needing to be explicitly chosen we may need to add the ability to hint a default strategy in extension model."""""""	"""If this is just 2 points, we should do it before 4.0 as it's a breaking change in config otherwise.  Ideally this would have been done as part of the review of a previous issue as it's really part of completing the introduction of <trigger>."" [SEP] ""This issue was fixed on MULE-12434"" [SEP] ""Strategies are not explicit and not implicit but <fixed-frequency/> still had a default magic number frequency of 1000ms.  This should really be explicit."" [SEP] ""Discussed this with LG. Won't fix"""	0.9896333	
MULE-11553	MULE	Enhancement Request	"""Create an API  to create beans that behave like flows"""	"""""""The Flow API will be close (i.e. the flows won't be part of the API)     MUnit requires to have elements that behaves like flow and add behavior around them.   It should also be able to retrieve them and trigger them.    We require an API from Mule that allow us to achieve this"""""""	"""Munit test cases are kind of flows with an specific construct. And MUnit needs to trigger them as a flow. We should add some kind of API so they can lookup for those objects and run them using an Event."""	0.9896034	
MULE-13028	MULE	Task	"""All routers should use processor chains rather than processors as their routes"""	"""""""All routers should use processor chains rather than processors as their routes"""""""		0.9895908	
MULE-11220	MULE	Enhancement Request	"""Review the HttpEntity interface and its Implementations."""	"""""""currently, the HttpEntity that is bounded in a HttpMessage is just a marker interface and does not provide a way to obtain de Entity content without casting it to one of its implementations.    A possible approach could be to add a """"""""#getInputStream"""""""" method to the interface."""""""	"""It would be ideal to review apache http client's approach and doing something similar."" [SEP] ""To avoid instance ofs and down casting, the HttpEntity has been refactored to indicated composition or streaming origins, as well as providing all possible content access methods (parts, bytes and stream). Inconsistency issues have been addressed between the server and client regarding multipart parsing and handling, allowing both. Additionally, the EmptyHttpEntity has been refactored to better reflect a null object pattern.   As a consequence of these changes, the listener has been changed to propagate an empty array/stream on no content instead of null, matching the requester."""	0.98940325	
MULE-12066	MULE	Task	"""Support XA transactions in SDK extensions at source level"""	""""""" *Support XA transactions in SDK extensions at source level*  *  With https://www.mulesoft.org/jira/browse/MULE-12011 and https://www.mulesoft.org/jira/browse/MULE-11221 Sources started to be able to participate in transactions.  * But nowadays the sources are not able to init an *XA transaction*. The support of XA transactions implies:  ** The Source should be communicated which kind of transaction the Mule developer want to create: *LOCAL*, *MULTI*, *XA* and depending on this value, the kind of transaction that should be created."""""""		0.98939425	
MULE-13777	MULE	Task	"""Use extension model to determine the type of the components instead of the class"""	"""""""ComponentLocationVisitor must be changed so it does not depends on the class of the component to determine it's type. This is causing problems in Tooling Client since it requires the application classloader"""""""	"""The intercepting type processor will be labeled as operation as only compatibility processors can be intercepting.     As that's the case MUnit would require some sort of service from the runtime (maybe a bean or something like that) so in the event that we get a location that's an operation we can make sure that it's not an intercepting processor."""	0.9893929	
MULE-12749	MULE	Enhancement Request	"""Implement async retry and back-pressure for IO scheduling in ProactorStreamProcessingStrategy"""	"""""""A flow should only reject messages when overloaded at the beginning of a Flow. Once a flow is processing a message, unless there is an exception or a fatal error then scheduler availability should not potentially result in flow execution failing mid-flow because this results in part-processed messages and duplicate processor invocation on retry.    ProactorProcessingStrategy has been removed because it suffers from this as implementing the back-pressure mechanism required here to mitigate this without using reactive-streams doesn't make sense.    ProactorStreamProcessingStrategy uses a back-pressure aware buffered stream and allows flow control via the configuration of maxConcurrency.  It still has an issue though, which is that due to the use of a shared IO scheduler,  while a flow may have a maxConcurrency of 10, and the shared IO pool may have 50 threads, there is still no guarantee that a RejectedExecutionException will not be thrown.  This is because as the Flow doesn't own the pool it question, it's possible that the pool is in full use by other flows.    Reactor does not support executorService back-pressure out of the box, but for our use case with shared IO pool this is required to avoid OVERLOAD mid-flow.  In order to resolve this we need to implement a non-blocking retry mechanism to retry the schedule until there is a thread free, and at the same time not request upstream until the task is successfully scheduled."""""""		0.98933804	
MULE-11956	MULE	Enhancement Request	"""InterceptingProcessor and Processor should be part of the mule api"""	"""""""Mule should provide a way to create Processors and Intercepting Processors, as part of its api. Use case: creation of mule plugins (not extensions) i.e: APIKit. The router MP is an Intercepting Processor that handles:  - getting the raml document  - routing the request to a subflow and returning to the main flow, to continue."""""""	"""This may not be necessary anymore by APIKit.    - Processor is already part of the mule api.  - We wanted InterceptorProcessor to be part of the mule api as we wanted to stop the flow under certain circumstances, returning a payload. [~<USER> could you confirm that this behaviour is possible when overriding the apply method of Processor? Thanks"""	0.9892931	
MULE-12937	MULE	Enhancement Request	"""Artifacts using heavy package must should not depend on maven for classloader model resolution"""	"""""""Artifacts packaged with all their dependencies (ie: heavy packages) still depend on the artifact pom.xml and Maven in order to resolve the classloader model.    This is a problem as it requires access to the same set of dependencies that where used to resolve the artifact at compile time. So, maven artifacts that were discarded during the compile time (because they were excluded or there was a newer version of the artifact) are still required on runtime. (wasting space)    A better approach is to resolve the dependencies on compile time, generate a maven repository only with the required jars, and then generate metadata that indicates which files must be loaded in the artifact's classloader model. (this could use a new classloader model loader)"""""""		0.98911554	
MULE-14376	MULE	Task	"""Annotated every element exposed on the API that have usage restrictions"""	"""""""Use the annotations from mule-api-annotations to mark every API element that must not be considered API.     For example, interfaces that must not be implemented, classes that must not be extended, etc, outside the container modules."""""""	"""Modules to review are:    ./metadata-model-api/metadata-model-api/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-catalog/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-java/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-java-ast/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-json/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-mule/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-raml/src/main/resources/META-INF/mule-module.properties    ./metadata-model-api/metadata-model-xml/src/main/resources/META-INF/mule-module.properties    DONE ./mule/core/src/main/resources/META-INF/mule-module.properties    DONE ./mule/modules/artifact/src/main/resources/META-INF/mule-module.properties    DONE ./mule/modules/container/src/main/resources/META-INF/mule-module.properti"	0.9891066	
MULE-13927	MULE	Enhancement Request	"""CorrelationId is not propagated from connector sources to Flow"""	"""""""When a JMS/AMQP or other messaging connector source is used the inbound correlationID (as defined in the relevant specification) should be propagated to the Flow by creating the EventContext using this external correlationID instead of passing null and allowing it to generate a UUID.    This is important because:  - It is a regression from 3.x  - The EventContext javadoc states that external correlationId is available via getCorrelationId()  - This was discussed in detail with use case and reviewed by support when new eventContext/event/message model was defined and current implementation does not match what was defined.  - From a user perspective, it is important that if an external correlationId is present that this is seen in log entries and in insights/analytics records instead of a UUID in the platform.  - From a supportability perspective not maintaining the external correlationID makes it much harder for users and our support team to find/resolve issues.    This applies to all connectors where the concept of correlationId is present in the spec, but we should also consider using """"""""X-Correlation-ID"""""""" if present in inbound HTTP messages too.  (this is not a standard but is best practice)    A future improvement should allow the correlationID to be customised in the source using a DW expression DW, but the default behaviour should be to use an external correlationID. See MULE-13930.      """""""		0.9891004	
MULE-13330	MULE	Task	"""Review redelivery-policy behaviour and limitations"""	"""""""We should review the way redelivery-policy is intended to be used.    For now, it's only allowed in vm, jms, sockets and http but they don't seem to be used at all. (No test could be found of redelivery-policy usage and when tried with vm it did not work).    Also, it's one of the components that uses an object-store as configuration element. That means that it should allow a private object store to be configured inline and that functionality needs to be tested as well.     Be sure to test every possible ObjectStoreConfiguration when fixed"""""""		0.98892003	
MULE-12955	MULE	Task	"""DW: Support instantiation through builders"""	"""""""Considering most of our API interfaces implementations are hidden and immutable, DW should interpret their builders in order to instantiate them. If we settle on a builder convention this could work for any interfaces."""""""		0.9888947	
MULE-11351	MULE	Task	"""Rework ring-buffer based processing strategy implementations for stream approach"""	"""""""Update or redefine processing strategy implementations for stream approach"""""""		0.9888898	
MULE-11377	MULE	Task	"""Change API for applying policies to allow policies templates"""	"""""""Since we will continue to support mustache templates in the policies zip files and the API gateway agent will be responsible for resolving those templates, we need to change our API so the agent can have a chance to process the template if needed.    The idea is to have a single API to cover both use cases: template or no template. The idea so far is that we just ask for the file (as InputStream or whatever) of the resolved template. If there's nothing to do then it will retrieve the policy config file as it is.    Processing the template will not resolve the parametrization of the policy that is not related to mustache. That will be done by mule."""""""		0.9888814	
MULE-11340	MULE	Enhancement Request	"""Add BundleDescriptorLoader and ClassLoaderModelDescriptorLoader interfaces"""	"""""""Artifacts models (plugin/policy) use classlaoder and bundleDescirptor model loaders.  Those models are converted to objects using MavenBundleDescriptorLoader, PropertiesBundleDescriptorLoader and MavenClassLoaderModelLoader. But there is no common interface for those concepts.  Ideally, there should be different implementations for classlaoder and bundleDescriptor model loaders (for example, using maven or properties) and those implementations hsould be discovered using SPI"""""""	"""Fixed as part of MULE-11476"""	0.9888743	
MULE-12092	MULE	Task	"""Split synchronous processing strategy into blocking and direct strategies"""	"""""""Now that Event doesn't have a sync flag, operations have no way of blocking when blocking behaviour is configured at flow level or is required due to transactions.    Rather than operations using event.isSynchronous() operations, where possible, should be non-blocking be default and rather the flow, via the processing strategy should block and wait for the response of these operations.    """"""""synchronous"""""""" processing strategy in config should be an alias for BlockingProcessingStrategy."""""""		0.98886514	
MULE-14203	MULE	Task	"""Make IO thread pool have an optimal core size"""	"""""""As a workaround for MULE-14179 the core size of the IO pool was reduced to 0.    Based on the performance impact (recreation/disposal of threads), determine an appropriate number of threads to use for core pool size.    Bear in mind that some custom implementation of the ThreadPoolExecitor/BlockingQueue will have to be done, in order to avoid reintrouducing MULE-14179 or MULE-13942"""""""	"""With the definitive fix for MULE-14179, having the quantity of cpu cores as the core pool size is no longer an issue and should be good enough for most situations."""	0.9888151	
MULE-11167	MULE	Enhancement Request	"""Policies should be non blocking"""	"""""""A spike was performed in MULE-11166 and there's a branch with a first attempt of achieving that.    However, as stated on the linked issue, there're design principles in the current policies solution which prevent to go fully non blocking.    We should overcome those limitations in order to allow NB policies."""""""		0.9887961	
MULE-11773	MULE	Enhancement Request	"""Parameters of Interface types should be forced to have API implementations"""	"""""""Parameters of Interface types should be forced to have API implementations.    If we have an operation like:      where Car is an interface like:       Then, unless we provide a public implementation of this Car interface, the only way the app user can create the parameter for this operation is to create its own implementation using a Java Component. This won't work nicely with DW.    We should enforce that *any interface used in a Parameter* has to be a baseType of a SubtypesMapping declaration, thus providing at least one implementation in the API of the Extension.  *Output should have no restriction on this.*  """""""	"""there're border cases in which we may have no choice but to  allow this. Need to discuss further"""	0.98873466	
MULE-14481	MULE	Task	"""Define the specification for defining configuration options for artifacts"""	"""""""A user, before being able to define the configuration of an artifact, it must be able to know which are the things that can be configure and get some context about it. Many times it's the devops task to actually manage and deploy artifacts on behalf of users.    The idea is to create an AMF vocabulary and define the whole specification for defining the configurable parts of an application.    This will be the source of the platform to show the user the possible configuration options. It must be generic enough so new configuration options can be added in the future."""""""		0.9886072	
MULE-11928	MULE	Task	"""Review how the distribution assembly is being done"""	"""""""In 3.x, having a maven assembly that handled most of the transitive dependencies of the artifacts in a distribution was fine.    However, in Mule 4, with the different kind of artifacts, there appear a lot of new rules of how to put an artifact and its dependencies (or not) into the distro, bloating up the configuration needed to build the distro.    We should come up with an approach that correctly handles the situations for Mule 4 in an elegant and concise way."""""""	"""Correctly handled now."""	0.9885153	
MULE-11464	MULE	Enhancement Request	"""SDK connectors must not expose other plugins' packages as exportedPackages"""	"""""""A plugin must not export classes that are already exported by other plugins.    This is the case of the FTP and the FTPS (or HTTP with Sockets).  The current exported packages for the FTP connector is:      while the FTPS has the following:      The code responsible of doing the instrospection relies on org.mule.runtime.module.extension.internal.resources.manifest.ExportedArtifactsCollector"""""""	"""Because of this, the current deployment model has to do some magic to avoid repeating exported packages at the region classloader when it must fail when 2 plugins export the same sets of packages."""	0.9884848	
MULE-12606	MULE	Task	"""Remove org.apache.commons from exported packages"""	"""""""Core module is exporting many packages from org.apache.commons, mainly from Utils classes that we are extending in Mule.  Most of the functionality is used only inside the container, what is used externally (in plugins for example) is the most common utilities, like StringUtils.isEmpty and stuff like that.  The proposal to hide those packages is to provide only a subset of the utility classes in the API. Those classes should not extend/expose apache commons classes. The utilities subset must contain only the most used utility methods.  When an artifact (service/plugin/etc) requires an utility method that is not part of the API, that artifact must add the required third party library. (ie: apache commons)"""""""		0.9884444	
MULE-13249	MULE	Task	"""Annotation processor should not reference implementation classes from com.sun"""	"""""""The  org.mule.runtime.module.extension.internal.capability.xml.schema.ExtensionAnnotationProcessor is making explicit references to com.sun. implementation classes instead of using the interfaces of the annotation processing APIs.    This will prevent us from developing any IDE support as it happened with the DevKit plugin in the past. We had to remove all usages of com.sun for it to work.    There should be no need to explicitely import the implementations from that specific JDK as everything that is being done can be achieved using the actual APIs provided for processing annotations.    Any use of com.sun should not be encouraged and removed."""""""	"""Need this to be a blocker for the RC, so customers are not required to have JRE."""	0.98833233	
MULE-11874	MULE	Task	"""Rethink event serialization"""	"""""""Right now when an Event is serialized, the EventContext is considered transient yet kept in memory, so that when the event is deserealized, it's old context is assigned back.    This approach is wrong because:    * If mule crashes and reboots, events will be deserealized but their contexts will not be found, leaving them with a null callback. This will cause an odd behaviour in which an event goes through the pipeline without firing the actions it should  * If the context is lost, id, correlation and all the info which is currently there will be lost  * In cases of high load, there's the risk of these event context consuming too much memory  * In the case of batch in which the same event is deserealized over and over again, it would cause the same callback to be completed many times, which would be wrong    We need to completely rethink this and come out with an alternate solution"""""""		0.9881243	
MULE-13841	MULE	Task	"""Allow to reuse runner config without inherit all the config attributes"""	"""""""ArtifactClassLoaderRunnerConfig annotation used to configure test that run with    ArtifactClassLoaderRunner are currently scanned and the attributes for all the found configurations are merged into a new config.    This approach is useful to inherit some attributes like testInclusions/inclusions or providedExclusions but not so useful for attributes like sharedRuntimeLibs and     extraPrivilegedArtifacts. The difference between those attributes is that the latest ones are validated against the pom for each executed test, requiring that the dependencies defined on those attributes are also defined on the pom.    As some base test classes are reused from other modules, we want to reuse the code on those tests, but not necessarily to have the same classloader configuration. (shared libs for example)    So, the idea is to inherit all the attributes that define inclusions/exclusions but only use the attributes that define dependencies from only one configuration."""""""		0.9880975	
MULE-14598	MULE	Enhancement Request	"""Make HTTP service configuration builders API consistent"""	"""""""HttpClientConfiguration exposes a public Builder object instead of featuring a builder() method as the HttpRequest and other mule components do. We need to provide a consistent experience when using the service."""""""		0.9880855	
MULE-12959	MULE	Task	"""Support a concurrent artifact local repository """	"""""""As reported in MULE-12901 there seems to be cases where Aether tries to write a file in local repository twice when it is used in a concurrent environment.    There was a workaround proposed in MULE-12901 but this task is about handling this in a proper way. A possible approach could be by using [https://github.com/takari/takari-local-repository]."""""""	"""I ended up implementing a concurrent local repository by using takari-filemanager as the takari-local-repository was not using latest mechanism from Aether (ServiceLocator and Service interfaces) and even when make it work with the LocalRepositoryFactory and TakariUpdateCheckManager the same test took almost 10x more to complete.    So, this has been implemented as a new module on Tooling API and has a System Property in order to allow disable it (just in case):     By default the concurrent local repository is enabled, and also it can work if it is used in an environment with dependency injection (similar to Maven execution context)."""	0.9880029	
MULE-12301	MULE	Task	"""Rework the Tooling API to avoid exposing Mule APIs - Tooling implementation should work in an isolated ClassLoader"""	"""""""In order to avoid class loader issues Tooling Client implementation should work in an isolated class loader."""""""		0.9879094	
