issue_key	project	issue_type	summary	description	comments	design_prob	Label
JRASERVER-70436	JRASERVER	Suggestion	"""Summary (Activity/Statistics) for each project's component"""	"""""""Since components are used _to group issues within a project into smaller parts_ ([https://confluence.atlassian.com/jirasoftwarecloud/organizing-work-with-components-764478279.html]), or even _to add some structure to projects, breaking it up into features, teams, modules, subprojects, and more_ ([https://www.atlassian.com/blog/jira-software/organize-jira-issues-subcomponents]), it would be very useful to show activity and statistics for any component.    Moreover, such a summary would be even more useful if it can possibly be referred to with a clean URL such as:  {quote}{{_baseUrl_/projects/_projectKey_/components/_componentName/summary_}}  {quote}  just like it is already possible for project:  {quote}{{_baseUrl_/projects/_projectKey_/summary}}  {quote}  as component can not be specifically referred to with an URL at the moment. (Project's components can be browsed (JRASERVER-12373) with:  {quote}{{_baseUrl_/projects/_projectKey_/components}}  {quote}  and component's issues can be browsed with JQL query URL.)"""""""		0.9911055	
JRASERVER-69058	JRASERVER	Suggestion	"""Ability to customize WebHooks configurations or control WebHooks creation permission"""	"""""""h3. Scenario    In a big organization with a lot of JIRA admins, it's not possible to control who can or cannot create WebHooks. Moreover, when a WebHooks is created, an admin can configure it freely which may lead to an unexpected behavior.    h3. Suggestions  1. If possible, allow JIRA System Administrators (not JIRA Administrators) to control who can create WebHooks. This is to be considered in line with JRASERVER-36879.    2. Enable the ability to customize WebHooks configurations in a way that certain conditions must be met e.g. a JQL must be specified or an event must not be selected."""""""		0.99106795	
JRASERVER-70056	JRASERVER	Suggestion	"""Native Jira Teams Field"""	"""""""It would be nice if similar to assignee Jira issues had the concept of a team.  Given that Atlassian's stock ticket is """"""""TEAM"""""""" this would be nice to be a first class data element.  What we are seeing is that add-ons and custom fields and components are being leveraged to represent teams.  So suggestion is create a TEAMS Jira field that all plug-in/add-ons reference.     """""""	"""I think a lot of customers would like Jira to have a built-in concept of teams to go with users. Teams can have hierarchies too. I see people wanting to query for issues assigned to """"all the people who report to user X"""""""	0.99097	
JRASERVER-70474	JRASERVER	Suggestion	"""To hide the global roles from projects, Allow roles to be project specific """	"""""""There are 50+ Roles in my Jira and I want the project administrator to see only the project-specific roles, as it creates real havoc for the project administrator to go through all the roles while adding a user to the role. Also, I want to maintain other Project Role's privacy.    Thanks and Regards,    Anzar Khan"""""""	"""How would you configure the project roles that are used in a specific project?"" [SEP] ""I like the Idea.    Maybe the project roles could be connected to the permission scheme of the project. Only project roles with a permission granted in scheme should be available for the admin to add useres to it."""	0.9909636	
JRASERVER-70860	JRASERVER	Suggestion	"""AWS Cloud formation scripts to deploy Atlassian Standard Infrastructure (ASI) inside an existing VPC"""	"""""""Hi Team,    Customers would like to migrate existing Atlassian applications (Jira & Confluence) from one AWS account to another with pre-configured VPC as per their organizational standards.    Currently the supported Quick Start [Atlassian Standard Infrastructure|https://aws-quickstart.s3.amazonaws.com/quickstart-atlassian-services/doc/atlassian-standard-infrastructure-on-the-aws-cloud.pdf] includes an AWS CloudFormation template that builds out AWS infrastructure components, which are required by all Atlassian Data Center products which is inclusive of VPC.    Hence would like to leverage the ASI cloud formation scripts to work inside their existing VPC provided by their IT teams and are struggling to get them working. So the request is to have ASI cloud formation scripts which allow customers to deploy the ASI inside an existing VPC.    Please help users to meet this requirement. """""""		0.99059886	
JRASERVER-70371	JRASERVER	Suggestion	"""Add customizable """"privacy"""" and """"imprint"""" Links in Footer"""	"""""""The European GDPR forces every platform provider of internet applications to provide proper privacy and imprint information individually on that platform.    We encountered that there is no easy way in Jira to provide that Information.  As you as software provider need to keep us as customer your might assist us keep Jira running by providing at least a simple ability to set custom """"""""privacy"""""""" and """"""""imprint"""""""" links on every Jira site (I think in that footer where also """"""""about jira"""""""" and """"""""Report a Problem"""""""" and so on is linked is a good place). We could create websites to present this information.    A better approach would be to have the gdpr/privacy/imprint information to be customizable in Jira admin interface and simply klickable. But afaik this might be a bigger change."""""""	"""test"""	0.9905805	
JRASERVER-69033	JRASERVER	Suggestion	"""Add REST APIs methods to clean old node ids in JIRA Data Center"""	"""""""h3. Problem    Jira DC administrators experience a problem with tons of records about their cluster nodes on _System Info_ page in the admin panel. DC enterprise customers restart or kill or add new nodes as part of the everyday activities connected with managing their cluster. All those activities lead to the creation of records in the database and on _System Info_ page under _Cluster Nodes_ bookmark. As a result, administrators see not the actual state of their clusters, but all active & nonactive nodes in a long list that is hard for them to understand and brings more confusion than visibility. This problem becomes more significant in the case of AWS deployments.      h3. Suggested solution    Since Jira 8.1.0 we would like to provide the (!) experimental REST API which allows Admins in Jira Data Center to manage the state of the cluster. We would like to provide three methods:   * GET _/rest/api/2/cluster/nodes_ - return all nodes in cluster in JSON format.    * PUT  _/rest/api/2/cluster/node/\{nodeId}/offline_ - change the node's state to *OFFLINE* if the node is reporting as *ACTIVE*, but is non _""""""""alive""""""""_ (alive = false).   ** This step could have a negative effect on the cluster consistency, so it's under the discretion of Jira admin. Make sure the node *will not* rejoin the cluster, in another case it will have non-consistent index/cache data. The node can be restarted.   ** The node is marked as non """"""""_alive_"""""""" after missing the heartbeat timeout (default 5min).   ** Thus the node potentially could be marked as  *OFFLINE* only after heartbeat timeout.   ** (!) Remember this function is not able to stop Jira instance.   * DELETE _/rest/api/2/cluster/node/\{nodeId}_ - delete the node from the cluster and database, if state of node is *OFFLINE*.  ** Safe to execute    Only Jira System Administrators can execute those methods.    h3. Example  Example response of GET method:    Example usage:   # Make a request - GET _/rest/api/2/cluster/nodes_   # Jira returns a list of nodes*   # Find """"""""*ACTIVE*"""""""" and _""""""""alive""""""""=false_ nodes ID in the previous response - e.g. """"""""node1""""""""   # Make sure that nodes (e.g. """"""""node1"""""""") are not running in your environment and will not back to the cluster in the future.    #* (!) *They should be stoped*   # Make a request - PUT _/rest/api/2/cluster/node/node1/offline_   # Make a request - GET _/rest/api/2/cluster/nodes_   # Find out that """"""""node1"""""""" now has """"""""*OFFLINE*"""""""" state   # Make a request -  DELETE _/rest/api/2/cluster/node/node1_   # Make a request - GET _/rest/api/2/cluster/nodes_   # Find out that """"""""node1"""""""" was deleted"""""""		0.99055076	
JRASERVER-71511	JRASERVER	Suggestion	"""Project dashboards and filters"""	"""""""As a product manager I want that my team members can create, share and edit project dashboards and filters, that last for the time of the project (my product), because currently every time a team member leaves the project or even company and his account is removed, he takes his created dashboards and filters with him and the remaining team members need to recreate in some of their accounts the dashboard and filters, which is a lot of expensive work.         So my suggestion would be to create project related dashboards and filters, that can be maintained by users of a certain project related right. Those dashboards and filters have than a live cycle along the project and not the user account."""""""		0.9905021	
JRASERVER-70783	JRASERVER	Suggestion	"""Modification of Administer projects"""	"""""""Hi,         In the project permission would it be possible to divide the  Administer projet permission.    In my sense it is not the same to manage rôle membership and manage versions and Components.         manage rôle membership --> administration of a project    manage versions and Components --> manage functionnaly the project    As for the permission Manage sprints (which is a unique permission itself).         Thanks for your consideration.         Best regards,    Antoine"""""""	"""Totally agree. Our project managers should be able to add people, but we have a standard set of components across all projects that they shouldn't be able to change. I'd like to see the permissions split out as well."""	0.99047744	
JRASERVER-69843	JRASERVER	Suggestion	"""Allow admins to grant user access to the External System Import functionality"""	"""""""h3. Problem Definition    At the moment, only admins are able to perform full CSV imports. For all other users in the instance, the access is limited to the *Bulk Create* functionality, which allows issue creation from CSV files. The *Bulk Create* option is limited, as it doesn't allow for fields like *Resolution* and *Status* to be imported due to the nature of the functionality.    h3. Suggested Solution    Add a Global Permission which can grant user/group access to the *External System Import*.    h3. Why this is important    This will allow users that are not System Administrators in the instance to import some of the fields not supported by the Bulk Create functionality. With the permission, admins will be able to dictate which users in the instance will have access to this functionality."""""""		0.9902649	
JRASERVER-70528	JRASERVER	Suggestion	"""Add a user-friendly way to route Jira application logging to  STDOUT/STDERR instead of log files"""	"""""""When planning to run JIRA over a container-orchestration system like kubernetes - typically containers in kubernetes write to STDOUT from there the data is captured and sent to log solution like elastic search.    I understand that in the case of jira we use persistent volumes where log files are stored - but this makes it harder to be peaked up by standard cluster log tools.     As a way to achieve something like this, an option is to use a """"""""sidecar"""""""" (see [https://kubernetes.io/docs/concepts/cluster-administration/logging/#using-a-sidecar-container-with-the-logging-agent]) but please consider enabling such re-routing to the relevant engineering team working on containers for JIRA to be more aligned with Cloud mainstream direction."""""""		0.99024755	
JRASERVER-69677	JRASERVER	Suggestion	"""Ability to disable complete application link activity"""	"""""""We have the following use case:    We are Using Jira and have 2 Confluence instances (A and B) linked with application links. Now in the Jira activity stream the activity of both Confluence instances are shown. As an Administrator I want to disable the activity stream for a specific linked application (confluence instance B) for all users. Because in this Confluence instance B nobody has a user and when a user creates a dashboard with activity stream gadget in JIRA, the activity of Confluence B is always active.    With this active activity the performance of Jira is worse. Everytime a user opens a dashboard with activity stream active Confluence B activity in Filters, the activity stream gadgets need up to 15 seconds to load. When the user disable the Confluence B activity in Filters, the gadget loads in 3 seconds."""""""		0.99024487	
JRASERVER-68769	JRASERVER	Suggestion	"""As a user, I would like to view Jira Service Desk SLA fields on Agile cards so that I can prioritize my work easier using Agile boards"""	"""""""h3. Problem Definition    Some customers have Jira Service Desk and Jira Software installed on the same server. In *Board Configuration* > *Card Layout*, it is therefore possible to add the 'Time to Resolution' field and other SLA fields, however, they do not actually render when viewing _Active Sprints_ on a Scrum or  Kanban board. The field _does_ display as expected in the backlog view of a Scrum board.      h3. Suggested Solution    Allow all SLA fields to be displayed on Agile cards.     h3. Why this is important    Some customers have both Jira Software and Jira Service Desk and have agents who prefer to use a kanban or scrum board to view and manage work. To help with prioritisation, they would like SLA fields to show in the card layout view on agile boards.      h3. Workaround     None  """""""		0.99012613	
JRASERVER-70653	JRASERVER	Suggestion	"""Configure Jira to always generate Thread Dumps on Shutdown"""	"""""""h4. Context  During a critical situation where Jira is unresponsive or extremely slow, it becomes very important to capture thread dumps *during the impacted period* to investigate potential causes.    Many admins may not be familiar with this and restart the server before proper data is collected, losing critical information.  This means that they will have to wait for another incident to occur before they can then collect proper information.    h4. Current Behaviour  Currently, Tomcat will generate a single thread dump in the event where the shutdown process has trouble closing threads in a timely manner.    h4. Suggestion  By default *every* shutdown should generate 3 thread dumps, 5 seconds between.  To extend this it can also have an easy method to disable this behaviour."""""""	"""Yes, with suitable timeouts for when the Jira process is completely wedged and we can't even get a thread dump!"""	0.9901253	
JRASERVER-70192	JRASERVER	Suggestion	"""Define group membership for the Invited Users"""	"""""""h3. Definition  At the moment, you can only define Application Access when you invite users in Jira which is not efficient in a way that for some Projects, the Browse Project permission is restricted to some groups, therefore, the users won't be able to view the projects assigned to them.    h3. Suggestion  Have the possibility to define group membership when inviting Jira users. """""""	"""It will be very useful as in many cases we invite external users for specific Projects, so we manage the permissions with different groups from the Jira default groups in order to separate users to have access only to their projects."""	0.990101	
JRASERVER-71109	JRASERVER	Suggestion	"""Improved Issue Hierarchy links"""	"""""""*As a* JIRA Core user    *I want* a means of seeing and managing all the 'children' under a 'parent' issue type in one place. This exists for Epic issue types via the 'Epic Link' field but does not exist for Initiative or Feature issue types, which seems fundamentally flawed.    *So that* the issue hierarchy for a project is completely transparent and reporting of the same is vastly improved.    **SEE COMMENTS UNDER JRASERVER-47584, WHICH PRESENT GREATER ARGUMENT TO SUPPORT THIS CHANGE**"""""""	"""This is a definite need. Ability to create Epic type issues/links. There are times in a single project that I need multiple workflows for an epic type. "" [SEP] ""Go Joseph :)    Been crying out for this functionality. The lack of this makes Initiatives virtually useless.    Hopefully this time they'll listen ?"""	0.9900989	
JRASERVER-71327	JRASERVER	Suggestion	"""REST API or Java API interface for creating reciprocal links between 2 Jira instances"""	"""""""h3. Problem Definition    There is currently no REST API Endpoint for creating reciprocal links between 2 Jira instances at:  * https://docs.atlassian.com/software/jira/docs/api/REST/latest/  * https://docs.atlassian.com/software/jira/docs/api/REST/latest/    h3. Suggested Solution    Create a REST API endpoint or JAVA API interface  to allow the creation of reciprocal links between 2 Jira instances     h3. Workaround    None at the moment. """""""		0.9900838	
JRASERVER-71544	JRASERVER	Suggestion	"""As an end user, I want to be able to remove myself from a project"""	"""""""{panel:bgColor=#e7f4fa}    *NOTE:* This suggestion is for *Jira Server*. Using *Jira Cloud*? [See the corresponding suggestion|https://jira.atlassian.com/browse/JRACLOUD-75105].  {panel}    h3. Problem Definition  Currently, in order to remove any user from a project within Jira, it has to be done by a project administrator (or higher level such as Jira admin or Jira System admin).  A typical end user without admin rights cannot simply remove themselves from an entire project in Jira.  In some cases they could unassign themselves from individual issues (if permissions allow), but they cannot adequately manage the notifications they receive within a project, remove themselves from assignable users,       h3. Suggested Solution  It would be ideal if an end user could opt-out of any specific individual project on their own, without the need of an administrator to manage this.  It would be great if there was a single one-time action/script that could be used to unassign any issues from yourself in that project, as well as remove yourself as a project lead, and remove yourself from getting any notifications from a project.      h3. Why this is important  Jira grants total control here to the administrator of a project.  Many times too many users on a site have admin access and can inadvertently add too many or the wrong groups to project roles/adjust notification schemes to include too many users that don't really want to know about a project.  Those end users can't simply opt-out themselves.  Their only solution it to reach out to a Jira Admin in order to get them to adjust the project settings.    In Jira Cloud, we do have a process to honor GDPR regulations such as the right to be forgotten and right to erasure, however this request is not seeking a complete account deletion, but rather the ability to grant more granular control over your own account.      h3. Workaround   Currently it is not possible for a user that is not a Jira admin/project admin to remove themselves entirely from a project (such as unassigning all issues currently assigned to a single user, and removing a single user from notification schemes, and removing that user as a project lead/component lead/etc).  Please contact a Jira administrator in your site in order to remove your account from a particular project."""""""		0.99004704	
JRASERVER-69853	JRASERVER	Suggestion	"""As a Jira administrator, I would like to bypass permissions and be able to browse all projects"""	"""""""h3. Problem Definition  Jira administrators would benefit from having a way to bypass permissions and browse all projects and issues. This would be useful for troubleshooting issues such as JQL queries returning unexpected resiults, since issues from projects for which the user doesn't have *Browse Project* permission wouldn't be returned.    In large Jira instances it might not be practical to change all permission schemes in order to include all administrators before troubleshooting an issue.    h3. Suggested Solution  Implement a feature to toggle bypass of permissions for some users or groups. For example, Jira System Administrators.  """""""	"""Even in a large instance (we have 75 permission schemes) you can change the permission schemes to give the jira-administrators group the Administer project permission. There are ScriptRunner and other scripts out there to make these kind of bulk changes. Creating new permission schemes is not usually a common operation, and you do have to remember to make this change. I think the harder case to detect is when Issue Security Schemes stop Jira admins from seeing specific issues within a project. """	0.98995763	
JRASERVER-70245	JRASERVER	Suggestion	"""Restrict access to users through the User Interface"""	"""""""As a Jira administrator, I would like to have the ability to restrict users' access to the instance. This would be extremely helpful for customers that have large and heavily customized environments. It is also worth mentioning potential benefits during upgrade processes:    Without this feature, users can log in before the administrators have the opportunity to re-apply modified files/content. Additionally, it is important to deny users access to the instance before plugins are correctly upgraded and post-upgrade checks have been performed, and functionalities have been tested and are ready for use. Furthermore, once the upgrade is completed, the integrations between Jira and other applications will be reestablished and that can be another potential source of issues in the future.    Also, for instances that have users worldwide in different timezones, it can be extremely difficult to program a maintenance window where no users will be accessing Jira. In some cases, these maintenance windows are used to perform system administration tasks such as the installation of new plugins, extracting data for year-end processing or auditing by regulatory agencies.    The current options available, outlined in the article: [Preventing users from accessing Jira applications during backups|https://confluence.atlassian.com/adminjiraserver/preventing-users-from-accessing-jira-applications-during-backups-938847685.html], are not feasible for some of our customers, as it can require network and security skills that may not be available when this functionality is needed.    Because of that, this feature could benefit these customers allowing them to restrict access to the instance through the User Interface, similarly to the Full Reindex process (that is already available), not allowing users to alter data inside the instance while the process is executed.  """""""	"""Exactly! Upgrades that need plugins reinstalling are hard to do accessing just one Jira node. It would be so much easier to have the load balancer and reverse proxy all working as intended and just lock out users until everything has been tested"""	0.9898969	
JRASERVER-71219	JRASERVER	Suggestion	"""Allow Jira Ticket to Watch a Linked Confluence Page"""	"""""""To support requirements development authoring in Confluence and requirements tracking in Jira, please add the ability for a Jira ticket to watch a linked Confluence page.    Currently, a user may watch a Confluence page and receive notifications showing the delta between 2 versions of the page.  Request is for that same notification to be sent to the linked Jira record and added as a comment.  This provides users who are tracking a Jira requirements record the ability to quickly see what has changed in the linked Confluence page +from within the Jira ticket itself+.    This functionality provides a +complete requirements management solution for Atlassian+:   * Early authoring / designing of requirements in Confluence with review workflow   * Transition to Jira for requirements tracking / implementation   * Record of changes made to the linked Confluence page that can be seen in the Jira record's comments"""""""		0.98973596	
JRASERVER-70266	JRASERVER	Suggestion	"""Allow admins to add Custom Events to Batch Notifications"""	"""""""h3. Problem Definition    Since Jira 8, admins are able to choose notifications to be batched, causing a single notification to be sent for multiple events. Currently, this is limited to some system events, and custom events that might've been added by admins are not picked up by the batch notification, generating a notification of its own.    h3. Suggested Solution    Allow admins to add custom events to be picked up by batch notifications.    h3. Why this is important    Customers might have a deeply customized environment, where multiple custom events are used, which might take a majority of the notification noise in the instance. Allowing admins to choose which custom events are batched can help with reducing the noise."""""""		0.989579	
JRASERVER-70832	JRASERVER	Suggestion	"""Integration of Jira with Microsoft Teams application"""	"""""""*Problem Description*:   Customers are planning to move from using [Jira Server for Slack|https://marketplace.atlassian.com/apps/1220099/jira-server-for-slack-official?hosting=server&tab=overview] plugin which was developed by Atlassian to Microsoft Teams.    *Suggestion*:   Currently, there is no plugin developed by Atlassian to integrate with Microsoft Teams. Customers who were using Jira Server for Slack are hesitant to use a plugin developed by the third-party vendor as it is charged. It would be useful to have a plugin developed by Atlassian to Integrate Jira Server with Microsoft Teams (similar to Jira Server for Slack)."""""""	"""Hi there,    I’m Catherine, a product manager on Atlassian’s integration team. I’d love to understand your workflow and would love to chat with you for 45 minutes (in exchange for a $75 incentive) to understand how we can make your experience better. If you’re interested in chatting, please book some time with me here: [https://calendly.com/cchang-1/chat-with-atlassian-integrations-team?month=2020-09]    Thank you, and have a lovely day!"""	0.9895251	
JRASERVER-69561	JRASERVER	Suggestion	"""Allow Extended Project Administrator Project Permission to change schemes in the project"""	"""""""h3. Problem Definition  Currently, Project Administrator Permission (even extended) will not allow Project Admins to change the Schemes in the project.    h3. Suggested Solution  Allow the Extended Project Administrator to make changes to the Schemes in the project. Such schemes should be :  * Issue Type Scheme  * Issue Type Screen Scheme  * Field Configuration Scheme  * Workflow Scheme    This should allow for more flexibility and granular control on the Administration between the JIRA Application and Projects.    h3. Workaround   JIRA Admins will need to make the Scheme changes in Projects"""""""		0.9895051	
JRASERVER-69284	JRASERVER	Suggestion	"""Need ability to report of number of users that use any Add-on Application"""	"""""""Atlassian needs to add a """"""""unit of usage"""""""" to the Add-on framework, so that each Add-on application can report the number of users per month, week and per day, and the list of users that run any add-on application.    Add-on applications are not cheap, and many times we have to decide to buy one add-on over another, based on how much money we have to spend.  And we wonder if we should renew an add-on.  We'd like to make those hard decisions using actual user data.  Why should we renew an expensive add-on application, if less than 5% of the Jira usage population regularly uses it?  Or if 90% of the user population uses an add-on application multiple times per day, that add-on app should certainly be renewed.    Atlassian prepares the framework that developers use to write and publish Add-on Applications for Jira. So I believe Atlassian could add to that framework a way for the Add-on Apps to record what they consider an instant of usage, and then record that usage to the usage area of the framework. From which Atlassian could then easily publish usage of each Add-on.    For example, when I go the """"""""Manage apps"""""""" link, the Atlassian Add-on Framework could show the number of users using this app in the last month, week, day, or hour etc, that each application has passed back to it. For each """"""""User-Installed apps"""""""" that is listed.   There could also be a link that takes the user to the Application Usage Metric, that some charts that could indicate heavy usage over time of day, etc.          """""""	"""!image-2019-05-06-14-22-45-618.png!"""	0.98944736	
JRASERVER-69253	JRASERVER	Suggestion	"""Provide a way to whitelist IPs for REST API basic authentication"""	"""""""h3. Problem Definition  * Currently Jira doesn't provide a way to restrict or whitelist source IPs (JRASERVER-67452) for remote API interaction at all. One of the challenges of implementing a workaround for this at proxy/network environment level is that the REST API URL patterns for the public API are also often used by requests triggered from the UI. So there is a risk of blocking normal UI based requests while intending to block remote API calls.    h3. Suggested Solution  One way to constrain remote API usage to some extent may be to limit or restrict the use of basic auth for REST API. Provide facility or configuration to restrict basic authentication requests to whitelisted IPs."""""""		0.9894181	
JRASERVER-68505	JRASERVER	Suggestion	"""Provide granular permissions for managing releases and versions"""	"""""""Currently Jira requires that a user have project administration permissions in order to create and manage versions and releases.    This is not particularly practical for software dev shops that have release managers. We certainly don't want to have to allow our release manager access to all of the administrative functionality that project administration access allows, but there's currently no way to allow someone in that role to manage versions and releases without providing that access."""""""	"""This is essential since we need to keep tight permissions to configure permissions/roles due to audit and compliance, we want to grant projects as self service as possible."" [SEP] ""Is this not a duplication of [12891|https://jira.atlassian.com/browse/JRASERVER-12891]? If so, please vote on that item."""	0.98932976	
