issue_key	project	issue_type	summary	description	comments	design_prob	Label
DNN-9038	DNN	Improvement	"""Localization.GetString should return empty string if the key is not found"""	"""""""Localization.GetString return null if the key is not found. It should return empty string if the key is not found"""""""	"""PR submitted, https://github.com/dnnsoftware/Dnn.Platform/pull/1604"" [SEP] ""What's the purpose of this change?  I'm concerned that changing the behavior of this API will subtly break existing modules (i.e. modules may be looking for the {{null}} return value and do something specific)"" [SEP] ""We always try to improve the behaviour and performance of the core and this is one of them. This change was necessary due to many modules using the 'resourceValue' without checking for null and throwing uncaught exceptions. Example:        """	0.9862475	
DNN-7802	DNN	Task	"""DCC API - Content Template Manager does not include logic to manage template files"""	"""""""Currently all the logic to delete or add a template is in the Web Methods of the DCC Admin Module.  See Dnn.Modules.DynamicContentManager.Services.TemplateController  Delete Template    Save Template      Note: Similar code is duplicated in the Business Controller of the Admin module to create the default templates.    *Goal*  We should move this code down into the API level (ContentTemplateManager class) as this is something that the API should be able to manage, so third party or other component do not need to care about templates files logic and any operation using the API is atomic and consistent.    As part of this task we will need to write:  * Unit and if needed and possible Integration Tests  """""""	"""Batch update of issues that won't be addressed due to change in functionality from version 9.0. If you feel these issues are still relevant, please feel free to re-open."""	0.9860838	
DNN-9447	DNN	Task	"""I/E: Propose Architecture """	"""""""We need to create a common interface for any entity to facilitate:    # Export of Content  # Import of Content  # A way to get progress of both Import or Export while Import / Export is happening  ## Progress should contain percentage done, with more information, e.g. current item being processed, x of total items, etc.   # A way to stop the process mid-way    This must be able to run for a long period of time, think of 1 million users on dnnsoftware.com. It may run for minutes.    Questions:  # How do we export SC / FB modules?  # How do we export Social modules?  # How do we minimize file size into 'digestible' chunks?  # Do we need a new interface available that expands upon the existing IPortable?  # How do we track what has changed since last export (so we don't have to include things that haven't changed)"""""""	"""For QA: there is nothing to test for this issue; it is just a placeholder for the development team."" [SEP] ""Its a Dev task , no QA is required for this task to test. closing the task"""	0.9855173	
DNN-9664	DNN	Improvement	"""SI: Retrieve Username from Email Address"""	"""""""A customer would like the ability to have users grab Usernames from entering their email addresses in the login screen."""""""	"""Security Risk: using email addresses for user names is a poor design choice for many reasons, not the least of which is that if you lose your email account for any reason (i.e. you move job) then it can cause problems. It also allows for a personal denial of use attack on someone (just create an account on a site with their email address and they are blocked out).   Closing this issue."""	0.9853499	
DNN-8499	DNN	Improvement	"""GetModulesByDefinition method should use caching for faster performance"""	"""""""The ModuleController.GetModulesByDefinition() method should perform a cache lookup to avoid querying the database like its counterpart GetModuleByDefinition() method is already doing. The GetModuleByDefinition is limited to returning the first arbitrary module only, which is less useful than the GetModulesByDefinition that returns the full information.    Any relatively complex module with more than one module definition that requires figuring out if other supporting modules are added to the site will call this method, often for as many module definitions it has leading to multiple database queries per page. For example, a shopping cart module has many cross-functional links on the shopping page that needs to figure out if the category, product list, product detail, cart modules are present will query the database repeatedly leading to poor performance.    Unfortunately, this method call cannot be cached by the calling application because it has no way to properly invalidate the cache (when page is deleted, module removed from page, etc.) that only the core library can know.    The cache implementation should be quite easy to implement simply by following/reusing the similar cache code in the GetModuleByDefinition method.    Thanks,"""""""	"""there is a difficulty in cache dependency, as any update to a moduledefinition and module needs to clear this cache as well"""	0.9852807	
DNN-7796	DNN	Task	"""DCC API - Dynamic Content Item is tied to Module Id"""	"""""""In the current architecture the Dynamic Content Item instance is tied to a specific module. The Content Item table stores the ModuleId and the TabId:  !DynamicContentItemTiedToModule.png!    Basically the content item is who says: """"""""I belong to the module"""""""" when we should invert the relationship and the module should say: """"""""I in charge to render the content item"""""""".  We want the content item decoupled of the viewer so we potencially can share and integrate this content outside the dnn system or the viewer module.    The Viewer makes use of this information to know which Content Item is associated with him:      *Solution proposal*:  We should store the Content Item with no TabId or ModuleId associated and store in the Module Setting instead the Content Item Id of the Dynamic Content.  Currently the Module already use Module Setting to know which content type is used and which Edit and View template is set:  !DynamicViewerModuleSettings.png!    Note: we could eventually replace the Content Type Setting with Content Item Id.  * DCC_ContentItemId      *Important Notes*    * *Note for Dev*: we need to review the scenario where the Module is deleted. Probably for this first version we want also be able to remove the Content Item from the system as well. Need to confirmed with PM.    * *Note for QA*: this task is more API level and does not imply changes in funcionality. Just how the relationship between the content item and the module is defined."""""""	"""After discuss this task with [~accountid:<USER>, we may want for this first version still mantain the value of ModuleId and TabId in the Content Item table, even if this information won't be used for now.  However we should need to change the way the Viewer load the Content Item as commented in the jira."" [SEP] ""ModuleId and TabId are not no longer stored in the Content Item. The Viewer module now stores Module Setting to point to the Content Item Id (DCC_ContentItemId). I have mantained the Module Settings DCC_ContentType as needed for the initial module setup.    *DCC Module Setting after edited an Employee Content Item*: note that the module point to the Content Item (it is no longer the opposite, Content Item pointing to the Module)  !DCCViewerModuleSettings.png!    *Content Item table*: note that we do no have longer a relationship to the module from the Content Item. The DCC Viewer or any future DCC Visualizer shoudn't be stored as part of the Content Item.  !ContentItemTable.png!    *Note for QA:* as "	0.9852756	
DNN-10250	DNN	Improvement	"""Separate security checks fro SA & PB security in a common DLL"""	"""""""Currently there are two components that check for security issues in a DNN site. These are:  - the stand alone Security Analyzer  - the Persona Bar security extension    When issuing a security fix and updating one but not the other, there could be some confusion created for the customers where one of these checkers says an issue is fixed while the other says it is not.    To avoid this situation, we need to create a common DLL for the checks that can be used by both and any update in this library will be reflected in both of them. Also we need to modify both components mentioned above to rely on the common DLL to report any security issue.  """""""		0.9842906	
DNN-8383	DNN	Improvement	"""Support host-level OAuth authentication provider configuration"""	"""""""DNN installations with many sites sometimes want to share the API secret & key between those sites, instead of having to redefine them for each site."""""""	"""[~accountid:<USER> Can you please explain steps for our QA team to be able to test your changes. "" [SEP] ""Brian, Could you please provide sufficient details and steps to verify the fix so this issue can tested in QA?    Thanks!"" [SEP] ""After reviewing the changes a little more closely, I'm not sure that this change covers all of the scenarios that it should.  We've used it for a client to create a custom OAuth authentication provider which always stores its config at the host level, but it doesn't look like it probably supports an auth provider to be configurable about where it stores its config.  I'm waiting to see if our client is willing to put more time into testing and extending this solution.     [~accountid:557058:c87b0188-6649-4168-a5b7-ea5074701c39], do you have any thoughts on what it would look like to support, for example, the Facebook auth provider with optional host-level config?"" [SEP] ""I'm planning to review this and come up with a better implementation of this in the next few weeks."" [SEP] """	0.9840984	
DNN-10419	DNN	Task	"""Separate Platform integration tests framework into its own dll"""	"""""""To simplify writing tests by community contributors, we need to separate the test framework into its own DLL so it can be referenced and used by others in a simpler way."""""""	"""[~accountid:<USER>, please review the following PR https://github.com/dnnsoftware/Dnn.Platform/pull/1916  You can check with [~accountid:<USER> about the details."" [SEP] ""This is dev task and only affect the integration tests, QA should able safe to close it. i will monitor the TC builds to confirm nothing is broken."" [SEP] ""It should not have any Evoq related code, e.g. constants, helpers, etc."" [SEP] ""Unit tests build configuration updated and worked on TC, assign back to [~accountid:<USER> to take care of the evoq stuff:  https://github.com/dnnsoftware/Dnn.Platform/blob/ffac2ac5d0e9ee328be417588d026e5ec79e4c39/DNN%20Platform/Tests/DNN.Integration.Test.Framework/Controllers/MechanicsController.cs    thx,"" [SEP] ""I removed a couple of commercial related files and committed directly to {{development}} branch by mistake. It should be good to go now."" [SEP] ""Based on the comments - dev task no QA effort required"""	0.9834583	
DNN-8450	DNN	Improvement	"""Allow Override of prefixing Service to Username for OAuth providers."""	"""""""The fix for DNN-4133 was to add a prefix for the service to the beginning of the username. This broke our custom OAuth provider and I believe that we should have the ability to override whether we want to prefix the service to the Username in OAuth providers.  In addition to allowing that overriding, this also implements the option to automatically associate logins to existing users, based on email.    Testing of this API change will require a custom OAuth provider implementation which sets the new {{PrefixServiceToUserName}} and {{AutoMatchExistingUsers}} properties in that provider's implementation of {{OAuthClientBase}} to {{false}} and {{true}}, respectively.  That custom provider may be an existing provider (e.g. Facebook), tweaked to override those two properties.    When configured as mentioned above, the username of users who log in via that provider should be the user's email (as provided by the OAuth provider).  Additionally, if a user with that email address as their username already exists, that OAuth login would be associated with the existing account, rather than trying to create a new account."""""""	"""[~accountid:<USER>, please help reviewing the community PR https://github.com/dnnsoftware/Dnn.Platform/pull/1897"" [SEP] ""Comment add on PR, request changes."""	0.98322624	
DNN-7470	DNN	Story	"""Extract Role Manager into separate module"""	"""""""h2. Card The Role Manager is used for managing roles and role members for a site. The Role Manager is just a UI that exists over the top of the core platform APIs.  The UI components should be extracted into a separate module, however the underlying public API and data components should remain part of the platform.  h2. Conversation This initial conversion effort is only focused on conversion to a module and shall not include conversion to a MVC or SPA module.  h2. Confirmation """""""	"""After discussion with Joe/Charles, this item will be marked as """"wont fix"""". We will tackle this at a later point when we are rewriting the user management area and can better separate concerns.    Note: I attached a document I generated with some detail to help, and that demonstrated the limited scope of extraction"""	0.9830497	
DNN-9234	DNN	Improvement	"""Make Persona Bar UserSetting free of Evoq parameter in platform and extensible"""	"""""""https://github.com/dnnsoftware/Dnn.AdminExperience.Library/blob/development/src/Dnn.PersonaBar.Library/DTO/UserSettings.cs    Persona Bar user settings is a mechanism to store server side the user preference for the persona bar consume then in the UI.     These settings are used to store the latest panel open, if the panel was open, the latest query for analytics, etc… So the next time the user comes to the Persona bar will find the same setup, its preferences in place.    *Issue*  # The current implementation makes use of a Fixed Schema Entity Object (not extensible)  # The current implementation expose settings used only in Evoq  ** Some of these properties make sense for a product independent Persona Bar (i.e.: Expand PersonaBar, Active Path, Active Identifier), but other are fixed to feature in Evoq (i.e.: endDate, comparativeTerm, period, legends, expandTasks).    The goal of this improvement is remove any Evoq specific parameters and make the system extensible so other panels could take the benefit of this mechanism (starting with Evoq params).    *Note for DEV*: we have to consider if the new system is backward compatible, in case some third party could potencially using the old settings (however, I do not think will be the case as these are fixed and used already in specific area).  """""""		0.98287266	
DNN-10405	DNN	Epic	"""Move Liquid Content from Microservice to Platform"""	"""""""We want to move Liquid Content from the Evoq Microservice into modules and extensions within DNN Platform.      Important items to consider:  # Content Library, Content Types, Visualizers and API Keys need to be ported.    # Visualizer module needs to be ported.    # Search Integration  # Database structure/storage     Features not being migrated:  # Content Library -> Facebook, Twitter and LinkedIn Publishing      *Engineering Considerations*  # We need to have proper separation of concerns between web API, business layer and repository layers  # Where possible we should .Net Standard 2.0 class libraries  # Where possible remove dependencies of DNN Dlls  # Must support DNN's native:  ## Permission  ## Localization  ## Workflow   ## Search  # The above systems should be integrated using Dependency Injection  # Must use SQL Server for data storage, but the repository layer should be abstractable, where other data storage (e.g. MongoDB) can be used. Current Liquid Content uses DocumentDB which is Azure only service  ## We may require newer version of SQL Server, e.g. 2016 (especially if we want to take advantage of Json data types)   # Have source code in a new repository outside of Dnn.Platform. Our goal is to keep things as decoupled as possible - continue to slim down Platform, and certainly not more.  ## This should be Library type extension.   ## In theory, one could choose not to install Structured Content on DNN.  ## Any module taking advantage of SC must specify dependency on this library.  # Should be scalable, must support 1M+ content items with ease (of course depends on hardware). Solution should linearly scale with more hardware resources.     """""""	"""Is there a roadmap?  When can we expect this functionality in the DNN Platform?    Great news!!!"" [SEP] ""Hi [~accountid:<USER>, this will be a pretty large project.  We don't have a specific date just yet, but right now we are tracking towards March 2018.  """	0.9824378	
