project	issue_key	issue_type	summary	description	label
MULE	MULE-14656	Story	Implement IBM MQ Connector - Phase 1	"Implement phase 1 of IBM MQ based on the initial spec"	Design
JRASERVER	JRASERVER-71637	Bug	Grant permission' popup is no longer Responsive	"h3. Issue Summary    The 'Grant permission' popup within the Permission Scheme edit page is no longer responsive based on browser/window size, resulting in the options under 'Show more' bleeding out of the container and onto the main page.    This issue was introduced in *8.12.0* and is not occurring in *8.11.X*.  h3. Steps to Reproduce   # Go to '*Jira Administration -> Issues -> Permission schemes*'.   # Select '*Permissions*' under the '*Actions*' column of any permission scheme.   # Select '*Grant permissions*'.   # Choose '*Show More*' to display all available grant options.   # Resize the window vertically until the options bleed into the main page.   ## Or open your browser developer tools and drag it up.    h3. Expected Results    !PopupCorrect.png|width=342,height=142!  h3. Actual Results    !PopupWrong.png|width=329,height=188!  h3. Workaround  h6. Option 1    Resize browser window vertically until all options are visible.  h6. Option 2    Utilize [browser zoom|https://www.wikihow.com/Zoom-With-a-Web-Browser] functionality to zoom out until all options are visible."	Not Design
NEXUS	NEXUS-24912	Improvement	Nexus 2 init.d chkconfig settings	"Looking at : nexus-2.14.18-01/bin/nexus, header says:   {{# Copyright (c) 1999, 2006 Tanuki Software Inc.}}   {{#}}   {{# Java Service Wrapper sh script.  Suitable for starting and stopping}}   {{# wrapped Java applications on UNIX platforms.}}   {{# chkconfig: 2345 20 80}}   {{# description: Test Wrapper Sample Application}}    In nexus-3.25.0-03/bin/nexus, header says:   {{# chkconfig:         2345 75 15}}   {{# description:       nexus}}   {{### BEGIN INIT INFO}}   {{# Provides:          nexus}}   {{# Required-Start:    $local_fs $network $remote_fs $syslog $time}}   {{# Required-Stop:     $local_fs $network $remote_fs $syslog $time}}   {{# Default-Start:     2 3 4 5}}   {{# Default-Stop:      0 1 6}}   {{# Short-Description: nexus}}   {{### END INIT INFO}}         [Run as a Service |https://help.sonatype.com/repomanager3/installation/run-as-a-service]instructions do not mention to adjust settings so most users will use ""as-provided""         *Questions:*     In Nexus 2, why S20 / K 80 ? Seems extremely low and inconsistent with Nexus 3. autofs is not even started. 75 / 15 is more reasonable.    Why start at *init 2* ?    Run-Level 2 is multi-user-mode; no network interfaces and does not export networks services.  One would think Nexus requires both network interfaces and most likely NFS. In fact, N3 also expects {{$local_fs $network $remote_fs}}, so suggests at least Run-Level 3    *Requests:*    Adjust min Start Run-Level to 3    Set Nexus 2 Start/Stop consistent with Nexus 3 or to best settings    In Nexus 2, provide a ""complete"" INFO block:    {{# Provides:}}  {{# Required-Start:}}  {{# Required-Stop:}}  {{# Default-Start:}}  {{# Default-Stop:}}  {{# Short-Description:}}  {{# Description:}}    If using Tanuki Service Wrapper, update to something more current - Latest Stable Release ([Version 3.5.43|https://wrapper.tanukisoftware.com/doc/english/download.jsp#stable])     "	Design
TIMOB	TIMOB-28156	Bug	iOS: Module build failing for modules not having platform directory	"While building ti.map module using SDK 9.2.0.GA,  I am getting following error -       "	Not Design
DM	DM-27151	Story	Allow record information such as detector name in dataIds	"In gen2 people can specify the detector by name in a dataId.    This only seems to work for query expressions at the moment (where you can say things like exposure.name or detector.full_name).    It would be nice if a user could use the detector.full_name=R01_S10 or exposure.name=AT_O_20201002_00043 in a dataId without always requiring the integer forms. Registry does know them and in these two examples they are guaranteed to uniquely define the exposure or detector.    Aside: detector doesn't have detector.name at all so there is an inconsistency there with other dimensions."	Design
CONFSERVER	CONFSERVER-60339	Bug	LDAP users that are auto-added to a can-use group are not re-indexed	"h3. Issue Summary    When an LDAP user is synchronized to Confluence without membership in a group that confers can-use access, that user will not be indexed. If LDAP is configured to auto-add users to a ""can-use"" group when they authenticate for the first time, then when the user logs in they will be able to access and use Confluence, but they won't be re-indexed with that group, and so will still not be found in any feature that uses the index, like mentions, the people directory, <USER>     h3. Steps to Reproduce  # Create LDAP directory (Connector type) in Confluence, making sure that none of the LDAP groups confer can-use access  # Configure the directory to auto-add users to ""confluence-users""   # Synchronize directory. User should appear on the ""Users"" screen without membership in any can-use group.  # Search for that user in People Directory or try to mention them on a page. This shouldn't be possible since the user does not belong to a group that can access Confluence. This is expected.   # Wait for user to log in for first time and be added to ""confluence-users"" group  # Search for that user in People Directory or try to mention them on a page    h3. Expected Results    The user can be found in the People Directory and in any other feature that utilizes the index    h3. Actual Results    User cannot be found in the index, even though they appear on the ""Users"" screen and can log in with membership in a can-use group    h3. Workaround    Make a minor edit to the user's profile to trigger a re-index of their user object. "	Not Design
FAB	FAB-18185	Task	Call ACLProvider.CheckACLNoChannel directly when there is no channel	"This is a follow up to the PR review discussion:  [https://github.com/hyperledger/fabric/pull/1791#discussion_r475417325]    In the referred PR, we added a CheckACLNoChannel func to ACLProvider interface. With this interface update, it may cause confusion due to inconsistent calling pattern:   * if you work with SignedProposal and have no channel , existing code calls the CheckACL with channelID as an empty string   * if you work with SignedData and have no channel, new code calls CheckACLNoChannel     We should update the existing code to explicitly call CheckACLNoChannel when there is no channel.     "	Not Design
MESOS	MESOS-10060	Task	Create code to bind-mount domain sockets into docker-type executor containers	"Same as MESOS-10037, but for containers of type `DOCKER`."	Design
DM	DM-27131	Story	Fix pickling of Task with parent	"In DM-27097 we are having difficulties with multiprocessing because in order to pickle RawIngestTask in that context we need to pickle the parent task. In general, ensuring that every parent task is pickleable is hard to do and it turns out that a task only needs its parent task to do some minor adjustments to internal configuration and does not use the parentTask at all other than when pickling.    Change pickling in Task so that it pickles the things it needs from the parent task but does not pickle the parent task."	Not Design
DM	DM-27217	Story	Avoid deadlocks in Database.sync	"The new implementation of Database.sync introduced on DM-24355 is subject to deadlocks, as first reported [here|https://lsstc.slack.com/archives/C2JPT1KB7/p1603061206230500].    This is actually a problem with any code that uses the {{lock}} argument to {{Database.transaction}}, because that acquires a SHARED lock (in PostgreSQL) that can be owned by multiple readers, and when both readers then try to upgrade to a more exclusive lock for writing, we get a deadlock.    A partial, simple, possibly-good-enough-for-now fix is to do at a table level what we already do at a full-database level in SQLite - make explicit transaction locking EXCLUSIVE, and thus force any other processes waiting for a lock to block.  It looks like (according to the [PostgreSQL|https://www.postgresql.org/docs/current/explicit-locking.html] docs) this does not prevent concurrent reads from the same table.  This is only a partial fix because I think the exclusive lock probably needs to be acquired at the outermost transaction context in order to force blocking instead of deadlocks.  That's in daf_butler's control in the Datastore case that's causing problems now, but it's in obs_base or skymap code in other concrete {{Database.sync}} usage contexts, and since {{Registry.transaction}} is a public API we can't control usage from spreading to other external code a swell.  I think the only way to express that in terms of interfaces is to go back to the original idea of this ticket, which is to make {{Database.sync}} itself into a context manager that cannot be nested within other transactions, but which starts its own transaction context in which other operations can be nested.    Anyhow, given that the intended usage of {{Database.sync}} is primarily on small, infrequently modified tables (like those that track {{instruments}} and {{Datastore}} s), I don't think that locking is likely to be a problem, except perhaps for our usage of {{sync}} on {{exposure}} in raw ingest (but even there, let's just keep an eye on that and deal with it if it becomes a problem).  Longer-term, I there's an alternate approach to all of this that uses SERIALIZABLE transaction isolation and retries instead of explicit locking, and that may scale better to more concurrency as well as be more database-agnostic.  But that's a lot harder to map to a usable Python interface, because those retries need to include all database calls in the same transaction context, not just those invoked by {{Database.sync}}, and that means we need to remember those calls in the Python layer rather than forward them on to SQLAlchemy immediately.  DM-26302 will probably require interface changes that would be similar to the kinds of interface changes this would require (i.e. having {{Database.transaction}} return a connection-holding object that would be used to make database calls, instead of those happening on the {{Database}} itself).    I am leaning towards just using this ticket for the simple/partial fix, and deferring future API-change work to other tickets, because aside from the Datastore creation race problem (which the simple fix should address), any other problems should be both extremely rare and work-around-able via manual retries.  I'll open other tickets for future work when I close this one, if necessary."	Design
NEXUS	NEXUS-25491	Bug	Admin - Change Repository Blob Store task spawns threads which are not named contextually	"The Admin - Change Repository Blob Store task spawns threads which have a default name: ie. pool-xxxxx-thread-x    Threads and thread pools should spawn threads should be contextually named to aid problem diagnosis in thread dumps. This is something addressed in several different versions of NXRM.    For motivation and context refer to similar issues NEXUS-14110 and NEXUS-21198  h4. Expected    All thread pools and threads in those pools should be given a name that is relevant to the feature area that is responsible for that pool.    [https://stackoverflow.com/questions/6113746/naming-threads-and-thread-pools-of-executorservice]"	Design
TIMOB	TIMOB-24780	New Feature	iOS 11: Expose new API's to Ti.SafariDialog	"iOS 11 offers new configuration methods for the Ti.SafariDialog module:  * barCollapsingEnabled: Decide whether or not you want to collapse the nav-bar during scrolling  * dismissButtonStyle: Different dismiss-styles for the nav-button (done, close, cancel).  * Expose {{AuthenticationSession}} API"	Design
CONFSERVER	CONFSERVER-60297	Suggestion	Edits for Moffitt Intranet Page	"When perusing I found the following typos:    On Dr. Wenig's profile: Armed is misspelled     !image-2020-09-18-11-54-57-638.png!         Dr. Mandy O'Leary is misspelled on the faculty page under Informatics and Blood Bank headings.    !image-2020-09-18-11-56-02-449.png!    !image-2020-09-18-11-56-10-306.png!         In Dr. O'Leary's bio, a space is missing between University and M.D. (should there be a period after the D?)    !image-2020-09-18-11-56-54-313.png!          "	Design
MESOS	MESOS-10026	Improvement	Improve v1 operator API read performance.	"Currently, the v1 operator API has poor performance relative to the v0 json API. The following initial numbers were provided by [~<USER> from our state serving benchmark:       |OPTIMIZED - Master (baseline)| | | | |  |Test setup|1000 agents with a total of 10000 running tasks and 10000 completed tasks|10000 agents with a total of 100000 running tasks and 100000 completed tasks|20000 agents with a total of 200000 running tasks and 200000 completed tasks|40000 agents with a total of 400000 running tasks and 400000 completed tasks|  |v0 'state' response|0.17|1.66|8.96|12.42|  |v1 x-protobuf|0.35|3.21|9.47|19.09|  |v1 json|0.45|4.72|10.81|31.43|      There is quite a lot of variance, but v1 protobuf consistently slower than v0 (sometimes significantly so) and v1 json is consistently slower than v1 protobuf (sometimes significantly so).    The reason that the v1 operator API is slower is that it does the following:    (1) Construct temporary unversioned state response object by copying in-memory un-versioned state into overall response object. (expensive!)  (2) Evolve it to v1: serialize, de-serialize into v1 overall state object. (expensive!)  (3) Serialize the overall v1 state object to protobuf or json.  (4) Destruct the temporaries (expensive! but is done after response starts serving)    On the other hand, the v0 jsonify approach does the following:    (1) Serialize the in-memory unversioned state into json, by traversing state and accumulating the overall serialized json.    This means that v1 has substantial overhead vs v0, and we need to remove it to bring v1 on-par or better than v0. v1 should serialize directly to json (straightforward with jsonify) or protobuf (this can be done via a io::CodedOutputStream)."	Design
SERVER	SERVER-51452	Task	"TenantMigrationConflict should store a shared_ptr to the TenantMigrationAccessBlocker"	"""This ensures that the [<USER>block|https://github.com/mongodb/mongo/blob/ee3c94bb462b757cd12e77c6c23ac3e56b01c194/src/mongo/db/repl/tenant_migration_donor_util.h#L113] in the service entry point is able to find out the migration's outcome.    Otherwise, it's unlikely but possible that the migration would have completed and been forgotten by the time the <USER>block executes.    This ticket should add a test that if the migration is forgotten before the <USER>block executes, the operation still correctly returns the migration's outcome."""	Design
CONFSERVER	CONFSERVER-60300	Suggestion	Share a template across multiple spaces but not globally	"h3. Background    From my research, there is no current way to share a template across multiple spaces without making it global to all users. We are in a large company with many separate spaces and tens of thousands of users, so global is too broad for most templates that a team would create.    For example, one team with their own space has created a functional spec template that other users in a different space may find useful, but we don't want to spam thousands of people with this in their create page popups.     The current solutions I see are:    1) Create a new template in the 2nd space by copy and paste   .. or ..    2) Create a global template for all Confluence users         This is also related to the ability to [copy/import/export|https://jira.<USER>browse/CONFSERVER-7752?error=login_required&error_description=Login+required&state=4f84a1bf-7b50-4e6b-8c50-b0c726e4ed8f] templates using other than the keyboard copy and paste shortcuts.   h3. Request    This request is for an intermediate template option where a template can be configured to share across _some_ spaces within the Confluence installation but not _all_ spaces like a global template would.  h3. Benefits:   * Reduce redundancy and manual effort to maintain templates that may be evolving across spaces   * Restrict global template views to only relevant spaces.         Reference:    [Community discussion how to share templates|https://community.<USER>t5/Confluence-questions/How-do-I-share-templates-between-spaces-in-Confluence/qaq-p/84806]     "	Design
SERVER	SERVER-51786	New Feature	"Option for build variants using feature-flag to not generate BFGs"	"""When developing a new feature guarded by a feature-flag (disabled by default) it is useful to have a special build variant that enables the feature in development. Projects could have multiple engineers and such builder makes collaboration easier where incremental change turns the builder more and more green. It also makes it easier for the project lead to be informed of the status of the project.    However it is expected that a feature in development is not functioning properly with many failing tests generating BFGs, wasting time for the build baron(s).    It would be great if there was a way to specify in the evergreen configuration that a build variant should not generate BFGs on failures so it can be used as described above without impacting other teams."""	Design
DM	DM-24185	Story	Deploy for DBB Buffer Mngrs v1.1 Gen2 for BOT images (endpoint only)	"Deploy for DBB Buffer Mngrs v1.1 Gen2 for BOT images (endpoint only)  This ticket had been created automatically Primavera ID: None"	Design
SERVER	SERVER-51701	Improvement	"Formalize relationship between ingress Sessions and Clients"	"""Currently, every {{Client}} _may_ have a {{Session}} ([here|https://github.com/mongodb/mongo/blob/af298544ba207890ef3dc9da9b5b7db8e17eb2bb/src/mongo/db/client.h#L120-L133]). I think we should formalize this relationship:  - We should invariant that _every_ ingress {{Client}} has a {{Session}} and every service {{Client}} does not.  - We should have a {{Client}} pointer in {{Session}} that is valid only if the {{Session}} is an ingress {{Session}}.    This will make it easier to work with ingress {{Client}} instances and allow us to access decorations deeper into the transport infrastructure."""	Design
JRASERVER	JRASERVER-71687	Suggestion	Cannot view the full name for attachment in description column	"If the attachment name is too big then We observe that part of the display name for attachment does not show up while selecting attachment from the attachment column. Would like to request for a feature for display name to be visible completely    "	Design
MESOS	MESOS-10158	Bug	Mesos Agent gets stuck in Draining due to pending unacknowledged status updates	"A Mesos agent can get stuck in the Draining mode caused by pending unacknowledged status updates. When the framework becomes disconnected, the agent keeps sending task status updates for terminated tasks of that framework. This leads to a problem when the agent gets stuck in the Draining state because the master transitions the agent from DRAINING to DRAINED state only after all task status updates get acknowledged.    This problem can be resolved by sending [""Teardown"" operation|https://github.com/apache/mesos/blob/8ce5d30808f3744eeded09d530f226079d569a94/include/mesos/v1/master/master.proto#L299-L303] for all lost frameworks. However, it would be much better if this situation could be handled automatically by the Master. At least, we should make it easier for an operator to find out what prevents draining operation to complete."	Not Design
CONFSERVER	CONFSERVER-60412	Suggestion	Documentation Promotion Update Capability	"Hello,         Evening! Currently I use Confluence as a means to document technical aspects and internal facing procedures. A feature that would be very useful and efficient a promote to Prod feature/function.         For Example - My company uses both a ""Staging/test"" workspace for documentation where many colleagues can collaborate on a page and review all documentation requirements/specs/info prior to us moving over to our official PROD documentation workspace. We currently have to copy and paste and it can be quite time consuming depending on what type of technical requirement/information is being displayed/updated. The function that would elevate confluence to the next level and honestly make this application much easier to use is function that allows you to link 2 pages together or workspaces that allows you to take one page (Must share the same name or a token to link them together) and then promote all updates from the lower documentation workspace (STAGING/TEST) to a production environment. This would overwrite the existing page in PROD with the new updates being promoted from the lower workspace environment. "	Design
MESOS	MESOS-10030	Improvement	Better error message than "unknown container"	"When a task fails to start due to a Docker image fetch timeout the {{TASK_FAILED}} message is {{unknown container}} or {{Container not found}}.      See this log example        Ideally the error message would indicate that the fetch timed out."	Design
SERVER	SERVER-51720	Bug	"BSONElement::_binDataVector incorrect bindata-type-2 bounds"	"""I could be wrong, but I think {{BSONElement::_binDataVector}} uses incorrect bounds for the {{std::vector<uint8_t>}} result constructor when retrieving the data for a bindata-type-2 (the ByteArrayDeprecated bindata subtype).    https://github.com/mongodb/mongo/blob/8751e79bc03b5c4c679040440ac76481fd3db356/src/mongo/bson/bsonelement.h#L565-L567    {code:c++}      std::vector<uint8_t> _binDataVector() const {          if (binDataType() != ByteArrayDeprecated) {              return std::vector<uint8_t>(reinterpret_cast<const uint8_t*>(value()) + 5,                                          reinterpret_cast<const uint8_t*>(value()) + 5 +                                              valuestrsize());          } else {              // Skip the extra int32 size              return std::vector<uint8_t>(reinterpret_cast<const uint8_t*>(value()) + 4,                                          reinterpret_cast<const uint8_t*>(value()) + 4 +                                              valuestrsize() - 4);      The difference between ByteArrayDeprecated (binDataType==2) and other binData payloads is that it has a wasted redundant 4-byte length field. So we need to skip over that when returning the binData payload. I think the intend of the +4 was to skip over this length, but it's incorrectly specified here. It should be that we skip 4 beyond what we'd do for other binData types, and they already skip 5.    I'll note also that valuestrsize() might be smaller than 4 if the BSON is malformed, so we should skip 4 bytes, but no more than {{valuestrsize()}}, to ensure that the {{vector}} arguments are a valid range.    In other words,    {code:c++}      std::vector<uint8_t> _binDataVector() const {          auto first = reinterpret_cast<const uint8_t*>(value()) + 5;          auto last = first + valuestrsize();          if (binDataType() == ByteArrayDeprecated)              first += std::min<size_t>(4, last - first);  // skip extra int32 size.          return {first, last};  }  {code}  """	Not Design
DM	DM-24684	Improvement	Extend the Replication/Ingest framework and REST API with algorithms and tools for indexing catalogs	"The current implementation of the Replication/Ingest doesn't provide any mechanism for managing (inspecting, creating or dropping) indexes on the data tables within Qserv. Only a few essential (for Qserv to function) indexes get automatically created. A lack of indexes may affect a performance of many user queries. Hence a goal of this development is to add the following capabilities to the system:  * extending the Replication Framework with a set of _request_ and _job_ classes for managing indexes at workers.  * adding a command-line version of the Replication _controller_ tool for managing the indexes  * extending the REST services of the *Master Replication Controller* with the index management services    Other notes:  * the REST services need to be protected with the _auth_key_ mechanism as explained in: https://jira.lsstcorp.org/browse/DM-22745  * it may be necessary to consider putting a cap on the number of indexes which were created by the system due to disk space constraints at a particular Qserv deployment. For example, the system may need to evaluate the amount of the available disk space on the coresponding file system (at Qserv workers) before attempting to create a new index.  "	Design
TIMOB	TIMOB-28077	Improvement	iOS14: Expose new error type in Bonjure Service and update doc to align with Local n/w privacy restrictions	"In iOS 14, Apple has put restriction on accessing local network. It requires user permission.   To show the prompt developer need to add key [NSLocalNetworkUsageDescription|https://developer.apple.com/documentation/bundleresources/information_property_list/nslocalnetworkusagedescription?language=objc]  in tiapp.xml and if using Bonjure Service, that need to be added in info.plist using key [NSBonjourServices |https://developer.apple.com/documentation/bundleresources/information_property_list/nsbonjourservices] . More detail can be found in WWDC video https://developer.apple.com/videos/play/wwdc2020/10110/.  In iOS 14, new error [constant|https://developer.apple.com/documentation/foundation/nsnetserviceserror/nsnetservicesmissingrequiredconfigurationerror?language=objc] is given. In titanium, it need to added in Ti.Network.BonjureService and expose as error string.  "	Design
DNN	DNN-7847	Task	DCC - Move cache from repository classes to managers classes	"Currently the cache logic for the management of the entities of the DCC is located at the repository level. It should be located inside the manager classes, and the repository classes should be only in charge of data access management.  This change affects mainly to Dynamic Content Types, Field Definitions and Templates."	Not Design
SERVER	SERVER-51687	Bug	"Suffix generation for idents in the durable catalog can conflict"	"""We use [DurableCatalogImpl::_rand|https://github.com/mongodb/mongo/blob/19bef363124a342208b7ba6cdb558285427e78e0/src/mongo/db/storage/durable_catalog_impl.h#L259] as the suffix when generating new idents in the server. The ['_rand' is generated at startup|https://github.com/mongodb/mongo/blob/19bef363124a342208b7ba6cdb558285427e78e0/src/mongo/db/storage/durable_catalog_impl.cpp#L405] and remains const throughout the uptime of the server. During the initialization of the durable catalog, we check if there's an [entry colliding with the '_rand'|https://github.com/mongodb/mongo/blob/19bef363124a342208b7ba6cdb558285427e78e0/src/mongo/db/storage/durable_catalog_impl.cpp#L493-L496] we've generated. If this '_rand' is already in use by an existing ident, we'll generate a new one. However, we only [check the contents of the '_catalogIdToEntryMap' for existing idents|https://github.com/mongodb/mongo/blob/19bef363124a342208b7ba6cdb558285427e78e0/src/mongo/db/storage/durable_catalog_impl.cpp#L416-L423] which only contains the idents starting with """"collection-"""" and not the idents starting with """"index-"""". It isn't guaranteed that all the indexes belonging to a collection share the same ident suffix as demonstrated below.     Startup mongod with an empty /data/db directory.      The '_rand' used is *-4816864174458775216* and the contents of /data/db are the following:      After creating the collection *test.a*, the contents of /data/db are the following:      From this we can deduce that the idents belonging to collection *test.a* are  * collection-7--4816864174458775216.wt  * index-8--4816864174458775216.wt (_id index)    Now we restart the server to generate a new '_rand'.      As we can see, the DurableCatalogImpl::_hasEntryCollidingWithRand() function only checks for ident conflicts on the idents starting with """"collection-"""". The new '_rand' is now *3852150022159100276*    After creating an additional index on collection *test.a*, the /data/db has the following contents:      So now, collection *test.a* owns the following idents  * collection-7--4816864174458775216.wt  * index-8--4816864174458775216.wt (_id index)  * index-0-3852150022159100276.wt (newly created index)    Upon restarting the server one last time, we see that DurableCatalogImpl::_hasEntryColldingWithRand() only checks against the idents starting with """"collection-""""        Because we're only checking for conflicts against idents starting with """"collection-"""", it's possible for us to re-use '_rand' 3852150022159100276 because of this. Statistically speaking, this has a very low probability to happen."""	Not Design
