project,issue_key,issue_type,score,score_reason,review_action,review_note,summary,description
JRACLOUD,JRACLOUD-43176,Suggestion,7,+3:scalability; +2:integration,KEEP,,"""Include the APR based Apache Tomcat Native Library by default in Standalone installations""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-43176].   {panel}  There is an additional library for Tomcat that allows for optimal performance, namely additional OS functionality and the ability for Tomcat to handle OpenSSL certificates. From Apache:  {quote} Tomcat can use the Apache Portable Runtime to provide superior scalability, performance, and better integration w"
JRACLOUD,JRACLOUD-42878,Suggestion,7,+2:integration; +2:connector; +1:plugin,KEEP,,"""Make links/mappings to repository changeset configurable""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-42878].   {panel}  When integrating JIRA with subversion or git repositories, currently it is only possible to link to JIRA issues by mentioning the JIRA issue key in commit messages/change sets. There are advantages in making this more configurable, such that one could specify some other property e.g. a custom field that cou"
FE,FE-5613,Suggestion,7,+2:migration; +2:database migration; +1:database,KEEP,,"""Warning during database migration""","""""""When migrating database via the FECRU UI, there is no warning or check in place to ensure the destination database is empty or populated. The migration script runs without any warning to the user which may result in data being lost in an existing database, if overwritten from another target database.  There should be a feature in place to help inform the user about data being present and only after receiving a confirmation from the user may the migration proceed. """""""
FE,FE-5612,Suggestion,7,+2:integration; +2:authentication; +1:database,KEEP,,"""Include a note about username case in LDAP guide""","""""""The current FECRU LDAP integration guide: https://confluence.atlassian.com/display/FISHEYE/LDAP+authentication does not include any note about the [Force lowercase usernames|https://confluence.atlassian.com/display/FISHEYE/Forcing+imported+usernames+to+be+lowercase] feature in Fisheye.  I think this should be mentioned on our LDAP guide for users to know and configure as per their business needs. It appears that many users can easily miss this configuration and end up with duplicate users (di"
JRACLOUD,JRACLOUD-45489,Suggestion,7,+2:throttle; +1:api; +1:database; +1:service,KEEP,,"""As an admin, I would like the ability to limit API Connections""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-45489].   {panel}  Excessive logins can eventually compete with Apaches ability to maintain open database connections.   Looking at our API docs: https://developer.atlassian.com/display/HOME/Atlassian+REST+API+policy#AtlassianRESTAPIpolicy-Resource/ratelimitsandpaging  We state: {quote} Resource/rate limits and paging  Resour"
XD,XD-2855,Improvement,7,+2:authorization; +2:authentication; +1:endpoint,KEEP,,"""Basic security makes xd-shell throw 403 Forbidden error""","""""""After enabling admin endpoint security in servers.yml using basic authentication and single user   Spring XD UI is secured however xd-shell commands are resulting in a 403 error:    This can be fixed by adding configuration explained in """"""""File based authentication"""""""" docs section:    Following is the problem: # Configuration explained in """"""""Single user authentication"""""""" chapter should work out of the box without additional role setup # Docs should be more clear on authorization"""""""
CWD,CWD-4296,Suggestion,7,+2:migration; +2:database migration; +1:database,KEEP,,"""Provide a migration wizard to migrate from an embedded database (HSQLDB) to an external database""","""""""h6. The Current Situation:  As per the guidelines specified by the documentation below, to migrate from embedded database to an external database involves taking an XML backup of Crowd data and a full re-install of Crowd.   * [Migrate to Another Database|https://confluence.atlassian.com/display/CROWD/Migrate+to+Another+Database]    h6. What would like to be achieved  It will be nice to have an automatic database migration through a wizard."""""""
CWD,CWD-4248,Suggestion,7,+3:openid; +2:authentication,KEEP,,"""Allow users to confirm authentication with the new /v2 OpenID server""","""""""The new {{/openid/v2}} server silently permits authentication for any relying parties on a whitelist, for cases where services are considered part of the same system.    It would be good to also introduce the behaviour (present in the old server) of allowing users to confirm, for sites not on that list, that they want to authenticate. At it simplest, this would be a request for confirmation that did not persist."""""""
JRACLOUD,JRACLOUD-42122,Suggestion,7,+2:authentication; +2:rest api; +1:api,KEEP,,"""REST API Access Permission""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-42122].   {panel}  Today any user can access JIRA using REST API, it will only respect the user's permissions to perform any actions in JIRA.  It would be great if we can define which users can access JIRA through the REST API, so we can limit the authentication for just a few.  Another good option would be define which machi"
CONFCLOUD,CONFCLOUD-60841,Suggestion,7,+2:integration; +2:rest api; +1:api,KEEP,,"""Add integration test for static content macros with rich text body""","""""""Add integration test for static content macros with rich text body, particularly testing requests to the REST API with the provided macro hash, which was broken in AC-1505.  Test needs to include both macro.id and macro.hash options."""""""
XD,XD-2705,Story,7,+2:rest api; +1:api; +1:plugin; +1:module,KEEP,,"""Add ability to add Custom Metrics/Controllers To Admin Context ""","""""""See original report here https://github.com/spring-projects/spring-xd/issues/1300  """"""""I've created a module with a custom Metric, Handler and Repository patterned after the AggregateCounter but then it appears that there doesn't seem to be a way to add anything to the Admin Context.  The diagram at https://github.com/spring-projects/spring-xd/wiki/Extending-XD shows the Plugin Context as a sibling to the Admin Context which seems to verify my fears.  It would be convenient to be able to add "
XD,XD-2695,Story,7,+2:refactor; +1:framework; +1:interface; +1:module,KEEP,,"""Better approach to handle module execution framework""","""""""Currently, when the module doesn't need to go through message bus binding, the Module interface provides 'shouldBind()` method to return false.  The shouldBind() is being used in other place where ModuleTypeConversionPlugin is excluded for spark streaming modules.  We need a better approach to refactor this. Also, see the discussion here: https://github.com/spring-projects/spring-xd/pull/1438#discussion_r24150937"""""""
CONFCLOUD,CONFCLOUD-61284,Suggestion,7,+3:jwt; +2:authentication,KEEP,,"""Static Macro Common Types""","""""""The Problem:  When writing a static macro, its common for your add on to generate html that requires another call to your addon to generate the actual content.  The most common case is when your add on would like to include an image, it needs to generate html that contains an {{img}} tag that contains a {{src}} target in your addon.  This img src url needs to contain enough information so the addon can find or generate the image. This will often be the same url parameters that were called to "
CWD,CWD-4234,Suggestion,7,+2:rest api; +1:api; +1:database; +1:interface,KEEP,,"""Allow searching for user by key from admin interface""","""""""This would allow us to find which user corresponds to a particular key in environments with restricted access to the REST API/database."""""""
CWD,CWD-4232,Suggestion,7,+2:authentication; +2:rest api; +1:api,KEEP,,"""Allow setting a user's password to PC.NONE via REST API""","""""""I should be able to issue a call like  {{curl -X DELETE http://localhost:8095/crowd/rest/usermanagement/1/user/password?username=<username> -uappname:apppass}} to set a user's password to a value which causes password-based authentication to always fail (which in Crowd is {{PasswordCredential#NONE}})."""""""
FE,FE-5485,Suggestion,7,+2:rest api; +1:api; +1:interface; +1:endpoint,KEEP,,"""REST API for adding repositories to a project""","""""""Add a REST API endpoint for adding repository content to a project in FishEye. This can currently be done through the web interface (https://confluence.atlassian.com/display/FISHKB/How+to+add+several+repositories+to+one+project+in+Crucible)."""""""
TISTUD,TISTUD-7117,New Feature,7,+3:sso; +1:interface,KEEP,,"""Studio needs SSO capability with Appcelerator Dashboard""","""""""In order to better integrate with Appcelerator Dashboard, Studio needs to be able to pass a token when navigating to the dashboard internally, so that the user doesn't have to re-login to the dashboard.    Since they are logged into studio, this shouldn't be an issue.    This feature should be exposed through the portal studio interface so that when the Appcelerator Dashboard loads, it can check to see if the interface exists, and query for login information/SSO token as needed.    """""""
JAVA,JAVA-1612,Improvement,7,+2:refactor; +2:new api; +1:api,KEEP,,"""Refactor GetDatabaseNamesOperation""","""""""Rename to {{listDatabases}} and return a {{BatchCursor<T>}} any legacy methods can map the results to get a list of names.  The new api can be updated to provide both {{listDatabases}} and {{listDatabaseNames}} which is inline with other admin list apis ({{listCollections}}, {{listIndexes}})"""""""
BAM,BAM-15385,Suggestion,7,+3:oauth; +2:authentication,KEEP,,"""SSH public key be store in repository instead of user's account""","""""""{panel:bgColor=#e3f7fc}  (i) &nbsp; When using Bamboo 5.6+ and Stash 3.2+ newly created *Application Link* with default settings:  * The servers have the same set of users and usernames *disabled*  * I am an administrator on both instances *enabled*\\  \\  will result in application link created with:  * Trusted Apps authentication *disabled*  * OAuth authentication *enabled*:  ** Allow 2-Legged OAuth *enabled*  ** Allow user impersonation through 2-Legged OAuth *disabled*  * Basic Auth authe"
JRACLOUD,JRACLOUD-41315,Suggestion,7,+2:integration; +2:rest api; +1:api,KEEP,,"""REST API is the ability to make changes to a ticket without triggering email notifications""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-41315].   {panel}  Hi,  We have been transitioning our Jira integration scripts over to the new REST API, as Atlassian indicated that they will be phasing SOAP out in future releases.  One feature that is sorely lacking in the REST API is the ability to make changes to a ticket without triggering email notifications:  https:/"
CONFCLOUD,CONFCLOUD-35948,Suggestion,7,+2:migration; +2:database migration; +1:database,KEEP,,"""Would it be possible to Create a database migration option for Confluence""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-35948].   {panel}  Using the XML Backup/Restore feature for migrating between database types (or from HSQLDB) is not always feasible, especially for large instances. This process would benefit from working similarly to the migration process in FISHEYE as explained at https://<USER><USER>display/FISHEYE/Migrating+to+an+ext"
XD,XD-2472,Improvement,7,+3:kafka; +2:async,KEEP,,"""Kafka Bus: Add suppor for async vs. sync producer""","""""""As a user, I'd like to have the option to choose between async vs. sync Kafka producer so that I can decide what algorithm better suits for sending messages. """""""
XD,XD-2418,Story,7,+3:kafka; +2:async,KEEP,,"""Kafka Sink: Support async Producer""","""""""The kafka sink supports properties for an async producer (e.g. {{queue.buffering.max.ms}} ) but you cannot enable such a producer (only {{sync}} ). Async producers batch messages (at the risk of message loss).  Add a new property {{async}} default {{false}} and add the corresponding attribute to the {{<int-kafka:producer-configuration/>}} element  {{async=""""""""$\{async\}""""""""}}"""""""
JSWSERVER,JSWSERVER-14939,Suggestion,7,+3:oauth; +2:authentication,KEEP,,"""Allow Anonymous user to view commits from JIRA Development Panel""","""""""Currently, OAuth authentication was not allowing *Anonymous* user to view commits from JIRA Development Panel. The workaround would be enabling the *Basic Access* authentication."""""""
JSWCLOUD,JSWCLOUD-14939,Suggestion,7,+3:oauth; +2:authentication,KEEP,,"""Allow Anonymous user to view commits from JIRA Development Panel""","""""""Currently, OAuth authentication was not allowing *Anonymous* user to view commits from JIRA Development Panel. The workaround would be enabling the *Basic Access* authentication."""""""
JRACLOUD,JRACLOUD-40913,Suggestion,7,+2:integration; +2:rest api; +1:api,KEEP,,"""REST API User Impersonation""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-40913].   {panel}  Would be great if while authenticated using a <USER>user we could impersonate any JIRA user using the REST API. It would help the integration with a 3rd party system to let users create issues without logging in to Jira.   Thanks!  [~<USER>"""""""
CWD,CWD-4135,Suggestion,7,+3:openid; +2:caching,KEEP,,"""Set caching directives for XRDS document""","""""""The XRDS document is immutable. The /v2 OpenID server should use caching directives to allow clients to cache this resource."""""""
JRACLOUD,JRACLOUD-40689,Suggestion,7,+2:webhook; +2:rest api; +1:api,KEEP,,"""Trigger webhook on user sign up""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-40689].   {panel}  JIRA currently triggers webhooks on four events: issue created, issue updated, issue deleted, and worklog updated. It would be convenient if JIRA also trigged webhooks on events related to users: for example, """"""""user created"""""""", """"""""user added to group"""""""", """"""""user removed from group"""""""", """"""""user delete"
XD,XD-2308,Story,7,+3:kafka; +2:integration,KEEP,,"""Create sample app to demonstrate Kafka integration""","""""""As a user, I'd like to have a sample app (GitHub project) so that I can use it as a reference while provisioning Spring XD cluster with Kafka.  Consider: * Kafka as message bus * Kafka as source  """""""
MDL,MDL-47880,New Feature,7,+3:architecture; +1:plugin,KEEP,,"""Empty submission - adding submission plugins breaks form requirement for """"File"""" and/or """"Online text"""" submission""","""""""When using additional assignment submission plugins (e.g. [Word count|https://moodle.org/plugins/view.php?plugin=assignsubmission_wordcount], [File type restriction|https://tracker.moodle.org/browse/MDL-39913]), it is possible to submit an empty File picker and/or empty Online text.    MDL-35963 solved this for the simple case of preventing empty submissions when both submission plugins are enabled (via """"""""require File OR Online text"""""""").    I presume the same applies with [other submission"
MDL,MDL-47545,Improvement,7,+2:worker; +2:authentication; +1:service,KEEP,,"""Enable cross origin requests in the Web Service REST server""","""""""It would be interesting to enable cross origin requests in the REST server (add support to CORS)    The benefits will be:  - The Mobile app will be able to use web workers (background threads) for doing tasks like synchronization of forum messages etc... Currently, this is not possible because only the main thread of the app is able to do this type of requests (see https://code.google.com/p/chromium/issues/detail?id=254993  and http://stackoverflow.com/questions/17496239/is-xhr-allowed-within"
XD,XD-2154,Story,7,+2:rest api; +1:api; +1:endpoint; +1:module,KEEP,,"""Research REST endpoint approach to push custom module""","""""""As a user, I'd like to have a REST API to point and push an archive that includes custom module definitions and configurations so that I don't have to manually move and set it up.  *Scope of this spike:* * Assess customer requirement, brainstorm, and document options * Socialize with the team to collect feedback * Identify phases * Create new stories"""""""
XD,XD-2123,Story,7,+3:distributed; +2:authentication,KEEP,,"""Provide kerberos support for HDFS sink""","""""""As a user, I'd like to have the option of _kerberized_ HDFS sink so that I can leverage Kerberos (open source distributed authentication system) for secured data writes into Hadoop."""""""
CONFCLOUD,CONFCLOUD-34900,Suggestion,7,+2:indexing; +2:migration; +1:plugin,KEEP,,"""Indexing queue impacts performance or crashes the instance""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-34900].   {panel}  Indexing queue impacts performance or crashes the instance  We developed an external application and a plugin to suit our business requirement. These two applications create or modify pages. These actions may product a lot of entries in the indexing queue, which can result in the following:  * Crash of "
JRACLOUD,JRACLOUD-39709,Support Request,7,+2:authorization; +2:authentication; +2:rest api; +1:api,KEEP,,"""401 Unauthorized when trying to access JIRA OnDemand REST API""","""""""Cross-post AOD-7395, I am sorry about that :( I would have filed this as query rather than bug but that is not an available option.  Recently trying to access JIRA OnDemand REST API using basic authentication results in error code 401 - unauthorized. Tried anything possible (curl) as documented for example here https://developer.atlassian.com/display/JIRADEV/JIRA+REST+API+Example+-+Query+issues  Even simple call to /rest/api/2/serverInfo fails.  However when logged in using browser, call to t"
MDL,MDL-46648,Improvement,7,+2:caching; +1:api; +1:database; +1:component,KEEP,,"""Improve user preferences""","""""""There are several issues regarding user preferences presently including the following:  * Adding a user preferences page.  * Adding caching to user preferences.  * Better management and separation of user preferences.    For project week I decided to look at the user preferences API and how it could be improved.    I came up with a solution the extended the current existing API and introduced a means by which to define user preferences in code.  Defined user preferences would:  * Manage the d"
XD,XD-1922,Story,7,+2:integration; +2:rest api; +1:api,KEEP,,"""Make Cron-based Triggers TimeZone aware ""","""""""Currently specified Cron Expressions are executed in the Container's default TimeZone. In *Trigger.xml* we specify:    This translates in *org.springframework.integration.config.xml.PollerParser* to    Which will call *org.springframework.scheduling.support.CronTrigger*:    """"""""Build a {@link CronTrigger} from the pattern provided in the *default time zone*.""""""""  We need to pass-in a timezone. *Should cron expressions as part of an XD *Definition* have a TimeZone parameter?* When creating the"
MDL,MDL-46247,Improvement,7,+3:sso; +2:authentication,KEEP,,"""Improved message for unauthorised external users""","""""""We have a Moodle instance with CAS SSO enabled but have turned off automatic user creation (""""""""Prevent account creation""""""""). We manually provision accounts. Right now users who don't yet have rights attempt to login they get the default error message """"""""Invalid login, please try again"""""""" and get dumped to the standard login form.    With external authentication methods we rely on the method to do the authentication but on Moodle to do the authorisation. Right now it's not clear to the use"
CONFCLOUD,CONFCLOUD-36129,Suggestion,7,+3:openid; +2:authentication,KEEP,,"""Allow users to do personalized commenting without being an OnDemand user using OpenID, Google, Facebook accounts.""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-36129].   {panel}  Evaluating Confluence OnDemand account for hosting public blog the commenting feature is a bit blunt. Either commenting is completely anonymous or the commenter must have an OnDemand-account.  The feature request is for allowing a third level of authentication, targeting the comment feature, i.e. allowi"
JRACLOUD,JRACLOUD-38731,Suggestion,7,+2:webhook; +2:rest api; +1:api,KEEP,,"""Add /render/ to REST API v2.0""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-38731].   {panel}  Request copied over from [AC-1155|https://ecosystem.atlassian.net/browse/AC-1155], raised by an Atlassian Connect Vendor.  The current JIRA comment editor has a preview that uses a JSON post to _/rest/api/1.0/render_.  This API is not present in the current 2.0, to guarantee longevity of this feature, pleas"
JSWSERVER,JSWSERVER-14473,Suggestion,7,+2:integration; +2:connector; +1:plugin,KEEP,,"""Implement 'Create Branch' feature in DVCS connector plugin for Github integration""","""""""Currently, create branch is only possible for Bitbucket and Stash integration with JIRA but not Github."""""""
JSWCLOUD,JSWCLOUD-14473,Suggestion,7,+2:integration; +2:connector; +1:plugin,KEEP,,"""Implement 'Create Branch' feature in DVCS connector plugin for Github integration""","""""""Currently, create branch is only possible for Bitbucket and Stash integration with JIRA but not Github."""""""
TISTUD,TISTUD-6553,New Feature,7,+2:indexing; +1:api; +1:module,KEEP,,"""Reactive/Reverse engineered Content Assist""","""""""In some cases, out standard type inferencing/indexing just doesn't work. For example, should.js uses a dynamic wacky way to build up the module exports and API, and we just can't offer any useful CA for it. In my testing, neither could WebStorm. But it would be useful to come up with some alternative ways of trying to be helpful for a library like that. For example, in specs there are plenty of methods/property chains called on should that we can learn from and suggest in later CA invocations"
XD,XD-1601,Improvement,7,+3:message broker; +1:module; +1:component,KEEP,,"""Naming consistency for named channels""","""""""There seems to be some inconsistency with the naming strategy for the named channels.  For example:  If we create a job """"""""j1"""""""", the job launching request queue name in the message broker would """"""""job:j1"""""""". To send a launching request, we can either use """"""""queue:job:j1"""""""" or """"""""job:j1"""""""" (both seems to work).  If we create a stream with the named p2p channel """"""""foo"""""""" we expect to use the syntax """"""""queue:foo"""""""" and the message broker will have the queue name """"""""queue:foo""""""""  T"
XD,XD-1329,Improvement,7,+3:kafka; +2:integration,KEEP,,"""Add a Kafka Source""","""""""This would use the Kafka Spring Integration Extension. We have a version of this working but had to modify the adapter code as its not currently compatible with Spring Integration 4. See INTEXT-97  """""""
JRACLOUD,JRACLOUD-37011,Suggestion,7,+2:indexing; +2:rest api; +1:api,KEEP,,"""Time Tracking should take other indexing language into account""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-37011].   {panel}  At the moment, Time Tracking doesn't account for indexing in languages other than English.  *Steps to reproduce* # Change Default language in General Configuration to *<USER>ais (France)* or Language Preference in Profile to *<USER>ais (France)* # Change indexing language to french. # Disable Time Tracking."
BAM,BAM-14288,Suggestion,7,+3:oauth; +2:authentication,KEEP,,"""Directly-Authenticated HTTP request should pass XSRF protection""","""""""Requiring clients to add unnecessary custom atlassian headers (X-Atlassian-Token) for certain URLs that are not open to CSRF attacks (because they're not using Cookie authentication) is brittle and hard to explain.    Requests that authenticate using OAuth, Basic Auth, or don't authenticate at all do not need to be protected from CSRF attacks."""""""
MDL,MDL-44070,Improvement,7,+2:public api; +1:api; +1:database; +1:interface,KEEP,,"""Conditional availability: Enhancements including OR conditions, plugins""","""""""I propose to make major improvements to the conditional availability system.     Key improvements:    * Support for OR and NOT conditions (current system only does AND) and condition trees.  * Improved user interface using JavaScript.  * Support for pluggable restrictions instead of the current hardcoded options (date, grade, etc).  * Tidy up 'grouping' feature - currently used both for grouped activities (to select a set of groups) and also as a restriction - to separate these functions.  * "
MDL,MDL-43840,Improvement,7,+3:oauth; +1:api; +1:plugin,KEEP,,"""Google Drive portfolio export should convert files to native Google docs format""","""""""Currently when you export using the portfolio API to Google Drive any files sent are not converted and so are stored in Drive in their original format.    This may be suitable for some situations, but in most plugins (forum etc) html is sent and thus you end up with a pointless 'raw' html file in your Drive rather than something converted to a native Google Doc.    Prior to the updates to googleapi.php to support OAuth 2.0 the Google Docs export used to convert these html files to native form"
MDL,MDL-43611,New Feature,7,+2:authentication; +1:database; +1:plugin,KEEP,,"""Add a """"Moodle password format"""" to the External Database authentication plugin""","""""""Since version 2.5, Moodle uses individually salted password.    In order that user accounts of two parallel Moodle sites may still be synchronised (including their passwords), it is necessary to add a new feature to the External Database authentication plugin so that Moodle can manage individually salted password of an external Moodle database.    A way to this would be to add a new Password Format to the External Database authentication plugin to deal with External Moodle Databases (a """"""""Mo"
MDL,MDL-43596,New Feature,7,+2:authentication; +1:protocol; +1:module,KEEP,,"""CAS authentication without LDAP - load user info from attributes in CAS response""","""""""The current CAS-auth module expects there to always be one and only one LDAP server in which all user information can be found. These assumptions are not always true. The CAS server may not be backed by any LDAP server, it may be backed by one LDAP server, or it may be backed by several independent LDAP servers.    The new [CAS 3.0 protocol|https://github.com/Jasig/<USER>blob/master/<USER>server-protocol/3.0/<USER>protocol_3_0.md#255-attributes] and many [CAS 2.0 implementations|https://wiki."
BAM,BAM-14150,Suggestion,7,+2:authorization; +2:rest api; +1:api,KEEP,,"""Authorization is required to access Bamboo REST API /chart/reports""","""""""Having """"""""View"""""""" or """"""""Access"""""""" selected for the """"""""Anonymous"""""""" user, I get all plans with """"""""http://localhost:8085/bamboo520/rest/api/latest/plan"""""""" and I can also access """"""""Reports"""""""" via the UI when NOT LOGGED IN.     When I try """"""""http://localhost:8085/bamboo520/rest/api/latest/chart/reports"""""""", I get the following:      Every thing is fine if I login or after I try """"""""http://localhost:8085/bamboo520/rest/api/latest/chart/reports/def?os_authType=basic&os_username=admin&os_"
JRACLOUD,JRACLOUD-36248,Suggestion,7,+3:sso; +2:integration,KEEP,,"""As a JIRA Administrator, I'd like to force all users to authenticate to the SSO before seeing any pages in JIRA""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-36248].   {panel}  h4. +Current Scenario+ It's currently possible to integrate JIRA with a SSO tool - see [Single Sign-on Integration with JIRA and Confluence|https://confluence.atlassian.com/display/DEV/Single+Sign-on+Integration+with+JIRA+and+Confluence]. However, JIRA will show any pages that do not require login (such as "
JRACLOUD,JRACLOUD-36112,Suggestion,7,+2:rest api; +1:api; +1:database; +1:endpoint,KEEP,,"""Add REST API (PUT, POST, DELETE) for custom field options""","""""""{panel:title=Status Update|borderStyle=solid|borderColor=#ff7f7f|titleBGColor=#ff7f7f|bgColor=#e5e5e5}  We have already added endpoints to:   * [Get options for field|https://developer.atlassian.com/cloud/<USER>platform/rest/v3/#api-rest-api-3-customField-fieldId-option-get]   * [Update custom field options|https://developer.atlassian.com/cloud/<USER>platform/rest/v3/#api-rest-api-3-customField-fieldId-option-put]   * [Create custom field options|https://developer.atlassian.com/cloud/<USER>pl"
XD,XD-1131,Improvement,7,+3:extension point; +1:plugin; +1:module,KEEP,,"""Basic support for Plugin contributed Module Options Metadata""","""""""Pending a better approach and extension point (see XD-1050), provide a way to factor out common recurring options for modules: * inputType * outputType * job parameters"""""""
JRACLOUD,JRACLOUD-35912,Suggestion,7,+2:integration; +2:authentication; +1:plugin,KEEP,,"""JIRA should allow additional authentication methods to Perforce job integration""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-35912].   {panel}  JIRA users get errors when trying to set authentication with an external method.   *Current scenario*:  The JIRA Fisheye Plugin uses either the P4PASSWD variable or the -P command line option to pass the password to p4.exe.   *Issue*:  When an external authentication trigger is used in Perforce (such as CRO"
CONFCLOUD,CONFCLOUD-31379,Suggestion,7,+2:refactor; +2:rest api; +1:api,KEEP,,"""Refactor attachments fetching to use soy templates and attachments rest api""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-31379].   {panel}  Currently this uses velocity and appends html to the DOM. We want to refactor the code to use Soy templates."""""""
MDL,MDL-42522,New Feature,7,+1:api; +1:database; +1:plugin; +1:module,KEEP,,"""A geographical map API in core""","""""""Currently Moodle has a map feature for IP address lookup (under /iplookup), but there are additional places that maps could be useful, so having shared map functions would be a good idea:   * Contrib plugins already exist for showing online users on a map [0], searching for places specified by a CSV upload [1], but they use their own map code.   * I'm developing a Database activity enhancement to display LatLong fields on maps [2].   * I don't know if it's important, but MDLSITE-2478 could us"
JRACLOUD,JRACLOUD-35240,Suggestion,7,+2:authentication; +2:rest api; +1:api,KEEP,,"""As a developer consuming REST API, I would like to get results when I pull data from https://username:password@hostname.atlassian.net/rest/api/2/foo""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-35240].   {panel}  I have encountered a significant and unadvertised difficulty in accessing the REST API.  I am working on an iOS app, which consumes information programmatically but doesn't handle redirects and cookies--I'm not saying that there's not probably something out there, but the tried and true standby of accessing"
JRACLOUD,JRACLOUD-35188,Suggestion,7,+2:integration; +2:connector; +1:plugin,KEEP,,"""Stash integration break when trying to remove Commits tab""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-35188].   {panel}  Enabling the Stash Integration, you end up with two tabs in the JIRA issue: Source and Commits. But the commits can't be disabled, if you try do disable the DVCS plugin (that is now a System Plugin), the Commits tab will disappear, however, you will also loose the ability to create Branches from JIRA.  *Ste"
JRACLOUD,JRACLOUD-34881,Suggestion,7,+3:oauth; +2:authentication,KEEP,,"""JIRA Administrators can configure application link""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-34881].   {panel}  According to the documentation [here|https://confluence.atlassian.com/display/JIRA/Managing+Global+Permissions#ManagingGlobalPermissions-About'JIRASystemAdministrators'and'JIRAAdministrators'], only <USER>USER>are allowed to configure Application Links .   But from the test, JIRA Administrators are able to "
CWD,CWD-3611,Suggestion,7,+2:webhook; +2:new endpoint; +1:endpoint,KEEP,,"""Crowd could provide a way for applications to test their webhooks""","""""""It might be useful to have Crowd provide a way for the clients to test a webhook.    This might be as simple as adding an optional parameter to the call to register a new webhook (e.g. {{testData}}) so that crowd pings the webhook endpoint with the test data when the webhook is first registered, or it might be in the form of adding a new endpoint to the webhooks rest resource which triggers a test of the webhook with the given id, and returns success or failure based on whether the endpoint u"
BAM,BAM-13700,Suggestion,7,+2:rest api; +1:api; +1:endpoint; +1:service,KEEP,,"""updateAndBuild.action should have a REST API endpoint and/or be documented""","""""""The updateAndBuild.action URL in Bamboo is used to ask Bamboo to conditionally build. When using [repository triggers|https://confluence.atlassian.com/display/BAMBOO/Repository+triggers+the+build+when+changes+are+committed], this is the only way to ensure that the build isn't run every time and instead respects the options laid out in [plan branching|https://confluence.atlassian.com/display/BAMBOO/Using+plan+branches] and [advanced repository configuration|https://confluence.atlassian.com/dis"
