id,issue_key,project,issue_type,summary,description,status,priority,created,updated,text,comments,predicted_label,label_name,confidence
384796,MULE-14856,MULE,Bug,"""Fix BasicHttpProxyToHttpsTestCase""","""""""BasicHttpProxyToHttpsTestCase tests started failing after the upgrade of Jetty to 9.2.24.v20180105 performed in MULE-14763""""""",Closed,Major,2018-04-06 14:51:59,2018-04-06 18:53:06,"""Fix BasicHttpProxyToHttpsTestCase"" [SEP] """"""BasicHttpProxyToHttpsTestCase tests started failing after the upgrade of Jetty to 9.2.24.v20180105 performed in MULE-14763""""""",,,,
384797,MULE-14855,MULE,Bug,"""ConfigReference String parameter is not lazy initialized properly""","""""""Having the following parameter  {code}    @ConfigReference(namespace = """"""""HTTP"""""""", name = """"""""REQUEST_CONFIG"""""""")    @Parameter    private String requesterConfig;  {code}  During lazy initialization it does not initialize, even then adding ExpressionSupport(NOT_SUPPORTED).  This results in MUnit tests failing.  An example with WSC:  {code:xml}   <wsc:config name=""""""""ws-trim-public-application"""""""" doc:name=""""""""Web Service Consumer Config"""""""" doc:id=""""""""8b23f56f-414e-4fd6-90be-837a95ee0b59"""""""" >    <wsc:connection mtomEnabled=""""""""true"""""""" wsdlLocation=""""""""http://ccoappdi03.ccity.biz/CCC.ApplicationService.Trim_3.0/TrimPublicApplicationService.svc?singleWsdl"""""""" service=""""""""TrimPublicApplicationService"""""""" port=""""""""BasicHttpBinding_ITrimApplicationService"""""""" address=""""""""http://ccoappdi03.ccity.biz/CCC.ApplicationService.Trim_3.0/TrimPublicApplicationService.svc/mtom"""""""" >     <wsc:custom-transport-configuration >      <wsc:http-transport-configuration requesterConfig=""""""""HTTP_Request_configuration"""""""" />     </wsc:custom-transport-configuration>    </wsc:connection>   </wsc:config>   <http:request-config name=""""""""HTTP_Request_configuration"""""""" doc:name=""""""""HTTP Request configuration"""""""" doc:id=""""""""1226b542-1d41-447d-b9f3-9301172ac7a9"""""""" />  {code}""""""",Closed,Critical,2018-04-06 14:13:29,2018-04-19 16:26:27,"""ConfigReference String parameter is not lazy initialized properly"" [SEP] """"""Having the following parameter  {code}    @ConfigReference(namespace = """"""""HTTP"""""""", name = """"""""REQUEST_CONFIG"""""""")    @Parameter    private String requesterConfig;  {code}  During lazy initialization it does not initialize, even then adding ExpressionSupport(NOT_SUPPORTED).  This results in MUnit tests failing.  An example with WSC:  {code:xml}   <wsc:config name=""""""""ws-trim-public-application"""""""" doc:name=""""""""Web Service Consumer Config"""""""" doc:id=""""""""8b23f56f-414e-4fd6-90be-837a95ee0b59"""""""" >    <wsc:connection mtomEnabled=""""""""true"""""""" wsdlLocation=""""""""http://ccoappdi03.ccity.biz/CCC.ApplicationService.Trim_3.0/TrimPublicApplicationService.svc?singleWsdl"""""""" service=""""""""TrimPublicApplicationService"""""""" port=""""""""BasicHttpBinding_ITrimApplicationService"""""""" address=""""""""http://ccoappdi03.ccity.biz/CCC.ApplicationService.Trim_3.0/TrimPublicApplicationService.svc/mtom"""""""" >     <wsc:custom-transport-configuration >      <wsc:http-transport-configuration requesterConfig=""""""""HTTP_Request_configuration"""""""" />     </wsc:custom-transport-configuration>    </wsc:connection>   </wsc:config>   <http:request-config name=""""""""HTTP_Request_configuration"""""""" doc:name=""""""""HTTP Request configuration"""""""" doc:id=""""""""1226b542-1d41-447d-b9f3-9301172ac7a9"""""""" />  {code}""""""",,,,
384798,MULE-14854,MULE,Bug,"""ExtensionModel generator takes into account static methods in operations""","""""""Added some static methods in the PetStore test extension for testing some scenarios and that made the extension model generation tests fail.    Revert these code changes:   * [https://github.com/mulesoft/mule/commit/eac0f0691462aae50026971d48bf9f68ca908b02#diff-10201da405805070c55f2c5b8575575eR42]   * [https://github.com/mulesoft/mule/commit/eac0f0691462aae50026971d48bf9f68ca908b02#diff-b900c1d8a06eb1e8f92ee10c477b7dd7R772]     """"""",Closed,Critical,2018-04-05 21:15:41,2018-04-23 14:01:50,"""ExtensionModel generator takes into account static methods in operations"" [SEP] """"""Added some static methods in the PetStore test extension for testing some scenarios and that made the extension model generation tests fail.    Revert these code changes:   * [https://github.com/mulesoft/mule/commit/eac0f0691462aae50026971d48bf9f68ca908b02#diff-10201da405805070c55f2c5b8575575eR42]   * [https://github.com/mulesoft/mule/commit/eac0f0691462aae50026971d48bf9f68ca908b02#diff-b900c1d8a06eb1e8f92ee10c477b7dd7R772]     """"""","""I don't think that is a bug, a static doesn't have any limitation to not be considered as an Operation. Also, the SDK provides a mechanism to ignore public methods that are not desired to be operations, that is using {{@Ignore}} on the method."" [SEP] ""This can be prevented using the `@Ignore` annotation""",,,
384799,MULE-14853,MULE,Bug,"""Fix ConstrainedConnectorExceptionStrategyMule2126TestCase in 3.8.x""","""""""Test fails after the MULE-8175: Upgrade Xerces to 2.11.2 due to a format change in parse error message""""""",Resolved,Major,2018-04-05 19:51:37,2018-10-03 15:26:25,"""Fix ConstrainedConnectorExceptionStrategyMule2126TestCase in 3.8.x"" [SEP] """"""Test fails after the MULE-8175: Upgrade Xerces to 2.11.2 due to a format change in parse error message""""""",,,,
384800,MULE-14851,MULE,Bug,"""Unable to use secure configuration property module without EE credentials""","""""""I am trying to use mule-secure-configuration-property-module with Mule 4.1.1 and Anypoint Studio 7.1.2.    I have added dependency in POM -        I DO NOT have access to Mule EE Maven Repo.     Build is failing with this error -     Failed to execute goal on project mule4-secure-properties-demo: Could not resolve dependencies for project com.mycompany:mule4-secure-properties-demo:mule-application:1.0.0-SNAPSHOT: Failed to collect dependencies at com.mulesoft.modules:mule-secure-configuration-property-module:jar:mule-plugin:1.0.0: Failed to read artifact descriptor for com.mulesoft.modules:mule-secure-configuration-property-module:jar:mule-plugin:1.0.0: Could not transfer artifact org.mule.extensions:mule-ee-core-modules-parent:pom:1.1.1 from/to mulesoft-private (https://repository.mulesoft.org/nexus/content/repositories/private/): Unauthorized (401) -> [Help 1]    If Secure properties module is available in public repo, should the parent be also available so that it can be use?""""""",Closed,To be reviewed,2018-04-05 01:29:41,2018-04-11 17:59:04,"""Unable to use secure configuration property module without EE credentials"" [SEP] """"""I am trying to use mule-secure-configuration-property-module with Mule 4.1.1 and Anypoint Studio 7.1.2.    I have added dependency in POM -        I DO NOT have access to Mule EE Maven Repo.     Build is failing with this error -     Failed to execute goal on project mule4-secure-properties-demo: Could not resolve dependencies for project com.mycompany:mule4-secure-properties-demo:mule-application:1.0.0-SNAPSHOT: Failed to collect dependencies at com.mulesoft.modules:mule-secure-configuration-property-module:jar:mule-plugin:1.0.0: Failed to read artifact descriptor for com.mulesoft.modules:mule-secure-configuration-property-module:jar:mule-plugin:1.0.0: Could not transfer artifact org.mule.extensions:mule-ee-core-modules-parent:pom:1.1.1 from/to mulesoft-private (https://repository.mulesoft.org/nexus/content/repositories/private/): Unauthorized (401) -> [Help 1]    If Secure properties module is available in public repo, should the parent be also available so that it can be use?""""""","""Hi [~<USER>,    the {{mule-secure-configuration-property-module}} is an enterprise only module which is available to enterprise customers with a valid license.    If you are an enterprise customer, please raise a support case reporting this problem.    Thanks!"" [SEP] ""Thanks @alejandro.iannucci. Then probably the property module shouldn't be available in public, non-enterprise repo, since you can't use it without the enterprise license. Anyways, Thanks for the confirmation.""",,,
384801,MULE-14850,MULE,Bug,"""When policy has source and operation, same pointcuts parameters should be available""","""""""When having a policy that defines both source and operation, we expect that if the source is executed, the operation will also be executed and vice-versa.    But, today, it may happen that only one of them is executed because there is no current way to match the parameters of the sources and operation policies""""""",Closed,Critical,2018-04-04 22:11:10,2018-05-08 19:07:53,"""When policy has source and operation, same pointcuts parameters should be available"" [SEP] """"""When having a policy that defines both source and operation, we expect that if the source is executed, the operation will also be executed and vice-versa.    But, today, it may happen that only one of them is executed because there is no current way to match the parameters of the sources and operation policies""""""",,,,
384802,MULE-14848,MULE,Bug,"""Cxf does not correctly resolve Exchange Pattern in bindings with multiple operations""","""""""Cxf does not correctly resolve Exchange Pattern in bindings with multiple operations""""""",Open,To be reviewed,2018-04-04 19:03:00,2018-04-04 19:03:07,"""Cxf does not correctly resolve Exchange Pattern in bindings with multiple operations"" [SEP] """"""Cxf does not correctly resolve Exchange Pattern in bindings with multiple operations""""""",,,,
384803,MULE-14847,MULE,Bug,"""Operation retry with transaction changes thread""","""""""When retrying an operation and a transaction is active, the retry may be run in another thread, breaking the transactional context.    Transaction support requires that transactional flows do not switch threads.""""""",Resolved,To be reviewed,2018-04-04 13:46:41,2018-10-03 15:59:24,"""Operation retry with transaction changes thread"" [SEP] """"""When retrying an operation and a transaction is active, the retry may be run in another thread, breaking the transactional context.    Transaction support requires that transactional flows do not switch threads.""""""","""This was fixed (and tests added) as part of MULE-14801""",,,
384804,MULE-14846,MULE,Task,"""Move Soap Service Implementation to a new module decoupled from mule.""","""""""*Move Soap Service Implementation to a new module decoupled from mule.*    This will:  * enable WSC and Soapkit to move faster without depending on an specific runtime version.  * share the RT code base between service, soapkit, wsc -> bugs are fixed only once :)  * WSC / Soapkit / Service can use different versions of the library if required.  """"""",Done,Critical,2018-04-03 22:14:51,2018-09-12 14:42:47,"""Move Soap Service Implementation to a new module decoupled from mule."" [SEP] """"""*Move Soap Service Implementation to a new module decoupled from mule.*    This will:  * enable WSC and Soapkit to move faster without depending on an specific runtime version.  * share the RT code base between service, soapkit, wsc -> bugs are fixed only once :)  * WSC / Soapkit / Service can use different versions of the library if required.  """"""",,,,
384805,MULE-14845,MULE,Enhancement Request,"""Smart Connectors: Add support for """"config"""" property type (stereotypes)""","""""""We need to define a property for the Smart Connector configuration that takes the name of an HTTP Listener Config as value, and curently the only way to define that is:      However, using the SDK the property can be defined as:     With this information, the SDK should be able to define the componets lifecycle in the proper order (see MULE-14827)""""""",Resolved,Blocker,2018-04-03 21:12:05,2018-10-03 16:34:31,"""Smart Connectors: Add support for """"config"""" property type (stereotypes)"" [SEP] """"""We need to define a property for the Smart Connector configuration that takes the name of an HTTP Listener Config as value, and curently the only way to define that is:      However, using the SDK the property can be defined as:     With this information, the SDK should be able to define the componets lifecycle in the proper order (see MULE-14827)""""""","""[~pmantellini] would you mind give it a try?    The way to make it work is using a 4.2.0-SNAPSHOT runtime in either Studio or Flow Designer.  How it works: Smart Connector's code will read the entire *properties* of the module and check where where used inferring if it's a a parametrization that actually supports stereotypes.  Let's say the property name is """"property_localCallbackConfig"""" and it's used in an attribute that's stereotypable, such as the  *<oauth:authorization-code-grant-type ... localCallbackConfig=""""#[vars.property_localCallbackConfig]"""" .../>*, the generated Extension Model for that Smar Connector will expose the same stereotypes of the *localCallbackConfig* attribute.   Notice that the use of the property must be enclosed with the prefix *#[vars.* and it must end with *]*.  "" [SEP] ""Hi [~lautaro.fernandez], [~alejandro.garcia]     QQ, would this affect the way lazy init resolves the dependency graph?   If I understood correctly this should work as an Smart Connector always references to na",,,
384806,MULE-14844,MULE,Bug,"""SDK should validate that the given default value of an Enum parameter is a valid value""","""""""*SDK should validate that the given default value of an Enum parameter is a valid value*    When configuring a Default value for an Enum parameter the SDK can easily validate that the given value is a valid one.     Nowadays the value is not validated letting produce cryptic errors at runtime:          """"""",Resolved,Major,2018-04-03 19:39:31,2018-11-20 21:35:08,"""SDK should validate that the given default value of an Enum parameter is a valid value"" [SEP] """"""*SDK should validate that the given default value of an Enum parameter is a valid value*    When configuring a Default value for an Enum parameter the SDK can easily validate that the given value is a valid one.     Nowadays the value is not validated letting produce cryptic errors at runtime:          """"""",,,,
384807,MULE-14843,MULE,Task,"""ArtifactClassLoaderRunner - Should keep only latest version of plugins discovered""","""""""The current code for discovering plugins for tests is not filtering the end list of plugins therefore if transitive dependencies for plugins have other plugins with different versions an error is thrown when creating the class loaders for those plugins as both versions try to define a mapping for the same package.  The runner classification code should keep the highest version of a plugin.""""""",Done,Critical,2018-04-03 19:05:17,2018-09-12 14:44:41,"""ArtifactClassLoaderRunner - Should keep only latest version of plugins discovered"" [SEP] """"""The current code for discovering plugins for tests is not filtering the end list of plugins therefore if transitive dependencies for plugins have other plugins with different versions an error is thrown when creating the class loaders for those plugins as both versions try to define a mapping for the same package.  The runner classification code should keep the highest version of a plugin.""""""",,,,
384808,MULE-14842,MULE,Enhancement Request,"""Update commons-lang version to 2.6 to match the version in mule-common""","""""""Having different versions generates that the tests in devkit fail because they use a method that was added in commons-lang 2.6. So as the mule runtime ships commons lang 2.4 the devkit tests fail.""""""",Closed,To be reviewed,2018-04-03 16:52:57,2018-04-05 16:58:15,"""Update commons-lang version to 2.6 to match the version in mule-common"" [SEP] """"""Having different versions generates that the tests in devkit fail because they use a method that was added in commons-lang 2.6. So as the mule runtime ships commons lang 2.4 the devkit tests fail.""""""",,,,
384809,MULE-14840,MULE,Enhancement Request,"""Expression with a placeholder should be correctly parsed""","""""""As from MULE-14603, an expression that has a placeholder value (e.g. """"""""#[${prop1}] ${prop2}"""""""") should update values. """"""",Open,To be reviewed,2018-04-03 15:05:22,2020-08-12 21:57:04,"""Expression with a placeholder should be correctly parsed"" [SEP] """"""As from MULE-14603, an expression that has a placeholder value (e.g. """"""""#[${prop1}] ${prop2}"""""""") should update values. """"""",,,,
384810,MULE-14837,MULE,Task,"""Fix DB flaky tests""","""""""Fix following tests cases:     Fix following tests cases:   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.connectivity.DataSourcePoolingTestCase.limitsConnections[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.connectivity/DataSourcePoolingTestCase/limitsConnections_DERBY_/]|20 sec|1|   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.source.RowListenerTestCase.idempotentListen[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.source/RowListenerTestCase/idempotentListen_DERBY_/]|5.6 sec|1|   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.source.RowListenerTestCase.listenPlanets[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.source/RowListenerTestCase/listenPlanets_DERBY_/]|5.5 sec|1|   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.source.RowListenerTestCase.listenPlanetsWithWatermark[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.source/RowListenerTestCase/listenPlanetsWithWatermark_DERBY_/]| """"""",Done,Major,2018-04-03 14:51:52,2018-09-12 14:45:53,"""Fix DB flaky tests"" [SEP] """"""Fix following tests cases:     Fix following tests cases:   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.connectivity.DataSourcePoolingTestCase.limitsConnections[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.connectivity/DataSourcePoolingTestCase/limitsConnections_DERBY_/]|20 sec|1|   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.source.RowListenerTestCase.idempotentListen[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.source/RowListenerTestCase/idempotentListen_DERBY_/]|5.6 sec|1|   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.source.RowListenerTestCase.listenPlanets[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.source/RowListenerTestCase/listenPlanets_DERBY_/]|5.5 sec|1|   |!https://muleesb.ci.cloudbees.com/static/4eadad58/images/16x16/document_add.png!  [org.mule.extension.db.integration.source.RowListenerTestCase.listenPlanetsWithWatermark[DERBY]|https://muleesb.ci.cloudbees.com/job/Mule-DB-Connector/lastCompletedBuild/org.mule.connectors$mule-db-connector/testReport/org.mule.extension.db.integration.source/RowListenerTestCase/listenPlanetsWithWatermark_DERBY_/]| """"""","""After MULE-15409 was merged, tests _listenPlanets_ and _listenPlanetsWithWatermark_ were fixed."" [SEP] ""Tests _limitsConnections_ and _idempotentListen_ were failing when they were run on an instance with less than 4 cores. This is because the flows that these tests used required more threads than the size of the runtime threadPool.    I rewrite the two failing tests to use fewer threads so they can be run on every instance.""",,,
384811,MULE-14836,MULE,Bug,"""Failure to evaluate parse expressions for logger when intercepting""","""""""When having a parse expression in a logger, for example:    The expression fails with the attached message.  This is causing any MUnit test that has this kind of logger to fail, since we intercept every processor of the application.""""""",Resolved,Critical,2018-04-03 14:40:39,2018-10-03 16:13:07,"""Failure to evaluate parse expressions for logger when intercepting"" [SEP] """"""When having a parse expression in a logger, for example:    The expression fails with the attached message.  This is causing any MUnit test that has this kind of logger to fail, since we intercept every processor of the application.""""""",,,,
384812,MULE-14835,MULE,Bug,"""In until-successful scope, if an exception ocurrs only the last retry payload is closed.""","""""""Currently, The AbstractExceptionListener is responsible of closing consumable payloads in failure scenarios.   However, in the until-successful scope, if the retry payload is replaced with a consumable one and an exception occurs, the payload won't be closed.   The until-successful component should assume the responsibility of closing all the retry payloads expect the last one what will be propagated.""""""",Resolved,To be reviewed,2018-04-03 13:32:54,2018-10-05 22:59:16,"""In until-successful scope, if an exception ocurrs only the last retry payload is closed."" [SEP] """"""Currently, The AbstractExceptionListener is responsible of closing consumable payloads in failure scenarios.   However, in the until-successful scope, if the retry payload is replaced with a consumable one and an exception occurs, the payload won't be closed.   The until-successful component should assume the responsibility of closing all the retry payloads expect the last one what will be propagated.""""""",,,,
384813,MULE-14834,MULE,Bug,"""Doc not up to date when using Spring module""","""""""Steps to reproduce:   # Create an app in Studio   # add the spring module   # Add a single flow (can be anything)   # Run it    See attached app.    Logs:  """"""",Closed,Blocker,2018-04-03 13:16:09,2018-04-03 13:22:33,"""Doc not up to date when using Spring module"" [SEP] """"""Steps to reproduce:   # Create an app in Studio   # add the spring module   # Add a single flow (can be anything)   # Run it    See attached app.    Logs:  """"""","""Cannot edit description, so closed."" [SEP] ""Should be Doc is wrong for mule-maven-plugin in [https://docs.mulesoft.com/mule-user-guide/v/4.1/migration-module-spring]    Is:    to be   * use <version>$ \{mule.maven.plugin.version}</version>   * remove {{<version> from <sharedLibrary>}}                 """,,,
