issue_key,issue_type,score,score_reason,review_action,review_note,summary,description
SERVER-2804,New Feature,9,+3:data model; +3:domain model,KEEP,,"""Transactional write-batch support""","""""""(Taken from http://groups.google.com/group/mongodb-user/browse_thread/thread/cb38df80eac19a19)  I'd like to suggest adding 'write batch' support to MongoDB in the future.  Summary ---------------------------- It would be nice to be able to know a series of writes will all happen (eventual consistency, not necessarily atomic) - or not at all.  Other transactional features like read locks etc are not to be supported with 'write batching'.  Detailed / Wall of text ---------------------------- I wanted to bring up a feature request regarding 'write transactions' or 'atomic/eventually consistent write batch' support.  A big concern I have with a lack of 'transactions' with MongoDB is that there can be a chance of data inconsistency.  If the primary server dies mid way through updating/inserting multiple documents (perhaps across multiple shards), then you can get 'corrupt' data (according to your application) by just missing a few <USER>documents in your domain model.  Mongo's internal storage of the saved documents is fine; the only problem is that some document's didn't get saved before the crash, so the ones that were saved are not valid in a domain model sense because they are missing child documents etc.  I understand transactions are not very desirable for performance reasons (especially due to locking).  With that in mind, what about the concept of 'write batching', a write- only transaction, where all writes (across any number of shards) occur at once (eventually consistent) or not at all? Read locks are never taken; and you can't lock rows.  For example; picking a simple example for demo purposes; I'd want to write:  -- mongoDriver.StartBatch() mongoDriver.db.users.insert({username: <USER>); mongoDriver.db.messages.insert({message: """"""""Welcome!"""""""", username:<USER>); mongoDriver.db.stats.update({$inc: { totalUsers: 1 }); mongoDriver.CommitBatch({atomic: bool}) --  I'd like CommitBatch() to make sure that all of my writes in that batch are either committed; or none at all.  The 'atomic' flag in commit batch would decide whether a 2pc is used to ensure all commits occur at once across multiple shards. With atomic = False; commits happen without a 2PC in the sense that no co-ordination takes place; and an 'eventually consistent' approach is taken to the commit (normally, these multi-shard changes would all appear in a few milliseconds anyway).  This feature would let me know for certain that my data model will remain consistent (either I insert a new user, create a welcome message, and update my statistics -- or not at all).  This feature CANNOT be used to perform read locking or 'bank balance' transfers because you can't block readers trying to read a document mid 'write batch' to evaluate the response - there is no read locking, your just applying a range of writes all at once or not at all.  I don't see this impacting performance at all (especially with atomic: false); there are no locks taking place at any time, except for atomic: true which would introduce a slight delay when a 2pc is occurring to coordinate a write batch when requested in the rare case its needed.  --  Conceptually I'd imagine 'begin batch' would mean each shard just logs any future write() queries to a local temporary collection (such as local.writebatches.<connection id>).  A request to 'commit batch' asks each shard whether they have finished writing to the local writebatch collection (or perhaps just always issue each writebatch insert with safe: true); if all is well, then a 'commit writebatch' command is sent to each shard (without a 2pc, unless atomic: true was requested) to persist each write by looping over local.writebatches.<connection id> collection and really performing the original request.   Some thought needs to be put into failure handling (such as inserting a 'prepared' flag to the local writebatch collection in the event of server failure to ensure its """"""""committed"""""""" on recovery), but I think thats not too difficult.   This would be a nice feature to have, it would prevent data inconsistency issues when you don't want your application to suffer; and avoids the locking associated with real transactions (that support read locks, isolation, etc)."""""""
SERVER-2489,New Feature,9,+3:distributed; +2:caching; +1:database,KEEP,,"""Memory only collection""","""""""I would like to have an in memory only caped collection... (or an LRU collection) which will not persist the data to disk..  (even, defining and entire database that will not be persistent is great)  this solution will remove the need of a distributed memcache for session caching and other data doesn't need to be persist...  """""""
SERVER-49669,Task,8,+3:architecture; +3:distributed,KEEP,,"""Architecture Guide Updates for Remove all usages of distributed lock""","""""""Please investigate if this project requires changes to the architecture guide."""""""
SERVER-49107,New Feature,8,+2:asynchronous; +2:async; +1:api,KEEP,,"""Add async command API""","""""""For certain {{Command}} implementations, notably awaitable isMaster, there is the potential to join an asynchronous queue. We should add some new functions to the {{Command*}} API. To allow for asynchronous functions to activate hooks, we need a new helper ala {{CommandHelpers::runCommand()}} and a new version of {{CommandInvocation::run()}}. The async {{CommandInvocation::run()}} should default to running the sync implementation on some persistent executor. There is some real work here in terms of designing a reliable API.    This ticket also involves attaching this API to the command path."""""""
SERVER-47819,Improvement,8,+2:authentication; +2:authorization; +2:caching,KEEP,,"""Add option to cache LDAP authentication credentials for native LDAP""","""""""When configuring LDAP authentication via {{saslauthd}}, the local {{saslauthd}} daemon can be configured to cache credentials in memory (default 8 hours).    When using native LDAP authentication (which uses {{libldap)}} there is currently no caching of authentication. This means that every new connection with {{$external}} authentication for LDAP requires a roundtrip to the LDAP server. If an application is not pooling connections correctly, this can create considerable load on the LDAP server.    Let's add a configuration parameter to configure the duration for caching user/passwords for native LDAP.    Note that the parameter {{ldapUserCacheInvalidationInterval}} controls caching for LDAP authorization (i.e. group membership) and not password authentication."""""""
SERVER-45295,Task,8,+2:authentication; +2:authorization; +1:service; +1:component,KEEP,,"""Make sure that LDAP logs always contain context on AuthZN operation""","""""""The LDAP query system can be entered by either the authentication component (during userToDNMapping), or during authorization. Binding as a LDAP user can be performed during authentication, or during authorization to become the service account user. Which context is active should be included in log statements."""""""
SERVER-37873,New Feature,8,+3:architecture; +2:sdk,KEEP,,"""Produce SDK for Android NDK""","""""""We already build everything that's needed, we could just produce a multi architecture tar with the headers/libraries for all four components (mongoc, bson, mongo_embedded and mongoc_embedded)"""""""
SERVER-35610,Task,8,+2:authentication; +2:authorization; +1:database; +1:service,KEEP,,"""Refine LDAP options parsing""","""""""{panel:title=Issue Status as of Jul 25, 2018|borderColor=#ccc|titleBGColor=#6CB33F|bgColor=#EEEEEE}    *ISSUE DESCRIPTION AND IMPACT*  In MongoDB Enterprise, when a mongod server accepts authentication attempts via the PLAIN mechanism on the {{$external}} database and is configured to use the Cyrus SASL GSSAPI mechanism for LDAP binding, then passwords are not validated.    *DIAGNOSIS AND AFFECTED VERSIONS*  Users running MongoDB Enterprise 3.4 or 3.6 may be affected by this issue under the following conditions:  * MongoDB is on Linux or macOS, and  * The PLAIN authentication mechanism on MongoDB is enabled (--setParameter  authenticationMechanisms=PLAIN), and either  ** MongoDB is configured to use native  LDAP authentication, and MongoDB is configured to use the Cyrus SASL GSSAPI  mechanism to bind to LDAP servers by setting security.ldap.bind.saslMechanisms  to contain 'GSSAPI', or  ** MongoDB is configured to use saslauthd with the LDAP backend and with ldap_mech set to 'GSSAPI'    When all these conditions are present, authentication to the {{$external}} database is possible using only LDAP usernames. Unfortunately there is no way to determine if this vulnerability has been exploited by a malicious client.    None of the following deployments are affected by this issue:  * MongoDB 3.2 and MongoDB 4.0 deployments  * MongoDB deployments running on Microsoft Windows  * MongoDB deployments that have not been configured to use the Cyrus SASL GSSAPI mechanism to bind to LDAP servers  * MongoDB deployments that use the Cyrus SASL GSSAPI mechanism for LDAP authorization, but do not accept authentication attempts with the PLAIN authentication mechanism.  * MongoDB deployments that use the Cyrus SASL GSSAPI mechanism to bind to LDAP servers during LDAP authorization, which delegate inbound PLAIN authentication attempts to an instance of saslauthd that binds to LDAP servers via a mechanism other than GSSAPI.      *REMEDIATION AND WORKAROUNDS*  There are several solutions which may be used to mitigate this issue:    * h5. Option 1  Administrators may disable the PLAIN mechanism for MongoDB, by removing 'PLAIN' from the authenticationMechanisms setParameter.  \\  \\  * h5. Option 2  If the LDAP service account password is known, and MongoDB must accept inbound authentication attempts using the PLAIN mechanism, remove the ability to bind to LDAP servers using the Cyrus SASL GSSAPI mechanism. This can be done by changing the [{{security.ldap.bind.saslMechanisms}}|https://docs.mongodb.com/manual/reference/configuration-options/#security.ldap.bind.saslMechanisms] configuration parameter to a mechanism other than """"""""GSSAPI""""""""  \\  \\  * h5. Option 3  If MongoDB must perform LDAP authorization against a server it binds to with GSSAPI, and if MongoDB must use GSSAPI to authenticate clients which present plaintext passwords, MongoDB can be configured to use GSSAPI to bind to LDAP servers, but must delegate PLAIN authentication attempts to a saslauthd instance using the 'kerberos5' backend.   \\  \\  Configure saslauthd to use the ‘kerberos5’ backend, consulting the saslauthd documentation as necessary, and configure MongoDB to use it by setting setParameter.saslauthdPath to point to saslauthd's Unix domain socket.    *FIX VERSIONS*  MongoDB 3.6.6 and 3.4.16, [available for download|https://www.mongodb.com/download-center#enterprise], contain a mitigation for this issue. Since affected deployments will fail to start after an upgrade, administrators must correct their configuration before upgrading as described above.    {panel}"""""""
SERVER-28667,New Feature,8,+2:connector; +2:worker; +1:framework,KEEP,,"""Provide a way for the Aggregation framework to query against intervals of a hashed index""","""""""The Spark connector uses the Aggregation Framework to create data partitions that are sent to Spark workers. In a sharded cluster it makes sense to align these partitions to chunk boundaries so that each worker's data loading query is targeted to a single shard.    This however is impossible when the shard key is a hashed index. A simple find can use $min / $max but there is no comparable facility in the aggregation framework."""""""
SERVER-26832,Improvement,8,+3:distributed; +2:migration; +1:database,KEEP,,"""Add tests for shell commands""","""""""Some of the shell utils are not tested  e.g. isBalancerRunning and getBalancerHost (defined in  src/mongo/shell/utils_sh.js ). Possibly other commands.   Need to find what commands are not covered and add those tests    Current list from 3.4 docs of the sharding commands  Name Description    Balancer:  sh.getBalancerLockDetails() Reports on the active balancer lock, if it exists.  sh.setBalancerState() Enables or disables the balancer which migrates chunks between shards.  sh.getBalancerHost() Returns the process that has the balancer lock.  sh.getBalancerState() Returns a boolean to report if the balancer is currently enabled.  sh.startBalancer() Enables the balancer and waits for balancing to start.  sh.stopBalancer() Disables the balancer and waits for any in progress balancing rounds to complete.    sh.waitForBalancer() Internal. Waits for the balancer state to change.  sh.waitForBalancerOff() Internal. Waits until the balancer stops running.  sh.waitForDLock() Internal. Waits for a specified distributed sharded cluster lock.    sh.waitForPingChange() Internal. Waits for a change in ping state from one of the mongos in the sharded cluster.  sh.isBalancerRunning() Returns a boolean to report if the balancer process is currently migrating chunks.  sh.disableBalancing() Disable balancing on a single collection in a sharded database. Does not affect balancing of other collections in a sharded cluster.  sh.enableBalancing() Activates the sharded collection balancer process if previously disabled using sh.disableBalancing().      Tags/Zones:  sh.addShardTag() In MongoDB 3.4, this method aliases to sh.addShardToZone().  sh.addShardToZone() Associates a shard to a zone. Supports configuring zones in sharded clusters.    sh.removeShardTag() In MongoDB 3.4, this method aliases to sh.removeShardFromZone().  sh.removeShardFromZone() Removes the association between a shard and a zone. Use to manage zone sharding.    sh.addTagRange() In MongoDB 3.4, this method aliases to sh.updateZoneKeyRange().  sh.updateZoneKeyRange() Associates a range of shard keys to a zone. Supports configuring zones in sharded clusters.    sh.removeTagRange() In MongoDB 3.4, this method aliases to sh.removeRangeFromZone().  sh.removeRangeFromZone() Removes an association between a range of shard keys and a zone. Supports configuring zones in sharded clusters.      Chunks:  sh._lastMigration() Reports on the last chunk migration.  sh.moveChunk() Migrates a chunk in a sharded cluster.  sh.splitAt() Divides an existing chunk into two chunks using a specific value of the shard key as the dividing point.  sh.splitFind() Divides an existing chunk that contains a document matching a query into two approximately equal chunks.    Misc:  sh._adminCommand() Runs a database command against the admin database, like db.runCommand(), but can confirm that it is issued against a mongos.  sh._checkFullName() Tests a namespace to determine if its well formed.  sh._checkMongos() Tests to see if the mongo shell is connected to a mongos instance.  sh.addShard() Adds a shard to a sharded cluster.  sh.enableSharding() Enables sharding on a specific database.  sh.shardCollection() Enables sharding for a collection.    The  sh.status() Reports on the status of a sharded cluster, as db.printShardingStatus().  uses several methods:  sh.getRecentFailedRounds  sh.getRecentMigrations  sh.getActiveMigrations  sh.getBalancerWindow  sh.getBalancerLockDetails    """""""
SERVER-24838,New Feature,8,+3:architecture; +2:integration,KEEP,,"""Add Scons Tool for Capturing Dependency Graph ( aka dagger )""","""""""Tool should be generally similar to the compilation DB tool, and it should:  * Depend on all object files  * Contain a basic implementation of a graph class to model the graph we'll generate  * Integrate directly into SCons  * Contain library, file, and symbol dependencies, using an architecture that will support adding new node and edge types into the graph.    This commit should also include:  * Test coverage for all operations """"""""above"""""""" the SCons integration.  * README or an extensive comment describing architecture, design, and how to run tests.  * License headers for Apache2"""""""
SERVER-22658,Task,8,+3:distributed; +2:migration; +1:protocol,KEEP,,"""Implement support for legacy and new migration protocol -- shard versus balancer holding the distributed lock""","""""""This task is for the changes which need to be made to the donor shard's migration manager so that it supports both the legacy migration protocol (shard acquires the distlock) and the new protocol where the CSRS primary holds the distributed lock.    Implementation (high level):    Config balancer:  The balancer will always first take the distributed lock for the collection in which it's about to move a chunk. A protocol flag will be added to the moveChunk command. This flag will be ignored if the shard receiving it is old -- it won't know to parse for it. In the case of an old shard, the shard will attempt to take the distributed lock as usual and get a LockBusy -- or something -- error, which will be returned to the balancer. The balancer will then interpret this response as the shard using the old protocol and release the distributed lock and call moveChunk again, and this time the shard will successfully take the distributed lock as usual.    Shard:  The shard will parse the moveChunk command for the new protocol flag. If it finds it, then it will not attempt to take the distributed lock for the collection. Instead the shard should check that the balancer possesses the distributed lock for the collection.    Add testing if any new code does not get checked by existing testing. Probably need to make a multi-version test.  """""""
SERVER-22616,New Feature,8,+3:architecture; +2:migration,KEEP,,"""Make balancer architecture more scalable by allowing parallel chunk migrations""","""""""1. Moving one chunk at a time is not a feature of an allegedly """"""""linear scalable"""""""" product.    2. Waiting for chunks to be deleted on a target shard, before moving chunks of a totally different collection, is not a scalable design.  Note: I'm not referring to the wait which is controllable via waitForDelete, I'm referring to not starting at all - i.e. """"""""can't accept new chunks because  there are still X deletes from previous migration""""""""    3. If you detect this behavior, why not move to the next chunk in the meantime? other shards can accept chunks. The current bottleneck for our system at the moment is the range deleter on a single shard. Until it finishes deleting, no balancing occurs in the entire cluster. This is ridicoulus.  """""""
SERVER-14415,New Feature,8,+2:indexing; +2:access control; +1:component,KEEP,,"""log component hierarchy""","""""""Currently log components (introduced in SERVER-5092) are laid out in a flat namespace with a default:    * Debug  ** Access Control  ** Commands  ** Indexing  ** Networking  ** Query  ** Replication  ** Sharding  **Storage    It would be desirable to support a hierarchy of log components:    * Default  ** Access Control  ** ...  ** Storage  *** Journalling    In the example above, if the log level for Default is 2 and Storage is set to 3 and Journalling is not configured, Journalling would inherit Storage's log level so that MONGO_LOG(3, Journalling) messages would be written to the log destination.  """""""
SERVER-14017,Improvement,8,+2:integration; +2:authorization; +2:refactor,KEEP,,"""Refactor ShardingTest and ReplSetTest objects to use separate control and test connections""","""""""Today, the ShardingTest and ReplSetTest objects used for writing integration tests in javascript depend on the same connections to underlying server nodes to do both control operations (stop the balancer before running this test, wait for replication to <USER>up) and test operations (test behavior of updating documents when the user has these permissions).  This is particularly problematic for tests involving authorization, because the control operations should be done with the authority of the super user, while the test operations generally should operate with different privilege.    An appropriate solution would be to change the implementation of ShardingTest and ReplSetTest to keep separate control and test channels, and to use the control channels internally for behaviors such as """"""""awaitReplication"""""""" and """"""""stopBalancer""""""""."""""""
SERVER-9514,Task,8,+3:multi-tenant; +2:access control; +1:database,KEEP,,"""System-defined roles""","""""""In the context of supporting user-defined roles (SERVER-8580), we should review and as needed extend the existing system-defined roles to ensure that they support the most common access control use cases.  System defined roles will automatically be created for each database, and it will not be possible to rename, replace, update, modify or delete them.  They should be useful for basic single- and multi-tenant scenarios."""""""
SERVER-9393,New Feature,8,+2:migration; +2:integration; +1:module,KEEP,,"""Very, very fast counters""","""""""Fast Counters    Scope    To provide very fast counters and timers - making possible an increase in the volume and granularity of stats accumulated within the server.    Not in scope    DTrace integration is not part of this project.  Non-x86 processors will not be supported.    Design    Each counter consists of a vector of counters, one per core (or virtual core, in the case of hyper-threading).  Counter increments occurs per-core independently and without locking.  The counter value is aggregated across the per-core counters.  Experiments confirm that core migration errors occur about 1 in 10M counts, an acceptable error rate.    Implementation    The key to the fast implementation is the x86  rdtscp  instruction.  It loads the 64-bit timestamp counter into EAX,EDX, and the core / hyper-core (i.e.) “node” label into ECX.  We need to implement a module that determines the node count in order to correctly allocate fast counter / timer arrays.    Portability issues    Within the class of x86 processors the instruction set varies.  For older intel processors, OS support for finding the core label is needed (mainly access to model-specific registers, as opposed to the rdtscp instruction).  Each of Linux, Windows, Free BSD, Solaris, and OS X have different system calls for accessing msr’s. The initial implementation should use OS call for obtaining the processor label.   It greatly simplifies the code.    Testing Results    Testing shows that per-core counters provide large speed improvements v. single atomic integer with fetch-and-add (15 v. 230 nanos per incr).  Using non-locking v. locking increment instructions (with per-node counters) provides about 2X speedup (15 v. 30 nanos per incr).  Using Linux sched_getcpu() v. inlined rdtscp instructions provides small additional speedup.  It seems very likely that Linux is in fact uses the rdtscp instruction via vsyscall (see: http://lxr.linux.no/#linux+v3.8.7/arch/x86/include/<USER>vsyscall.h in the Linux cross-reference).  Other OS’s may not be as smart.              System Calls    Windows    (1) find current core id       DWORD cpui;       cpuid = GetCurrentProcessorNumber();       Requirements       Minimum supported client  Windows Vista       Minimum supported server  Windows Server 2003       Header                    WinBase.h on Windows Server 2003,                                   Windows Vista, Windows 7, Windows Server 2008,                                   Windows Server 2008 R2 (with Windows.h);                                 Processthreadsapi.h on Windows 8, Windows Server 2012       Library                   Kernel32.lib       DLL                       Kernel32.dll          (2) Find core count                   vSYSTEM_INFO sysinfo;     GetSystemInfo( &sysinfo );       numCPU = sysinfo.dwNumberOfProcessors;       Requirements       Minimum supported client  Windows 2000 Professional       Minimum supported server  Windows 2000 Server       Header                    WinBase.h (include Windows.h)        Linux    (1) find current core id         #include <sched.h>     int cpu = sched_getcpu();       Requirements       glibc 2.6    (2) Find core count       #include <unistd.h>       numCPU = sysconf( _SC_NPROCESSORS_ONLN );       Requirements       This is a POSIX standard function, although _SC_NPROCESSOES_ONLN       is non-standard.          FreeBSD, Mac OS X    (1) find current core id:        tbd    (2) Find core count:       int mib[2];       size_t len = 4;       uint32_t numCPU;       mib[0] = CTL_HW;     mib[1] = HW_AVAILCPU;         sysctl(mib, 2, &numCPU, &len, NULL, 0);       if (numCPU < 1) {         mib[1] = HW_NCPU;         sysctl( mib, 2, &numCPU, &len, NULL, 0 );         if (numCPU < 1) numCPU = 1;     }       Requirements       OS X versions >= 10.2.          Solaris      (1) find current core id:                     #include <sys/processor.h>     processorid_t getcpuid(void);      (2) Find core count:       #include <unistd.h>       numCPU = sysconf( _SC_NPROCESORS_ONLN );"""""""
SERVER-8876,New Feature,8,+2:authentication; +2:authorization; +1:database,KEEP,,"""DDL and Authentication Audit Logs""","""""""MongoDB should be able to direct information about the following types of events to a text file or other target, for customer use in auditing user activity:  * DDL operations ** Create/delete database ** Create/delete collection ** Create/delete index ** Add/remove user ** Alter user ** Shard collection? * Authentication operations ** Failed authentication ** Successful authentication ** Logout * Authorization Operations ** Access denied for DDL operations ** Access denied for CRUD operations? ** Access denied for queries?  Audit log messages should include the user performing the successful action, a timestamp, and description of the action itself. """""""
SERVER-6823,New Feature,8,+2:authentication; +2:access control; +1:database,KEEP,,"""Enable Access control without downtime""","""""""In response to https://groups.google.com/forum/?fromgroups=#!topic/mongodb-user/pw2i1v8WiXc    It's not acceptable for me as well to have downtime when switching auth on.    You could solve it this way:  1) Add some auth token to your mongo database(s) using db.addUser(""""""""user"""""""", """"""""pw""""""""). Since mongo runs still without --keyFile option, mongo should ignore the auth tokens and behave normally.  2) Modify your application so it passes user/pw to mongoDB. Since mongo runs still without --keyFile option AND does not have any ADMIN user, mongo should ignore the auth tokens and behave normally.  3) Restart successively all servers with --keyFile option. Begin with slaves and then stepDown the master, so there is no downtime. ConfigServer and router are redundant so there is no downtime. However, this would require that mongoDB does not yet requires authentication as long as no ADMIN user has been registered.  4) Connect to the router and add an user to the admin database. Now, BOTH conditions (running with --keyFile option AND having at least one admin user) are true, hence mongo should now require authentication.    The advantage of this procedure is also that you could undo very fast mongo's authentication (just by removing the admin user) in case that some mongo clients had not been prepared for authentication or someting else went wrong with authentication.      """""""
SERVER-51016,Task,7,+2:integration; +2:caching; +1:interface,KEEP,,"""Add Python logging.Handler for LogKeeper V3""","""""""Add a {{logging.Handler}} subclass similar to existing {{BuildloggerTestHandler}} class that talks to Jasper through the {{LoggingCache}} interface. The class will implement the [{{StreamHandler}} interface|https://docs.python.org/3/library/logging.handlers.html#logging.StreamHandler].    Ideally there would not be any caching done on the resmoke side since cache pressure is one of the pain points of LogKeeper v2.    The handler will be exercised in an automated unit test that logs to stdout. Integration with the rest of resmoke's logging structure and Cedar will be done in a separate ticket."""""""
SERVER-50661,New Feature,7,+3:architecture; +1:service,KEEP,,"""Add section on cancelation to the architecture guide""","""""""This should include:  * How to write a service which handles cancelation using CancelationTokens  * How to use CancelationSources to cancel work  * How to create cancelation hierarchies  * How tokens integrate with futures"""""""
