project,issue_key,issue_type,design_score,confidence_tier,n_reason,summary,description
APSTUD,APSTUD-8210,Bug,0,1,bug_type+score_0,"""Formatting code PHP+HTML""","""""""h3. Steps to Reproduce  Source => Format with the attachments file (collaborator_add.ctp)    h3. Actual Result  No format    h3. Expected Result  Format the code"""""""
APSTUD,APSTUD-8217,Bug,0,1,bug_type+score_0,"""Windows: Aptana Studio Installer: Studio does not install JRE and hence fails installation""","""""""This is regression issue since earlier studio used to get installed with JRE successfully.  *Steps To Replicate*: 1. Download *<USER>Studio RC build* 2. Try installing same on clean windows 7 machine.  Actual: {color:red} *Some Prerequisite JRE could not be downloaded error appears. Refer screenshot.* {color} Expected: No error should appear. Installation must be successful. """""""
APSTUD,APSTUD-8219,Bug,0,1,bug_type+score_0,"""embedded browser not available in aptana S3""","""""""h3. Steps to Reproduce click on icon for <USER>Studio Start Page  h3. Actual Result error splash window pops up  h3. Expected Result don't know have not seen it work"""""""
APSTUD,APSTUD-8221,Bug,0,1,bug_type+score_0,"""Unable to format. See error log for details.""","""""""h3. Steps to Reproduce Wanted to Format the code Ctrl+Shift+F  h3. Actual Result I got the error: Unable to format. See error log for details.  h3. Expected Result Just wanted to format the code"""""""
APSTUD,APSTUD-8224,Bug,0,1,bug_type+score_0,"""Cant use FTP sync, other ftp functions remain alright.""","""""""h3. Steps to Reproduce Try and sync using ftp  h3. Actual Result Will not for the love of anything connect. Keeps saying that it failed to get the directory listing. Other FTP functions such as file trasnfer work just fine.   h3. Expected Result Sync to run as normal"""""""
APSTUD,APSTUD-8225,Bug,0,1,bug_type+score_0,"""Aptana is closing few seconds or minutes after the opening""","""""""h3. Steps to Reproduce open <USER> h3. Actual Result close after few seconds or minutes  h3. Expected Result stay opened as usual"""""""
APSTUD,APSTUD-8227,Bug,0,1,bug_type+score_0,"""Changing Preferences causes Studio to close""","""""""I have changed several preferences off and on:  Replace tabs with spaces  Show line numbers  Change theme colors  Change web browser    After clicking OK, Studio closes and does not relaunch.  Also, just canceling out of the Preferences editor causes Studio to close."""""""
APSTUD,APSTUD-8228,Bug,0,1,bug_type+score_0,"""Changed background color for PyDev Theme and cannot change it back.""","""""""I changed the background color for the PyDev theme to yellow and I cannot change it to any other color and [Reset Defaults] doesn't change it either.    It seems to be just the one theme - I played with a few others..."""""""
APSTUD,APSTUD-8229,Bug,0,1,bug_type+score_0,"""Theme background does not get applied everywhere on startup.""","""""""My saved perspective is two windows. Both windows show the Project Explorer. The first window's Project Explorer is detached. The theme's background happens to be black. On startup, the theme's background color does not get applied to the detached Project Explorer. On startup, I always have to open up the Theme dialog from the first window and click Apply for the background color to get applied to the detached Project Explorer."""""""
APSTUD,APSTUD-8230,Bug,0,1,bug_type+score_0,"""Code Folding does not support newest PHP features""","""""""There may not ever be a fix for issue APPSTUD-8131/APPSTUD-7371, as the code folding is _prepended_ on currently existing *correct* code.    However, there is an annoying bug that I know has a *very* easy fix: Adding support for the most recent PHP additions, viewable [here|https://wiki.php.net/RFC#implemented]; most notably, [Short Array syntax|https://wiki.php.net/rfc/shortsyntaxforarrays] and [Function array dereferencing|https://wiki.php.net/rfc/functionarraydereferencing].    Apologies, I don't know how to link to an existing issue, so I will leave it up to the moderators to examine APPSTUD-8131 and APPSTUD-7371, as these were the two issues that were most closely related to what I am experiencing.    Duplication steps:    Start with code that looks something like this:  {code:title=Working & Foldable Code}  class Example {      private function output($params = array()) {          return array('example'=>array('err1'=>'ERROR!'));      }      public function bar() {          return $this->output(array('good'=>'times'));      }  }  $foo = new Example();  $errors = $foo->bar();  echo $errors['example']['err1'];    This code _also_ runs just fine, outputs """"""""ERROR!"""""""" to the page, but as you'll notice immediately, is no longer foldable.    Apologies for not testing this in the latest release; I'm behind a webFilter at work and am currently trying to get the RCP update URL unblocked. As soon as I am able to test this issue in 3.6.0, I will update this ticket."""""""
APSTUD,APSTUD-8231,Bug,0,1,bug_type+score_0,"""Code Folding does not support latest PHP version changes""","""""""There may not ever be a fix for issues [APPSTUD-8131|https://jira.appcelerator.org/browse/APSTUD-8131] and [APPSTUD-7371|https://jira.appcelerator.org/browse/APSTUD-7371], as the code folding is _prepended_ on currently existing *correct* code.    However, there is an annoying bug that I know has a *very* easy fix: Adding support for the most recent PHP additions (viewable [here|https://wiki.php.net/RFC#implemented]); most notably, [Short Array syntax|https://wiki.php.net/rfc/shortsyntaxforarrays] and [Function array dereferencing|https://wiki.php.net/rfc/functionarraydereferencing].    See [APPSTUD-8131|https://jira.appcelerator.org/browse/APSTUD-8131] and [APPSTUD-7371|https://jira.appcelerator.org/browse/APSTUD-7371] for open issues most closely related to what I am experiencing.    Duplication steps:    Start with code that looks something like this:  {code:title=Working & Foldable Code}  class Example {      private function output($params = array()) {          return array('example'=>array('err1'=>'ERROR!'));      }      public function bar() {          return $this->output(array('good'=>'times'));      }  }  $foo = new Example();  $errors = $foo->bar();  echo $errors['example']['err1'];    This code _also_ runs just fine, outputs """"""""ERROR!"""""""" to the page, but as you'll notice immediately, is no longer foldable due to all the errors reported in <USER>    _Note: Apologies for not testing this in the latest release; I'm behind a webFilter at work and am currently trying to get the RCP update URL unblocked. As soon as I am able to test this issue in 3.6.0, I will update this ticket._"""""""
APSTUD,APSTUD-8232,Bug,0,1,bug_type+score_0,"""auto complete""","""""""h3. Steps to Reproduce I am using jquery 1.6  $('#myId').click(function(event){ event.currentTarget });  I typed event. and then cntrl + space.  h3. Actual Result event.currentTarget autocomplete does not work  h3. Expected Result event.currentTarget should have work its a JQuery Object """""""
APSTUD,APSTUD-8235,Bug,0,1,bug_type+score_0,"""Command ""","""""""h3. Steps to Reproduce Install Ubuntu 14.04 64-bit Install oracle-java8-installer from https://launchpad.net/~webupd8team/+archive/java Install <USER>Studio 3.4.2 Standalone Version 64-bit Open <USER>Studio Click Command in the main menu above window  h3. Actual Result No options appear  h3. Expected Result Options should appear"""""""
APSTUD,APSTUD-8237,Bug,0,1,bug_type+score_0,"""Source formatter not working on a selection""","""""""Source formatter (Menu > Source > Format) doesn't work as expected on a selection.    Given (selected line printf(""""""""baz"""""""")\;)        produces        Clean install of Eclipse and <USER>3."""""""
APSTUD,APSTUD-8238,Bug,0,1,bug_type+score_0,"""No code completion inside of namespaced class""","""""""No code completion inside of namespaced class extended from a global (no namespaced) class.    Example    {code:title=Foo.php}  class Foo  {   public function bar()   {    return 'bar';   }  }      Clean install of Eclipse and <USER>3."""""""
APSTUD,APSTUD-8239,Bug,0,1,bug_type+score_0,"""Percentage numbers inside of Quick Outline""","""""""Please, take a look at the screenshot.    Clean install of Eclipse and <USER>3."""""""
APSTUD,APSTUD-8241,Bug,0,1,bug_type+score_0,"""Aptana Studio crashes after double clicking the text in remote file""","""""""<USER>dropping if I double-click select a text, and only in remote (ftp) file. For other methods select work fine"""""""
APSTUD,APSTUD-8242,Bug,0,1,bug_type+score_0,"""text shifts around and is unaligned""","""""""Text shifts around and causes unalignment. For example, when i save the file, some of the text shifts left and the line above or beneath shifts right and the lines become unaligned. In the attachment, the Timeout block is supposed to wrap the begin rescue statement, but as you can see the begin keyword suddenly just shifts outward causing the blocks to be unreadable and confusing. This happens on Eclipse Kepler, and because of this issue, I cannot write rails programs with <USER>on Eclipse. """""""
APSTUD,APSTUD-8245,Bug,0,1,bug_type+score_0,"""Error with formatting php""","""""""h3. Steps to Reproduce <a href='#'><?php echo Yii::app()->user->name; ?></a>  h3. Actual Result Error  h3. Expected Result <a href='#'><?php echo Yii::app()->user->name; ?></a>"""""""
APSTUD,APSTUD-8247,Bug,0,1,bug_type+score_0,"""Empty list in remote conection window""","""""""h3. Steps to Reproduce created and ftp connection and save it  h3. Actual Result Nothing shows Remote Connections win  h3. Expected Result Show in the REmote Connections win"""""""
APSTUD,APSTUD-8249,Bug,0,1,bug_type+score_0,"""'<' missing '>' for end of tag in error""","""""""h3. Steps to Reproduce Add a <?php tag to an html or php file  h3. Actual Result '<' missing '>' for end of tag  h3. Expected Result No error"""""""
APSTUD,APSTUD-8251,Bug,0,1,bug_type+score_0,"""Clean option always disabled in the menu.""","""""""The """"""""Clean..."""""""" option in the """"""""Run"""""""" menu is always grayed out.  There is no way to do a clean build."""""""
APSTUD,APSTUD-8253,Bug,0,1,bug_type+score_0,"""Live FTP doesn't allow for syntax checking in code (PHP)""","""""""In <USER>Studio 3, if you type an error in the code on Live FTP, it will underline it with red. In Eclipse Luna + <USER>3.6.1, it does not do that.    I love the updates that you pushed to us. So many issues have been fixed and I am almost ready to go back to Eclipse + <USER>    """""""
APSTUD,APSTUD-8255,Bug,0,1,bug_type+score_0,"""Aptana Studio 3, build: 3.6.0.201407100658 for Mac does not quit ""","""""""h3. Steps to Reproduce Go to Menu '<USER>Studio 3' Then clic on Quit <USER>or type Cmd + Q <USER>doesn't quit and the computer can not be turned off.  h3. Actual Result <USER>doesn't quit  h3. Expected Result <USER>quits / closes"""""""
APSTUD,APSTUD-8256,Bug,0,1,bug_type+score_0,"""File upload""","""""""h3. Steps to Reproduce Hi, I can not upload files.Each file is uploaded into the main folder.  h3. Actual Result I have a file in subdirectory.  h3. Expected Result It should be uploaded to subdirectory, not to the website root folder..."""""""
APSTUD,APSTUD-8257,Bug,0,1,bug_type+score_0,"""Can't access connections row from Project Explorer""","""""""h3. Steps to Reproduce Create a project and open the Project Explorer window  h3. Actual Result Don't show the connections row  h3. Expected Result Be able to connect to remote servers via connections"""""""
APSTUD,APSTUD-8258,Bug,0,1,bug_type+score_0,"""Unable to unlock toolbar to reposition icons""","""""""h3. Steps to Reproduce All the time.  When I right clic on toolbar, there's no menu to unlock toolbar to reposition icons..  h3. Actual Result When I right clic on toolbar, there's no menu to unlock toolbar to reposition icons..  h3. Expected Result Should be possible to unlock toolbar to move icons and to either get rid of white spaces or either reposition icons"""""""
APSTUD,APSTUD-8259,Bug,0,1,bug_type+score_0,"""Aptana Studio 3 Crashes on Startup after Updating""","""""""I just installed an update for <USER>Studio and once I did, it would no longer open but would crash while loading, during the splash screen. I then updated my Java version and reinstalled <USER>Studio but still had the same problem. I am on Mac OS X 10.9.4.    As suggested, I ran it from the terminal and here is the output:        Thanks in advance."""""""
APSTUD,APSTUD-8260,Bug,0,1,bug_type+score_0,"""Editor: Horizontal scroll bar flickers constantly""","""""""h3. Steps to Reproduce Open a large file and keep pressing the arrows and/or typing anything, you should see every time a horizonal scroll bar on the bottom of the editor window appearing and disappearing very quickly.  h3. Actual Result Everytime I type, this horizonal scrollbar keeps appearing and disappearing.  h3. Expected Result No scrollbar appearing and disappearing."""""""
APSTUD,APSTUD-8261,Bug,0,1,bug_type+score_0,"""Python: No code completion after upgrading""","""""""After upgrading to version 3.6.0 code completing for python files don't work.    Code completion dialog say """"""""Port not bound (found port -1). Is there an enabled firewall?""""""""    Code completion in HTML files not affected.    Instaling back version 3.4.x causes code completion work again."""""""
APSTUD,APSTUD-8262,Bug,0,1,bug_type+score_0,"""Web Page Preview Function Missing""","""""""h3. Steps to Reproduce 1.update or clean installation <USER>3.6.0 on Mac 2.Web page preview icon missing from toolbar  h3. Actual Result replace by <USER>home page icon  h3. Expected Result I need web page preview icon back."""""""
APSTUD,APSTUD-8263,Bug,0,1,bug_type+score_0,"""Installer: No Java virtual machine was found""","""""""Steps to reproduce    1. Download latest 3.6.0 installer  2. Perform clean install  3. No java installation - error about missing javaw.exe in PATH"""""""
APSTUD,APSTUD-8266,Bug,0,1,bug_type+score_0,"""After upgrading, PyDev code analysis incorrectly flags built-ins as undefined""","""""""h3. Steps to Reproduce Upgraded to <USER>Studio 3, build: 3.6.0.201407100658 with PyDev 3.0.0.1388187472 then started experiencing the following code analysis errors:    h3. Actual Result Valid Python code  ``` if len(xx) > 0:     pass ```  flags 'len' as an undefined function.  Similarly,  ``` x, y, z = None, False, True ```  Flags None, False and True as undefined variables  h3. Expected Result len, False, True and None are built-in functions and expressions and should be recoginzed as valid"""""""
APSTUD,APSTUD-8268,Bug,0,1,bug_type+score_0,"""Aptana 3.6 randomly frequently reset Eclipse Luna (4.4) Theme""","""""""h3. Steps to Reproduce 1. set and apply Eclipse theme color (background, foreground, current line highlight...etc) to non-default through Windows -> Preference -> General -> Editors -> Text Editor  2. restart Eclipse (may not be required) and open different types of files to launch different editors, then switch between these files randomly  uninstall <USER>or setup a fresh Eclipse without Atpana will not obsserve this issue. I wonder if the Eclipse Theme selection under <USER>-> Theme is doing something funny.  h3. Actual Result Pydev, CDT, JAVA and all other non-<USER>Editors theme got reset. Windows -> Preference -> General -> Editors -> Text Editor shows most of the configured theme got reset back to 'System Default'   h3. Expected Result theme stay constant with no change."""""""
APSTUD,APSTUD-8269,Bug,0,1,bug_type+score_0,"""Newest Aptana cannot identify python built-ins""","""""""h3. Steps to Reproduce I had a previous version of <USER> and got a message to upgrade to the latest version. I did, when the system was done <USER>could not identify any of the python built-ins. I removed the interpreter in preferrences, built it using the 2 different automatics and then the manual way, neither way allowed aptana to recognized built-ins like: True, False, int, str. To fix it I downloaded the windows installer of https://wiki.appcelerator.org/display/guides2/Reverting+to+a+Previous+Version#RevertingtoaPreviousVersion-AptanaStudio3.4.1, removed the latest installation and installed the previous, no issues. Something is up with the latest version of <USER>  h3. Actual Result Lots of errors on python built-in objects  h3. Expected Result No errors from python built-in objects"""""""
APSTUD,APSTUD-8270,Bug,0,1,bug_type+score_0,"""Remote panel keeps poping up, disappearing""","""""""h3. Steps to Reproduce Setup <USER>the I have it in the screen grab and then try reloading <USER> it doesn't re-appear that way  h3. Actual Result Remote connections disapear (is it just taking ages to refresh these or something seems to be able to get them back after a bunch of clicking to get them back)  h3. Expected Result When I open Apatana the custom view I prefer now disappears between sessions. The remote window seems to have a life of its own and pops up (on the right) when I don't want it and doesn't show my remote connections when I do (window appears on boot but without remote connections visible).  I've attached a screen grab of the view I want and have been using for years now (I just use the product to code html/css so don't need most of the fancy stuff). <USER>seems to spend ages building something at the bottom these days, whats that all about? This is the worst update I have made since using <USER>"""""""
APSTUD,APSTUD-8271,Bug,0,1,bug_type+score_0,"""html5 template small bug""","""""""there is a small bug in html5 template file ...\<USER>Studio 3\configuration\org.eclipse.osgi\bundles\442\1\.cp\bundles\html.ruble\templates\html5.html  there is entry in <head>  <meta name=""""""""viewport"""""""" content=""""""""width=device-width;initial-scale=1.0""""""""> with semicolon and should be <meta name=""""""""viewport"""""""" content=""""""""width=device-width,initial-scale=1""""""""> with comma (not """"""""semicolon"""""""" as I wrote before, sorry) afaik"""""""
APSTUD,APSTUD-8272,Bug,0,1,bug_type+score_0,"""Aptana Windows does not install Git or Java.""","""""""The setup page at http://aptana.com/downloads/start says:    """"""""The Windows installer includes a compatible version of Java.""""""""  and  """"""""On Windows, we recommend PortableGit from msysgit because we also require its bash shell for executing commands. If you don't have msysgit installed, Studio 3 will offer to install it for its own internal use.""""""""    Neither is installed by default or available via the Windows installer. Either they should be added to the installer, or the website should be updated to reflect."""""""
APSTUD,APSTUD-8274,Bug,0,1,bug_type+score_0,"""Analytics: Offline - Offline analytics are not being sent""","""""""*Details:* Offline analytics are not being sent.    *Steps to reproduce:*  1. Have <USER>Studio open   2. Disconnect from wifi   2a. This will also be a good chance to change AppcelStage to be your preferred network when you turn wifi back on (see preferred_wifi.png)   3. Do stuff e.g. create a default web project  4. Connect back to wifi   4a. You should be connected to AppcelStage   5. Create another default web project  6. Next, go to the analytics staging server   7. Go to {{/local_storage/event_store/p/hourly/<TODAY'S DATE>}}  8. And, {{tail -f desktop_events.json.txt}}    *Actual:* Offline analytics are not sent.  *Expected:* Offline analytics should be sent."""""""
APSTUD,APSTUD-8276,Sub-task,0,1,bug_type+score_0,"""Closable django template tags""","""""""This would be very useful. Also would be implemented unindentation for some tags, like {% else %}, {% elif %} and {% empty %}."""""""
APSTUD,APSTUD-8277,Bug,0,1,bug_type+score_0,"""Parent path doesn't exist (I cannot open an server FTP subfolder)""","""""""I reinstalled aptana 3 on new Eclipse Luna, (Before Juno), after I configure FTP it's given this error, when I try open a subfolder the main configuration, and the first backslash in path its not work, instead I have to put a dot in the beginning.  for each configuration I get a different path sometimes:  The list are on gitHub issue in this link: https://github.com/aptana/studio3/issues/232 and an ask on StackOverflow here: http://stackoverflow.com/questions/25333252/aptana-3-6-not-open-ftp-subfolder    """""""
APSTUD,APSTUD-8278,Bug,0,1,bug_type+score_0,"""'Aptana Rubles' folder gets created in arbitrary location""","""""""h3. Steps to Reproduce - Just run <USER>3.6, do nothing else.  h3. Actual Result - Two folders get created:  '~/Documents/' and  '~/Documents/<USER>Rubles'   h3. Expected Result - No folder created, or at least it should be possible to find a configuration to change that! Please note that '~/Documents/' is NOT an existing/used Folder in my Desktop Environment (Linux/KDE), i have no variable at all pointing to that location."""""""
APSTUD,APSTUD-8279,Bug,0,1,bug_type+score_0,"""Wrong browser error notification ""","""""""h3. Steps to Reproduce - Configure an additional browser 'Chromium' in the Windows/Preferences - Switch to Firefox as default one   (but no Xulrunner in the path)   h3. Actual Result - a notification is displayed, informing that <USER>was unable to load the **Chromi(m?)um** browser, even if two dialogs later (see attached screenshots) it becomes clear that the browser that aptana tried to fire was Firefox! (see the 'Unknown Mozilla path (MOZILLA_FIVE_HOME not set)' in the backtrace)   h3. Expected Result - The message should say 'unable to load the Firefox browser'"""""""
APSTUD,APSTUD-8280,Bug,0,1,bug_type+score_0,"""No possibility to adjust view title font size""","""""""h3. Steps to Reproduce - None, just start the newly unzipped <USER>3.6  h3. Actual Result - Views and editor titles are way too big! see screenshot 'fonts3.png' In the older <USER>3.4 i could adjast those titles in the Preferences, but changing that same setting here does nothing! (see screenshots attached)  h3. Expected Result Bug severity 'Major' because the product becomes quite unusable, it's almost impossible to ever see the file names in editors, as soon as you have more than a couple open editors!"""""""
APSTUD,APSTUD-8284,Bug,0,1,bug_type+score_0,"""Aptana 3.6 does not quit properly on mac""","""""""Ever since I installed <USER>Studio 3.6.0 I have problems - it hangs when I want to change workspace, and also when I simply want to quit it, so I have to use Force Quit to kill it. Also, on Force Quit I noticed that <USER>icon is strange (attached)"""""""
APSTUD,APSTUD-8286,Bug,0,1,bug_type+score_0,"""Not able to send image to the server using Multipart/form-data header""","""""""I am trying to upload image (blob object) with some more data fields to the server.But seems  like, Titanium is not able to set this request as multipart request.    Please help to identify what is the correct header we need to use?    I am using following headers --     client.setRequestHeader(""""""""Content-Type"""""""",""""""""application/json; charset=utf-8"""""""");    client.setRequestHeader(""""""""enctype"""""""", """"""""multipart/form-data"""""""");    """""""
APSTUD,APSTUD-8287,Bug,0,1,bug_type+score_0,"""Problems debugging scripts that use the names print_array, print_hash or print_string ""","""""""Hi,    I've found a strange behavior while using the variables view in <USER>Studio 3 (build: 3.6.0.201407100658) as well as RubyMine 6.3.3 (Build #RM-135.1104) during debugging.    What I have done:  I have a small script for demo  #################################  #!/usr/bin/env ruby    def print_array_    puts 'now in print_array'  end    def print_hash_    puts 'now in print_hash'  end    def print_string_    puts 'now in print_string'  end    sample_ary = [1,2]  sample_str = 'sample string'  sample_hsh = {'ary' => [1,1],                'str' => 'sample'}    puts 'Breakpoint 1'            puts 'Breakpoint 2'            puts 'Breakpoint 3'            #################################    The last tree lines were break points in the debugger.      This script works well with the method names given in the script and the content of variables was displayed in the variables view when the first breakpoint was reached (see files *working_fine.png).    After renaming the method's names by removing the last underscore, the behavior during debugging becomes strange. Using the name print_array (without trailing underscore) and trying to see the content of the sample_ary at the first breakpoint, aptana and rubymine skipped the breakpoint and the variable view changed to the screen seen in the files *print_array.png. The behavior was similar when print_hash_ was renamed to print_hash and I tried to see the content of sample_hsh.    When renaming print_string_ to print_string RubyMine gave the same result. In Apatana the picture was a little different (see <USER>- print_string.png).    I'm unable to determine the exact reason for this behavior. Is it ruby-1.9.3-p547, ruby-debug-ide 0.4.22, ruby-debug-base19x 0.11.30.pre15, <USER>Studio or RubyMine? Maybe print_array is a reserved name for the use of ruby-debug-ide, which uses the name for an internal method.    Please keep me informed about your opinion on this topic.    Best regards  Bertram      """""""
APSTUD,APSTUD-8288,Bug,0,1,bug_type+score_0,"""Changed background to black - can't change back or change fonts so can't see text!""","""""""h3. Steps to Reproduce Preferences on IDE main window  h3. Actual Result Black background. Can't save and <USER>won't then quit  h3. Expected Result Change background of main edit window back to white. For <USER>to quit and save workspace."""""""
APSTUD,APSTUD-8290,Bug,0,1,bug_type+score_0,"""shortcut key to go alternate file in Aptana 3 (ubuntu)""","""""""h3. Steps to Reproduce For ex. i have a controller and a action named hello.Now i want to shift from controller to hello.rhtml. I tried Shift + ctrl + Alt + Down. But its not working.  h3. Actual Result It's showing some black color screen .  h3. Expected Result It has to go alternate file"""""""
APSTUD,APSTUD-8292,Bug,0,1,bug_type+score_0,"""Aptana Hangs on Quit""","""""""h3. Steps to Reproduce Select Quit from the Applications menu  h3. Actual Result <USER>closes all windows but the applications stays unresponsive.  h3. Expected Result <USER>should completely quit"""""""
APSTUD,APSTUD-8293,Bug,0,1,bug_type+score_0,"""Aptana Studio crash with exit code 13""","""""""When i downloaded and installed <USER>Studio 3.6. I can't launch <USER>Studio 3.6 (see attach image) so i can't code any thing.  If I install <USER>Studio 3.4.2 then upgrade to this version, this problem didn't happen.  I think JDK not support this aptana version.  reproduce 100% on my system."""""""
APSTUD,APSTUD-8294,Bug,0,1,bug_type+score_0,"""Django not detected in Aptana 3.6.0 update""","""""""Updating <USER>to version 3.6.0 breaks Django detection in the Python interpreter.    * Using Django version 1.6.5  * Currently referencing the default python interpreter at """"""""C:\Python27""""""""  * Typing """"""""import django"""""""" into the python interpreter in the command line works fine.  * The PyDev Django Project new project wizard does not allow me to create a project with the interpreter selected.  * Reconfiguring the interpreter makes no difference.  * If I manually add """"""""C:\Python27\Lib\site-packages\django"""""""" to the PYTHONPATH I can continue the project setup but I get the error message:  {quote}      To get started with Django in Pydev, a pre-requisite is that Django is installed in the Python/ Jython/ IronPython interpreter you want to use (so, """"""""import django"""""""" must properly work). It seems that the selected interpreter does not have Django available, so, please install Django, reconfigure the interpreter so that Django is recognized and then come back to this wizard.  {quote}    I can create a django project outside of <USER>and run the dev server from the cmd and everything works just fine. I also tried using Python Tools for Visual Studio and I created a Django project and everything worked fine as well."""""""
APSTUD,APSTUD-8297,Bug,0,1,bug_type+score_0,"""Error clicking CTRL + SPACE""","""""""h3. Steps to Reproduce  O.S.: Windows 8.  When I click CTRL + SPACE in pydev perspective I get this error:  Port not bound (found port -1). Please ...firewall....    h3. Actual Result  Pop-up with the message:  Port not bound (found port -1). Please ...firewall....    h3. Expected Result  Pop-up with the different properties to select"""""""
APSTUD,APSTUD-8299,Bug,0,1,bug_type+score_0,"""Multi-window setup: Can't save remote files in one of the windows""","""""""h3. Steps to Reproduce - Open second <USER>window - Open the same remote connection in both windows - Open and edit text files - Save files   h3. Actual Result Saving does not update remote file when invoked in one window. Saving works as expected in other window.  h3. Expected Result <USER>should save the files. Saving did work properly before the last update."""""""
APSTUD,APSTUD-8301,Bug,0,1,bug_type+score_0,"""Connection node icon in app/project explorer views not diplayed. Work in Aptana 3.4.x""","""""""h3. Steps to Reproduce Add a connection sftp/ftp/ftps to a project.  h3. Actual Result No icon was displayed in project tree or app tree  h3. Expected Result In app/project tree connection manager icon display such as in <USER>3.4.x"""""""
APSTUD,APSTUD-8314,Bug,0,1,bug_type+score_0,"""Changing the view layout vertical/horizontal doesn't work in Android""","""""""The code below intends to change the view-layout from vertical in portrait orientation to horizontal in landscape orientation.  It works perfectly in iOS emulator & iPhone 5s.  InAndroid simulator and S3-Mini GT-8200:  View attributes such as color and size do change, the layout attribute is being changed, however the view is not rendered accordingly.  I.e. the view is rendered based on the layout attribute that was defined at the view construction time.  See: http://developer.appcelerator.com/question/177612/why-a-view-layout-change-verticalhorizontal-works-for-ios-but-not-for-android"""""""
