project,issue_key,issue_type,summary,mine,peer
NEXUS,NEXUS-25035,Improvement,audited remoteconnectionstatusevent does not include repository status,non-design,design
JRASERVER,JRASERVER-71669,Suggestion,It is difficult to identify and correct errors.,non-design,design
TIMOB,TIMOB-28029,Improvement,CLI: Add booted status to the info output for Android emulators and iOS simulators,non-design,design
JRASERVER,JRASERVER-71707,Suggestion,Expansion of available emojis,non-design,design
DNN,DNN-10744,Improvement,Issue with display of page with long name in Search of it,non-design,design
JRASERVER,JRASERVER-71650,Suggestion,Add the ability to remove/hide the Avatar for Toolkit Plugin for Jira,non-design,design
FAB,FAB-16102,Task,TLS support for HSM in Fabric,design,non-design
SERVER,SERVER-51776,Improvement,"""Map setup_multiversion_mongodb.py args to evergreen build variants""",non-design,design
FAB,FAB-14296,Task,Remove metadata provider interface,design,non-design
CONFSERVER,CONFSERVER-60309,Suggestion,Return the Space status information when performing a GET request to /api/space resource,non-design,design
NEXUS,NEXUS-25110,Improvement,if repository assets are downloaded by a web browser in the UI then set cache headers which tell the browser to not cache the response,non-design,design
DNN,DNN-10834,Improvement,Setting the Description and Keywords fields within Site Settings appears to change the Description and Keywords fields on every page,non-design,design
DM,DM-27117,Improvement,Add dummy pipeline to ap_verify testing,non-design,design
DM,DM-27173,Improvement,Add doc field to obs.base.FilterDefinition,non-design,design
NEXUS,NEXUS-25303,Improvement,Custom firewall messages for Maven,non-design,design
JRASERVER,JRASERVER-71686,Suggestion,add applicable issue types filter to custom fields list,non-design,design
JRASERVER,JRASERVER-71586,Suggestion,Regarding perforamcne issues,non-design,design
