adjudication_id,project,issue_type,summary,description,adjudicated_label,resolved_by_definition,notes
11,MESOS,Improvement,"Better error message than ""unknown container""","""When a task fails to start due to a Docker image fetch timeout the {{TASK_FAILED}} message is {{unknown container}} or {{Container not found}}.      See this log example        Ideally the error message would indicate that the fetch timed out.""",,,
12,SERVER,Bug,"""Make computed_projections.js more robust""","""""""The computed_projections.js test checks the internalQueryEnableSlotBasedExecutionEngine setting and enables a failpoint, but it is not necessary for either of these operations to succeed for the test to run and provide meaningful coverage.    Let's allow them to fail without failing the test.""""""",,,
13,TIMOB,New Feature,"Android: Add ""NoTitleBar"" and ""Fullscreen"" themes which derive from custom app theme","""*Summary:*  The only means of opening a window without top title bar is via its """"theme"""" creation property set to 1 of the below. The problem with this is that the below themes inherit from Google's dark AppCompat theme and do not use the theme assi  * {{""""Theme.AppCompat.NoTitleBar""""}}  * {{""""Theme.AppCompat.NoTitleBar.Fullscreen""""}}  * {{""""Theme.AppCompat.Fullscreen""""}}    The problem with the above is that the above themes inherit from Google's dark {{""""Theme.AppCompat""""}} theme. If you've assigned a custom theme to the {{<application/>}} element in the """"AndroidManifest.xml"""", the window won't use it because you told it to use Google AppCompat derived theme instead.    *Reason this is Needed:*  Other than making it easier to remove the title bar, we also want to support Google's Material themed widgets in the near future. These widgets will throw an exception if the activity or app is not using a {{""""Theme.MaterialComponents""""}} derived theme and if most developers are using the {{""""Theme.AppCompat""""}} theme instead (like what our guides suggest), then the app will crash. We'll want to have developers transition off of these older Google themes.    *Recommended Solution:*  Create the following new themes...  * {{""""Theme.Titanium.NoTitleBar""""}}  * {{""""Theme.Titanium.Fullscreen""""}}  * {{""""Theme.Titanium.Translucent.NoTitleBar""""}}  * {{""""Theme.Titanium.Translucent.Fullscreen""""}}    _(We already have {{""""Theme.Titanium.Translucent""""}} defined which derives from app's theme.)_    Titanium's build system will derive the above themes from the one assigned to the {{<application/>}} in the """"AndroidManifest.xml"""" as shown below. If a theme is not assigned, then they will derive from Titanium's default theme.      *Note:*  You can easily work-around this by setting up your own custom NoTitleBar theme like the below. This is easy to do, but doing the above makes removing title bars easier.    """,,,
14,FAB,Story,Back-porting Go Modules to 1.x,"""Is there any chance that the migration to go modules could be back-ported for the latest 1.x release (1.4.8 at the time of this writing)?    I want to write a chain code with the latest 1.x version, but really dislike the legacy package management of go and the need to manage $GOPATH and other env vars (personal preference).    If I understand it correctly all it would take is a single commit that adds a go.mod file on the 1.x branch and then a release of a minor version that gets tagged so go can pick it up as a version. Also happy to send a PR with this if people support the idea. Please advise.""",,,
15,NEXUS,Improvement,Allow `Repair - Reconcile component database from blob store` task for NuGet,"""As an administrator of Nexus Repository Manager 3, if I find my database out of sync with my blob store or in need of repair and I use NuGet, I would like the `Repair - Reconcile component database from blob store` to include the NuGet format.""",,,
16,DM,Story,Roll out robosimon to stable,"""Robosimon (aka, mobu 1.0.3) has been such a hit let's put it on stable.  It just runs a small, so it shouldn't be taking a lot of load, and it only runs the prod notebooks.""",,,
17,MESOS,Task,Add secrets support to the CSI volume managers,"""We must update our CSI code to pass secrets to CSI drivers when staging/unstaging and publishing/unpublishing volumes. We must ensure that we avoid writing any secrets to disk by holding a secret resolver in the appropriate component to resolve secrets associated with already-attached volumes during/after recovery.""",,,
18,JRASERVER,Bug,Security improvements to the Velocity Uberspector,"""This ticket documents an improvement to the Velocity Uberspector's security, locking down which classes can be accessed. This change is a defence-in-depth against potential Remote Code Execution (RCE) and Injection attacks.    The versions which do not have this improvement are before version 8.12.3.    *Pre-improvement versions:*   * version < 8.12.3    *Improved versions:*   * 8.12.3   * 8.13.0   * 8.14.0""",,,
19,SERVER,Task,"""Revisit how config.transactions cloner for resharding blocks thread waiting for outstanding prepared transaction to resolve""","""""""One option would be to schedule the callback on the Fetcher after the TransactionParticipant::onExitPrepare() future resolves. Another option would be to use a dedicated thread for the config.transactions cloner for resharding to prevent a liveness issue.""""""",,,
20,DNN,Improvement,Setting the Description and Keywords fields within Site Settings appears to change the Description and Keywords fields on every page,"""It appears as though during the process of setting the Description and Keywords fields within Site Settings, that it will populate those same fields for every page within the site.  It does not appear to overwrite these fields if they are are previously populate in Page Settings.    This seems as though it could potentially introduce SEO issues with sites.  Thanks!""",,,
21,NEXUS,Improvement,Document All Expected Response Codes for REST API,"""The swagger API documentation should document all expected response codes for the REST API including all expected responses for successful requests.          """,,,
22,CONFSERVER,Suggestion,Better to add grid type of field in Jira instead of using third party plugins like idalko grid editor,"""As of now, we are using idalko grid editor plugin for grid type of fields and facing some report issue. Whereas if there is grid type of field in Jira , then there might not be a report values issue.""",,,
23,DNN,Task,DCC - Move cache from repository classes to managers classes,"""Currently the cache logic for the management of the entities of the DCC is located at the repository level. It should be located inside the manager classes, and the repository classes should be only in charge of data access management.  This change affects mainly to Dynamic Content Types, Field Definitions and Templates.""",,,
24,JRASERVER,Suggestion,Bring back issue count and refresh on top of screen in issue navigator,"""In older versions of Jira such as Jira 7.8.x (even as new as 8.5.4), the top area of issue navigator contains the total issue count and a refresh icon.    !image-2020-09-22-21-27-24-201.png|thumbnail!     However, in more recent version such as 8.11.x, this is no longer the case. Instead, it only shows at the bottom of the page.   !image-2020-09-22-21-28-44-466.png|thumbnail!     We would like to ask that total issue count and refresh icon appears on the top too.  """,,,
25,FAB,Task,Remove metadata provider interface,"""core/chaincode/platforms contains the metadata interface. This serves no purpose and should be removed.""",,,
26,JRASERVER,Suggestion,It is difficult to identify and correct errors.,"""If errors occur in the application, error messages are displayed. Some problems arise for partially sighted and blind users:   ▪ Blind users can hardly perceive the messages because they are not in the label of the form fields and are therefore not output by the screen reader in form mode.   ▪ In addition, these are implemented like help texts behind the element concerned and are only highlighted in color. Visually impaired users with color ametropia will have problems recognizing the message. The color adjustment will also not be visible in the contrast adjustment.   ▪ When editing an issue, the problem arises that incorrect data is deleted without the user becoming aware of it. If, for example, a sprint name that does not exist is entered and the user submits the form (""""update""""), this is saved and the value is removed. This means that users will not recognize errors and will enter incomplete data.     """,,,
27,JRASERVER,Suggestion,add applicable issue types filter to custom fields list,"""create a new enhancement request with Atlassian to add a filter and display of applicable Issue Types to the Custom Fields page.         Reason: We frequently use Custom Fields globally across all projects and limit the Custom Field to appropriate Issue Types. Filtering on applicable Issue Type/s will improve our ability to find Custom Fields of interest.    !image-2020-10-12-15-17-10-751.png!""",,,
28,DM,Improvement,Update cp_pipe pipeline definitions to match standards,"""DM-27140 is standardizing the pipeline definition naming/usage.  This ticket will extend that to the cp_pipe definitions.""",,,
29,FAB,Sub-task,Kubernetes - Perform Join By Snapshot With Large Payload Using CouchDB,"""Using the snapshot files generated in the previous task, bootstrap a new peer using `peer channel joinbysnapshot` command.    Record the time for each snapshot to join and graph it as a function block height and attach it to this Jira.    Acceptance Criteria: A graph of the time to join as a function of blockheight is available for review""",,,
30,CONFSERVER,Suggestion,Return the Space status information when performing a GET request to /api/space resource,"""When performing a GET request to /api/space, a list of spaces will be returned, containing relevant information about these spaces. However, the status information isn't returned.         While the user can easily query for a particular status, appending ?status=current (or archived) to the request, it would be useful to get a complete list of spaces with their respective status.""",,,
31,NEXUS,Improvement,Nexus 2 init.d chkconfig settings,"""Looking at : nexus-2.14.18-01/bin/nexus, header says:   {{# Copyright (c) 1999, 2006 Tanuki Software Inc.}}   {{#}}   {{# Java Service Wrapper sh script.  Suitable for starting and stopping}}   {{# wrapped Java applications on UNIX platforms.}}   {{# chkconfig: 2345 20 80}}   {{# description: Test Wrapper Sample Application}}    In nexus-3.25.0-03/bin/nexus, header says:   {{# chkconfig:         2345 75 15}}   {{# description:       nexus}}   {{### BEGIN INIT INFO}}   {{# Provides:          nexus}}   {{# Required-Start:    $local_fs $network $remote_fs $syslog $time}}   {{# Required-Stop:     $local_fs $network $remote_fs $syslog $time}}   {{# Default-Start:     2 3 4 5}}   {{# Default-Stop:      0 1 6}}   {{# Short-Description: nexus}}   {{### END INIT INFO}}         [Run as a Service |https://help.sonatype.com/repomanager3/installation/run-as-a-service]instructions do not mention to adjust settings so most users will use """"as-provided""""         *Questions:*     In Nexus 2, why S20 / K 80 ? Seems extremely low and inconsistent with Nexus 3. autofs is not even started. 75 / 15 is more reasonable.    Why start at *init 2* ?    Run-Level 2 is multi-user-mode; no network interfaces and does not export networks services.  One would think Nexus requires both network interfaces and most likely NFS. In fact, N3 also expects {{$local_fs $network $remote_fs}}, so suggests at least Run-Level 3    *Requests:*    Adjust min Start Run-Level to 3    Set Nexus 2 Start/Stop consistent with Nexus 3 or to best settings    In Nexus 2, provide a """"complete"""" INFO block:    {{# Provides:}}  {{# Required-Start:}}  {{# Required-Stop:}}  {{# Default-Start:}}  {{# Default-Stop:}}  {{# Short-Description:}}  {{# Description:}}    If using Tanuki Service Wrapper, update to something more current - Latest Stable Release ([Version 3.5.43|https://wrapper.tanukisoftware.com/doc/english/download.jsp#stable])     """,,,
32,JRASERVER,Suggestion,"Allow the creation of a ""Defined"" or ""Ready for Development"" column outside the sprint.","""I need a column that is between the backlog and the sprint.    Call it """"Ready for Development"""" or """"Defined"""" or whatever.    The Backlog is where new requirements land.    The """"Defined/Ready for Development"""" column is where they move after they have been force ranked and estimated.    Sprint planning involves pulling from the """"Defined/Ready for Development"""".    Having this ability is a huge benefit to managing the project and should be considered a mandatory feature.""",,,
33,SERVER,Improvement,"""Failpoint to disable periodic uptime reporter thread should instead just disable uptime reporting""","""""""The disableShardingUptimeReporterPeriodicThread failpoint [stops the whole uptime reporter thread|https://github.com/mongodb/mongo/blob/5362f02f26313574e3aa8cadcc6fd66bc43f301b/src/mongo/s/sharding_uptime_reporter.cpp#L115-L119], but this is overkill for the intended purpose of not doing uptime reporter writes on the configsvrs (because this thread is also responsible for refreshing the balancer state and CWRWC defaults).  This failpoint should be renamed to disableShardingUptimeReporting, and its effect changed to just skipping/short-circuiting reportStatus().""""""",,,
34,TIMOB,Improvement,CLI: Add booted status to the info output for Android emulators and iOS simulators,"""h5.Description    To support attach requests in VS Code we need to be able detect what emulators and simulator are currently in a booted state.    Android: (perf concerns), need to call the isRunning function in avd to status when pulling the information together  iOS: Copy the {{device.state}} property onto the iOS simulator object [here|https://github.com/<USER>ioslib/blob/51030c67ce595dd0733d9b8d94eabca9884d861d/lib/simulator.js#L320-L341]""",,,
35,TIMOB,Improvement,iOS14: Expose new error type in Bonjure Service and update doc to align with Local n/w privacy restrictions,"""In iOS 14, Apple has put restriction on accessing local network. It requires user permission.   To show the prompt developer need to add key [NSLocalNetworkUsageDescription|https://developer.apple.com/documentation/bundleresources/information_property_list/nslocalnetworkusagedescription?language=objc]  in tiapp.xml and if using Bonjure Service, that need to be added in info.plist using key [NSBonjourServices |https://developer.apple.com/documentation/bundleresources/information_property_list/nsbonjourservices] . More detail can be found in WWDC video https://developer.apple.com/videos/play/wwdc2020/10110/.  In iOS 14, new error [constant|https://developer.apple.com/documentation/foundation/nsnetserviceserror/nsnetservicesmissingrequiredconfigurationerror?language=objc] is given. In titanium, it need to added in Ti.Network.BonjureService and expose as error string.  """,,,
36,FAB,Task,"Investigate (and clean up/refactor, if necessary) orderer start sequence after removing system channel","""Investigate the orderer start sequence considering the scenario where the system channel has been removed from an existing network.   * Do we have to set bootstrap method to none in the orderer config for these existing networks? (The obvious thing is that it will log at the info level   [""""Not bootstrapping the system channel because of existing channels""""|https://github.com/hyperledger/fabric/blob/master/orderer/common/server/main.go#L128] ).  * Does the bootstrap block need to be set to """""""" for this scenario?  * Consider doc update related to bootstrap method and bootstrap block config options after removing system channel.""",,,
37,DM,Story,Update document builds to use GitHub Actions / current build template,"""In this Community Forum post we announced a new build system for our documents: [https://community.lsst.org/t/technical-notes-are-migrating-to-github-actions/4191]    With pybtex 0.23, released today, Lander no longer works with Python 3.5.    This ticket is to upgrade all PDF-based documents to use the current template that haven't already been migrated by their curators.""",,,
38,JRASERVER,Suggestion,Expansion of available emojis,"""h3. Issue Summary  h3. Can we expand the available set of emojis.   h3. Steps to Reproduce   # Currently in RTE, we see limited number of emojis.    # As current ones are there for many years, and it is a really sad little number of them.   # We received request to add more emojis.     h3. Expected Results  More emojis during editing the issue.     h3. Actual Results  !image-2020-10-16-20-17-35-072.png!    h3. Workaround    Required, if there is no workaround please state:   Currently there is no known workaround for this behavior. A workaround will be added here when available""",,,
39,DM,Improvement,Add dummy pipeline to ap_verify testing,"""Mock-based testing of {{pipeline_driver.py}} has run into several problems, including over-dependence on {{ctrl_mpexec}}. It would be cleaner to create  a mock pipeline whose tasks do no processing besides creating output datasets. Implement such a pipeline and use it in tests that currently try to mock the pipeline, its executor, or {{pipeline_driver}}.    Note that {{ap_verify}} currently does some run-time configuration of the AP pipeline (e.g., database location), so the mock pipeline needs to have at least some of the same configuration hooks as the real pipeline. Also, since tasks must be importable to be included in a pipeline, they will need to go somewhere in the main python directory of {{ap_verify}}.""",,,
40,FAB,Story,Channel participation REST API - misc.,"""Support additional Mime types.    Optionally add support for Content-Type application/octet-stream and/or application/json, in case it is requested by users.""",,,
41,FAB,Task,Add SetPolicies() to easily replace multiple policies in an existing configuration in bulk,"""As a user of Fabric Config Library, I would like to replace policies in bulk like *(*ApplicationGroup)SetACLs()*.         *Motivation:*   In the current Fabric Config Library replacing multiple policies in an existing configuration could be a bit tedious.   For example, the following methods could be considered to achieve this at present:   - Method 1: Repeat *SetPolicy()* and *RemovePolicy()* for the group to be replaced.   - Method 2: Use *Configuration()* to get the config struct for the group -> replace the policy fields in that config struct -> then use *SetXXX()* to reconfigure   ** NOTE: some groups does not seem to support this way (e.g., *ordererGroup.SetConfiguration()* is skips updating policies)    By providing functions to replace multiple policies in bulk, users can change multiple policies with a single function call, so users should not need a tedious method like the above two.         *Example for usage of the proposed function:*  {code:go}  a := c.Application()  a.SetPolices(newPolicies) // replace the all existing policies in the configuration with newPolicies in bulk  {code}       *Targets to add the new functions:*   - ApplicationGroup   - ApplicationOrg   - ChannelGroup   - ConsortiumOrg   - OrdererGroup   - OrdererOrg""",,,
42,JRASERVER,Suggestion,Add the ability to remove/hide the Avatar for Toolkit Plugin for Jira,"""The new version of [Toolkit Plugin for Jira|https://marketplace.atlassian.com/apps/5142/toolkit-plugin-for-jira?hosting=server&tab=overview] together with Jira 8.12.2 now shows the avatar for the custom field of type *Username of last updater or commenter*.    The customer asks for the ability to remove/hide the profile picture from the output of this field.    The attached example is from this type of field, named as 'Last Updated By'.""",,,
43,DM,Story,Write an lsp-deploy guide for bootcamp,"""Write some text to explain what lsp-deploy is and how it works.""",,,
44,SERVER,New Feature,"""Ban uses of unstable command parameters with apiStrict: true""","""""""In the """"""""API Version Testing"""""""" project we added a boolean field """"""""unstable"""""""" to <USER>command parameters in the IDL for API Version 1 commands. Unstable parameters are not guaranteed to be backward-compatible, even though they are parameters of V1 commands. We plan to use the """"""""unstable"""""""" field only when comparing old and new releases' IDL definitions of V1 commands; we'll ignore incompatible changes to unstable <USER>    However, [~<USER> makes a good suggestion: at runtime, ban the use of unstable parameters in client requests that include apiStrict: true.  """"""",,,
45,NEXUS,Improvement,Custom firewall messages for Maven,"""     Allow users to add text the error messages outputted in the Maven client when Firewall blocks a component.    Some users have their own Confluence pages or other Wikis where they provide documentation about what to do. In many cases, developers do not have access to the IQ Server Firewall reports, so the link to the report will only lead to """"I do not have access to this application. I have no idea what it is or who to talk to to get access"""".    This frustration can easily be preempted with a provided text or link to their internal documentation.""",,,
46,NEXUS,Improvement,audited remoteconnectionstatusevent does not include repository status,"""When a proxy repository remote status changes, and Auditing is enabled. an event is recorded inside the audit.log:    Examples:      The events are missing what the status of the proxy repository was changed to and from. This information is only available inside the nexus.log.    {quote}  2020-08-24 14:30:47,821+0000 INFO  [qtp394429141-34093]  admin org.sonatype.nexus.repository.httpclient.internal.HttpClientCustomConfigFacetImpl - Repository status for atlassian-maven changed from *AVAILABLE* to *AUTO_BLOCKED_UNAVAILABLE* until 2020-08-24T14:31:27.821Z - reason Unauthorized for https://packages.atlassian.com    2020-08-24 15:25:48,410+0000 INFO  [qtp394429141-38291]  admin org.sonatype.nexus.repository.httpclient.internal.HttpClientCustomConfigFacetImpl - Repository status for atlassian-maven changed from *AVAILABLE* to *UNAVAILABLE* - reason Unauthorized for https://packages.atlassian.com  {quote}    h4. Expected    Record the before and after status of the repo remoteconnectionstatusevent in the audit.log with the log entry.  """,,,
47,DM,Story,Prepare Simulated LSST Solar System Observations for MPC integration test.,"""Preparation for Solar System Processing integration test with the IAU Minor Planet Center.    Create simulated LSST observations of real Solar System Objects (MPCORB) and S3M  (Grav et al. 2011) predicted populations.""",,,
48,SERVER,Task,"""Refine test cases to ensure write error retries behave as intended""","""""""Refine the test cases in tenant_migration_concurrent_bulk_writes.js to retry write errors and check that they either fail or succeed accordingly when applied to a donor or recipient replica set after a tenant migration decision""""""",,,
49,JRASERVER,Suggestion,Regarding perforamcne issues,"""Hi Team,    Some team members facing login page loading and it will take longer time and after it's loads, works normal.     Can we know the reason for this type performance issues.    Let me know any details required on the same.     """,,,
50,SERVER,Task,"""Propagate resharding fields through the enqueued metadata combination algorithm""","""""""If we have multiple CollAndChunkTasks enqueued to be persisted to disk, we will lose the {{reshardingFields}} field [when iterating through the tasks|https://github.com/mongodb/mongo/blob/14bfbd8833706912617c0c904cce9847fbbbd0f1/src/mongo/db/s/shard_server_catalog_cache_loader.cpp#L1346-L1386].     We're assuming with this ticket that the iteration will be from oldest to newest, so we can always prefer the next task's {{ReshardingFieds}} struct when iterating. This ticket's implementer will need to verify that assumption with [~<USER>.    If the above assumption isn't correct, we can write a {{ReshardingFields}} comparator. It's safe just to compare based on state, because the coordinator should never modify the {{ReshardingFields}} for a collection when not also modifying state.""""""",,,
51,DNN,Improvement,Issue with display of page with long name in Search of it,"""The display of page name while searching the page has to be improved.    *+Tested Environment:+*  *v. 09.02.00 (344) - 714*    *+Steps To Reproduce:+*  # Login as host user -> Click on Search icon  # Enter search text in """"Search"""" textbox field   # View the display of page with long name    *+Expected Result:+*   !image-2018-02-03-17-27-16-873.png|thumbnail!     *+Actual Result:+*   !image-2018-02-03-17-30-17-983.png|thumbnail! """,,,
52,DNN,Improvement,SI: Messaging Dispatch: Pass Portal Admin's Display Name along with email address,"""Currently whenever a message/notification is sent through the messaging dispatch, the from address is only composed of the portal e-mail address, while the sender address is a mix of the """"Display Name"""" of the user who triggered the notification/message + the portal e-mail address.     This results on some confusing names for e-mails coming from the website since password resets and other tasks will have the Portal administrator's display name + portal's email in the from address so the proper name is displayed on the headers; while on the other e-mails only the e-mail address for the Portal is displayed.    To reproduce:    1. Request a password reset and look at the e-mail headers. From / Sender - both of these will have name + e-mail.    2. Trigger a notification message and review the headers. From only has the e-mail, while sender has both the name + e-mail.""",,,
53,MULE,Enhancement Request,Archetype not using connector name in the generated packages,"""Archetype not using connector name in the generated packages.    today is generating this `org.mule.extension.internal` and it should be something  like this `org.mule.extension.<nombredelconector>.internal`    :B""",,,
54,FAB,Story,Provide metrics around HSM operations.,"""We are doing HSM performance testing and decided it would be valuable to add metrics around PKCS11 calls so we can easily see how many calls are being made and, more importantly, how long the calls are taking.         This would help users be able to quickly spot HSM related issues vs issues in fabric itself.         Some possible metrics, although this is off the top of my head, so please provide what you think makes sense:        * Time each call takes   * Number of calls   * Session Pool size?   * Metrics on sessions that are removed from the pool because they are invalid?""",,,
55,DNN,Improvement,"Verified Registration: In case of loosing the verification email, we need to implement a workaround to resend the verification mail again","""*Description:*  According to DNN-10721, when a user looses the verification email (In case of Verified registration type), then tries to reset password the reset password link is not sent because the user is not yet verified/authorized.  So, we need to find a solution that resend the verification email again to overcome this problem.   Suggestions for the solution & steps to reproduce that is found in DNN-10721""",,,
56,NEXUS,Bug,Admin - Change Repository Blob Store task spawns threads which are not named contextually,"""The Admin - Change Repository Blob Store task spawns threads which have a default name: ie. pool-xxxxx-thread-x    Threads and thread pools should spawn threads should be contextually named to aid problem diagnosis in thread dumps. This is something addressed in several different versions of NXRM.    For motivation and context refer to similar issues NEXUS-14110 and NEXUS-21198  h4. Expected    All thread pools and threads in those pools should be given a name that is relevant to the feature area that is responsible for that pool.    [https://stackoverflow.com/questions/6113746/naming-threads-and-thread-pools-of-executorservice]""",,,
57,TIMOB,Improvement,iOS: Drop Xcode 9 and Xcode 10 support,"""Apple has stated that  """"App updates must be built with the iOS 13 SDK starting June 30, 2020"""" .  See the section 'Build with Xcode 11' from [here|https://developer.apple.com/ios/submit/].  Though it will be breaking change, but I think we can drop it before (probably in 9.2.0) because -  1. As per apple's statement, I think no one will be using Xcode < 11.  2. XCFramework is supported in XCdoe 11+, which we require to completely fix TIMOB-28042.  3. MacCatalyst is supported in Xcode 11+, which is required for TIMOB-27132 .""",,,
58,FAB,Task,TLS support for HSM in Fabric,"""As of now TLS is not supported for HSM in Fabric, this results TLS private keys remains in file system only. This Jira is to enable this feature in Fabric.""",,,
59,NEXUS,Improvement,if repository assets are downloaded by a web browser in the UI then set cache headers which tell the browser to not cache the response,"""The NXRM UI exposes various links a user can open in their web browser to directly download repository content ( components / assets ).    Currently no Cache related HTTP headers are set when the response is successful (200) downloading these files. Cache headers which tell the web browser to not cache the result are sent for 403 Forbidden responses.    After a successful download of content, the user permissions may have changed in the backend to DENY access to these files. Subsequent attempts to download the same file may appear to work, but don't actually contact the server.    Check the video [^diabolical-fake-download-of-cached-file.mp4]  for how downloads can manifest when not actually contacting the NXRM backend.    The problem is this creates a bad UX:  - an appearance of privilege escalation when none actually exists because the new privileges were not actually checked  - the user may sign-out their NXRM session and then immediately sign back in and appear to download the same file despite not actually having the permissions to do so  - an appearance the server was contacted to download the file ( server is still available ) when it is not actually still available. ie. it is actually offline now )    h4. Expected    If downloads are attempted from within the NXRM UI, NXRM should set cache headers such that a web browser (UI) should NEVER cache the download attempt and exhibit the confusing """"fake download"""" behaviour.    Altering the cache related headers for any other user agent download is strictly not in scope.""",,,
60,JRASERVER,Suggestion,Add JIT information to SAML document,"""In the last topic of [https://confluence.atlassian.com/enterprise/adding-saml-integration-to-your-existing-user-management-infrastructure-861244976.html#AddingSAMLintegrationtoyourexistingusermanagementinfrastructure-Usingyourapplication'sinternaldirectory] it says that the users have to be already created in Jira:  {quote}  Currently there is no automated way to synchronize users between internal directories and the SAML identity provider  {quote}    With the introduction of JIT (available in Jira 8.6+), we do provide have some automation for the users creation: [https://confluence.atlassian.com/enterprise/jit-user-provisioning-1005342579.html]    Please add a reference to Just-in-time user provisioning to the document, while making it clear that it's not available for Jira 8.5 (maybe it's worth to double-check with the devs and make it clear in the JIT docs too)""",,,
61,CONFSERVER,Suggestion,Edits for Moffitt Intranet Page,"""When perusing I found the following typos:    On Dr. Wenig's profile: Armed is misspelled     !image-2020-09-18-11-54-57-638.png!         Dr. Mandy O'Leary is misspelled on the faculty page under Informatics and Blood Bank headings.    !image-2020-09-18-11-56-02-449.png!    !image-2020-09-18-11-56-10-306.png!         In Dr. O'Leary's bio, a space is missing between University and M.D. (should there be a period after the D?)    !image-2020-09-18-11-56-54-313.png!          """,,,
62,DNN,Improvement,Display of long page name is incorrect while selecting page name from dropdown field(s),"""The display of long page name under dropdown field(s) has to be improved.    *+Tested Environment:+*  *v. 09.02.00 (344) - 714*    *+Steps To Reproduce:+*  # Go to PB -> CONTENT -> Pages  # Click on one of the pages Eg. Home  # In Details tab -> Click on """"Parent Page"""" dropdown and view the display of page with long name  # In Details tab -> Click on """"Existing"""" radio button -> Click on """"Existing Page"""" dropdown and view the display of page with long name    *+Expected Result:+*   !screenshot-1.png|thumbnail!     *+Actual Result:+*   !image-2018-02-03-17-01-52-071.png|thumbnail!    !image-2018-02-03-17-04-35-135.png|thumbnail! """,,,
63,JRASERVER,Suggestion,Cannot view the full name for attachment in description column,"""If the attachment name is too big then We observe that part of the display name for attachment does not show up while selecting attachment from the attachment column. Would like to request for a feature for display name to be visible completely    """,,,
